AAADL: ALADA
       LÂSAN
ALNTÔ: LÔTAN
ALNWÔ: LAWÔN
ALOPS: LAPOS
       SALOP
ALOPT: PALTO
       PLATO
ALOPV: VALOP
ALOPW: PAWOL
ALORY: LORAY
ALOSY: SOLAY
ALOTT: TOTAL
ALOTÇ: ÇALOT
ALOVY: VOLAY
ALOWY: WOYAL
ALOWÇ: LAWOÇ
ALOYÇ: LAÇOY
ALPSÂ: ÂPLAS
ALPSÛ: LASÛP
ALPTÂ: ÂPLAT
ALPTÔ: PLATÔ
ALPÇÊ: ÇAPLÊ
ALPÇÛ: ÇALÛP
ALSSÂ: SÂSAL
ALSSÛ: LASÛS
ALSTÊ: LASÊT
ALSTÛ: LATÛS
ALSVÊ: VALSÊ
ALSYÂ: ALYÂS
ALSYÊ: LAYÊS
ALTVÂ: LAVÂT
ALTÂÛ: ALÂTÛ
AMMNO: MOMAN
AMMNÂ: MÂMAN
       MANMÂ
AMMWÊ: MÊMWA
AMNNÂ: MÂNAN
       MANNÂ
AMNOS: MASON
       OSMAN
AMNOT: MANTO
       MATON
AMNOW: MAWON
       WOMAN
       WONMA
AMNPÊ: PANMÊ
AMNRÊ: MARÊN
AMNRÛ: MÛRAN
AMNSY: SYANM
AMNSÂ: ANSÂM
       ÂSANM
AMNSÔ: MASÔN
AMNTÊ: TANMÊ
AMNTÛ: TÛMAN
AMNYÊ: MANYÊ
AMNÂÇ: MAÇÂN
AMOTT: TOMAT
AMOTY: MATYO
AMOTÇ: MATÇO
AMOWY: WAYOM
AMOYÇ: ÇOMAY
AMPÇÊ: PAÇMÊ
AMRTÂ: RATMÂ
AMRYÊ: MARYÊ
AMSWÊ: MASWÊ
AMSWÔ: MWASÔ
AMTTÂ: MATÂT
AMTYÔ: MÔTAY
AMWYÊ: MWAYÊ
AMWÇÛ: MÛÇWA
AMYÇÔ: ÇÔMAY
ANNNO: NANNO
ANNNÂ: NÂNAN
       NANNÂ
ANNOP: PANNO
ANNOS: ANONS
       SANON
ANNOZ: ZANNO
ANNRT: TRANN
ANNTÂ: ANTÂN
       ÂTANN
ANNTÊ: TANNÊ
ANNVY: VYANN
ANNVÊ: VANNÊ
ANOPT: OTANP
ANOPY: PONYA
       PYANO
ANORY: ORYAN
ANOSV: SAVON
ANOTT: TANTO
       TATON
ANOTV: VOTAN
ANOTY: TAYNO
ANOTÇ: ANTOÇ
ANOVY: AVYON
ANOWY: NWAYO
ANOYZ: OZANY
       ZONAY
ANPPÂ: PANPÂ
       PÂPAN
ANPPÊ: PÊPAN
ANPRÂ: APRÂN
ANPRÊ: PARÊN
ANPSÛ: PÛSAN
ANPTÂ: ANPÂT
       ÂPANT
       PANTÂ
       PÂTAN
ANPTÊ: PANTÊ
       TÊPAN
ANPTÔ: TANPÔ
ANPTÛ: PÛTAN
ANPWÔ: NAPWÔ
ANPYÊ: PANYÊ
ANPZÛ: PANZÛ
ANPÂÂ: ÂPÂNA
ANPÇÛ: ÇANPÛ
ANRTT: TRANT
ANRTÇ: TRANÇ
ANRYÔ: RANYÔ
ANSSY: SYANS
ANSTÊ: ANSÊT
ANSTÎ: ANSÎT
ANSVÂ: SAVÂN
ANSVÊ: VÊSAN
ANSVÛ: SÛVAN
ANSWÛ: SÛNWA
ANSYÊ: ANSYÊ
ANSYÔ: NASYÔ
ANSÇÔ: ÇANSÔ
ANTTÂ: ANTÂT
       ÂTANT
ANTTÛ: TÛTAN
ANTWÂ: ÂTWAN
ANTÊÔ: TAÔNÊ
ANVZÛ: VÛZAN
ANVÂÂ: ÂNAVÂ
ANWÂÇ: ÂÇWAN
       ANÇWÂ
AOOST: ASOTO
AOOWY: AWOYO
AOPPS: PASPO
AOPPT: PAPOT
AOPTY: POTAY
AORSV: VORAS
AORSY: RASYO
AORSÂ: ARÂSO
AORTÇ: RAÇOT
AORYÇ: ÇARYO
AOTTW: TWOTA
AOWZZ: ZWAZO
APSTÂ: PATÂS
APSWÔ: PWASÔ
APSYÔ: PASYÔ
APSÂÂ: ÂPASÂ
APTTÂ: PATÂT
APTWÔ: PATWÔ
APTÂÂ: ÂPATÂ
APTÂÇ: ÇAPÂT
APVWÛ: PÛVWA
APWZÔ: PWAZÔ
APYÂÇ: ÇÂPAY
ARTVÂ: ÂTRAV
ARVWÂ: RÂVWA
ASSÂÊ: ÂSASÊ
ATVYÂ: VÂTAY
ATYÂÇ: ÇÂTAY
AVWYÂ: VWAYÂ
AVWZÊ: VWAZÊ
BBEEL: BEBEL
BBENO: BENBO
       BONBE
BBENÂ: BÂBEN
BBEOÇ: BOBEÇ
BBIIT: BIBIT
BBILO: BIBLO
BBINO: BOBIN
BBIWÔ: BIBWÔ
BBKÂÛ: BÛKBÂ
BBMOÊ: BÊMBO
BBNOÔ: BÔBON
       BONBÔ
BBNÛÛ: BÛBÛN
BBOOT: BOBOT
BBOOY: BOBOY
BBORÊ: BOBRÊ
BBOÂÇ: BÂBOÇ
BBSÂÔ: BÔBÂS
BBTÛÛ: BÛBÛT
BBYÛÛ: BÛBÛY
BBÇÔÛ: BÔBÛÇ
BDEIJ: BIDJE
BDEIR: BRIDE
       DEBRI
BDEIT: BIDET
BDEJO: DJOBE
BDELO: BLODE
       BODEL
       DOBLE
BDELÊ: BLÊDE
BDELÛ: DÛBLE
BDEMO: BODME
BDENO: BONDE
       DEBON
BDENÛ: BÛDEN
BDEOW: BWODE
BDEOY: DYOBE
BDEYÊ: DEBYÊ
BDEYÔ: BÔDYE
BDIIR: IBRID
BDIKO: KIBOD
BDILO: BIDOL
BDILÛ: DÛBLI
BDINO: BIDON
       BONDI
BDISÛ: BÛDIS
BDJOÂ: BÂDJO
BDLÔÛ: DÛBLÔ
BDOOW: BODWO
BDOYÔ: DÔBOY
BDSÂÔ: BÔDÂS
BDTÛÛ: DÛBÛT
BEEET: EBETE
BEEGL: BEGLE
BEEGW: BEGWE
BEEGÂ: ÂBEGE
BEEKN: KENBE
BEELM: BELME
       MEBLE
BEELR: REBEL
BEELS: BELSE
       BLESE
BEELT: BELTE
BEELV: VEBLE
BEELÇ: ÇELBE
BEENN: ENBEN
BEENT: BENET
       TENEB
BEENY: BENYE
       EBYEN
BEERT: BRETE
BEERV: BREVE
BEERZ: BEZER
BEETV: VETEB
BEETW: BWETE
BEETÂ: ÂBETE
BEETÊ: ÊBETE
BEFGÔ: FÔGBE
BEFIL: FEBLI
BEFIN: FINEB
BEFIT: BIFET
BEFLO: BLOFE
BEFLÂ: FEBLÂ
       FLÂBE
BEFOR: BOFRE
BEFRÂ: FÂBRE
BEGIZ: BEZIG
BEGLO: GOBLE
BEGNÛ: BEGÛN
BEIJL: BLIJE
BEIJY: JIBYE
BEIKN: BEKIN
       KIBEN
BEIKR: BRIKE
BEIKS: BISKE
BEIKZ: BEZIK
BEILR: BRILE
BEILS: BLESI
BEILY: BLIYE
BEILÂ: ÂBELI
BEILÑ: BILEÑ
BEIMN: BIMEN
BEINR: BIREN
       BRINE
BEINT: BITEN
BEIOV: EBIVO
BEIOY: OBEYI
BEIPS: BISEP
BEIPZ: PEZIB
BEIRT: BIRET
BEIRV: VIBRE
BEIRY: BRIYE
BEITV: BIVET
BEITZ: BETIZ
BEITÇ: BIÇET
BEJYÂ: JÂBYE
BEKLO: BLOKE
BEKLÔ: KÔBLE
BEKLÛ: BÛKLE
BEKNO: BONKE
BEKNÔ: KÔBEN
BEKOS: BOKSE
       BOSKE
BEKOW: KEBWO
BEKOY: BOKYE
BEKRÂ: KÂBRE
BEKSÛ: BÛSKE
BEKTÂ: BÂKET
BELMÂ: ÂBLEM
BELNO: NOBLE
BELOT: BOLET
       BOTLE
BELOW: BLEWO
BELOY: LOBEY
BELPÔ: PLÔBE
BELRÂ: RÂBLE
BELSÂ: BELÂS
       SÂBLE
BELTÛ: BÛLET
       TÛBLE
BELÂÇ: BLÂÇE
BEMNÔ: MÔBEN
BEMOW: BEWOM
BEMRÂ: MÂBRE
BEMWÔ: BEWÔM
BENNO: BONNE
BENNR: BRENN
BENNW: BWENN
BENOT: BETON
       BONET
       BONTE
       TONBE
BENTÔ: BÔNET
       BÔTEN
BENYÂ: ÂBYEN
BENYÛ: ÛBYEN
BENZÛ: BÛZEN
BEORZ: BREZO
BEOSW: BWOSE
BEOTW: BEWOT
       BWOTE
BEOWZ: BWEZO
BEOÂÇ: ÂBOÇE
BEPÇÊ: PÊBEÇ
BERTÊ: TÊBRE
BERTÔ: BRETÔ
BERTÛ: BÛRET
BERÂÇ: ÇÂBRE
BESTÛ: BÛSTE
BESYÛ: BÛSYE
BETYÛ: BÛTEY
BETÂÂ: ÂBETÂ
BEWZÊ: BEZWÊ
BEYÂÛ: ÂBÛYE
BFIIZ: FIZIB
BFIIÂ: ÂFIBI
BFIOS: BOFIS
BFLOÂ: FLÂBO
BFOOP: FOBOP
BFTÂÛ: BÛFÂT
BGILÊ: BILÊG
BGIOR: BRIGO
BGIOT: BIGOT
BGIRÂ: BRIGÂ
BGMOO: GOMBO
BGNOO: GONBO
BGNOÛ: BÛGON
BIIJS: JIBIS
BIIKK: KIBIK
BIILR: BRILI
BIILZ: LIZIB
BIIMS: SIMBI
BIINR: BRINI
BIINT: TIBIN
BIIPS: PIBIS
BIIRZ: RIZIB
BIIST: SIBIT
BIIVZ: VIZIB
BIKLO: OBLIK
BIKOT: BOKIT
BIKRÛ: BÛRIK
BIKTÔ: KÔBIT
BIKTÛ: BÛTIK
BIKZÂ: KÂBIZ
BILNO: BOLIN
BILNÛ: BÛLIN
BILOT: BOLIT
BILTÂ: TIBLÂ
BILTÊ: BILTÊ
BILWÛ: WÛLIB
BILÂÇ: BLÂÇI
BIMOY: BIYOM
BIMTÔ: TIBÔM
BINOP: PIBON
BINOS: BONIS
BINOZ: ZONBI
BINZÎ: NÎZIB
BIOPS: POSIB
BIPSÛ: PÛSIB
BIRSÔ: BRISÔ
BIRYÂ: BRIYÂ
BIRÇÛ: BÛÇRI
BISSÂ: SÂSIB
BISTÊ: BISÊT
BISTÎ: BISÎT
BIÂÇÛ: ÂBÛÇI
BJLÂÂ: JÂBLÂ
BJNOÂ: BONÂJ
       BONJÂ
       JÂBON
BJNOÛ: BONJÛ
       BÛJON
BJNÂÔ: BÔNÂJ
BKKOO: KOKOB
BKLOÛ: BÛLOK
BKNOÊ: KONBÊ
BKNOÛ: BONKÛ
BKOOS: BOSKO
BKOOT: OKTOB
BKOOY: KOBOY
BKOSÊ: SÊKOB
BKYÊÔ: KÔBYÊ
BLMÂÊ: BLÂMÊ
BLMÊÊ: BLÊMÊ
BLNNO: BLONN
BLNOÛ: BÛLON
BLNÛÛ: LÛNBÛ
BLOOT: LOTBO
BLOSÊ: SÊBOL
BLOSÛ: BÛSOL
BLSÂÂ: SÂBLÂ
BLWÔÛ: WÛBLÔ
BLZÔÛ: BLÛZÔ
BMNOO: BONOM
BMNOÊ: MONBÊ
BMNÔÔ: BÔNÔM
BMOOW: BOWOM
BNNÂÂ: BÂNÂN
BNOTÊ: BONTÊ
BNOTÛ: BÛTON
BNOWZ: BWONZ
BNOWÇ: BWONÇ
BNOYÛ: BÛYON
BNOÇÛ: BÛÇON
BNRÂÊ: BRÂNÊ
BOOPZ: ZOBOP
BOOYZ: ZOBOY
BOTYÛ: BÛTYO
BSSÂÔ: BÔSÂS
BSYÂÂ: ÂBYÂS
DDEEJ: DEDJE
DDEEY: DEDYE
DDEKÛ: DEKÛD
DDELÂ: DLÂDE
DDEOZ: DEZOD
DDEÂÂ: ÂDEDÂ
DDINO: DODIN
DDKÛÛ: DÛDÛK
DDSÛÛ: DÛDÛS
DEEFN: DEFEN
DEEFT: DEFET
DEEGR: DEGRE
DEEIK: EDIKE
DEEIT: EDITE
DEEJL: DEJLE
DEEJN: DEJNE
DEEJW: DEJWE
DEEKS: DESKE
DEELP: PLEDE
DEELY: DELYE
DEEMN: DEMEN
DEEMR: REMED
DEEMÂ: ÂMEDE
DEENR: DRENE
DEENS: DESEN
DEENY: DENYE
DEEPS: DEPES
DEEPÇ: DEPEÇ
DEERS: DRESE
DEERY: DERYE
DEEVW: DEVWE
DEEVY: DEVYE
DEFIL: FIDEL
DEFIP: PEFID
DEFIR: FREDI
DEFKÂ: FEDKÂ
DEFNO: DOFEN
DEFNÂ: DEFÂN
DEFNÛ: FÛNDE
DEFOÂ: ÂDEFO
DEFSÂ: DEFÂS
DEGIJ: DJIGE
DEGIT: DIGET
DEGNÊ: DEGÊN
DEGNÔ: DEGÔN
DEGNÛ: GÛDEN
DEGOT: GODET
DEGOW: DOGWE
       DWOGE
DEGOZ: EGZOD
DEGRÂ: GRÂDE
DEGSÔ: SEGÔD
DEGTÛ: DEGÛT
DEGWÔ: GWÔDE
DEIKR: DEKRI
       DERIK
       DIREK
       KREDI
DEIKS: DISEK
DEIKT: DIKTE
DEIKÊ: ÊDIKE
DEILM: DILEM
DEILN: LENDI
DEILS: DELIS
       DISEL
DEILZ: DIZEL
DEILÂ: ILÂDE
DEINN: DINEN
DEINO: ODINE
DEINV: DEVNI
       DIVEN
DEINY: ENDIY
DEINZ: DIZEN
DEINÔ: INÔDE
DEIOT: ODITE
DEIPR: PEDRI
       PREDI
DEIRV: DERIV
       DRIVE
DEIRÂ: ÂDIRE
DEIST: DISET
DEITW: DETWI
DEITY: TYEDI
DEITZ: DIZET
DEITÂ: ETÂDI
DEITÛ: ETÛDI
DEIVZ: DEVIZ
DEIYÊ: ÊDIYE
DEJKO: DJOKE
DEJLO: DJOLE
DEJNN: DJENN
DEJNÊ: DEJNÊ
DEJÂÂ: ÂDÂJE
DEKLO: DELKO
DEKLÊ: DEKLÊ
DEKOR: KORED
DEKOT: DOKTE
DEKOY: DYOKE
DEKYÛ: KÛDEY
DELMO: MODEL
DELMÂ: LÂMED
DELMÊ: MÊDEL
DELMÔ: LEMÔD
DELOR: RELDO
DELOY: DYOLE
DELOÂ: OLÂDE
DELSÊ: DELÊS
DELTÂ: DÂTEL
DELWÊ: DELWÊ
DELWÔ: WÔDEL
DELÂÇ: ÇÂDEL
DEMMO: MODEM
DEMNO: DEMON
       DOMEN
       MODEN
DEMNÂ: DÂMEN
       DEMÂN
DEMNÊ: DÊMEN
       DENMÊ
DEMNÔ: MÔDEN
DEMOS: MODES
DEMOT: METOD
DEMOZ: DOMEZ
DEMOÑ: DOMEÑ
DEMSÂ: DESÂM
DEMSÊ: MEDSÊ
DEMVÊ: MÊDEV
DEMYÂ: DÂMYE
DEMÂÂ: ÂMEDÂ
DENNÔ: DÔNEN
DENOO: ODONE
DENOR: DRENO
DENOS: NODES
       SONDE
DENOT: DONTE
DENOW: WONDE
DENPÂ: DEPÂN
DENPÊ: DEPÊN
DENPÛ: PENDÛ
DENSÂ: DESÂN
DENTÂ: DETÂN
DENTÊ: DETÊN
DENTÔ: ENDÔT
DENVÊ: DEVÊN
DENYÊ: ÊDYEN
       ENDYÊ
DENZÛ: DÛZEN
DENÂÇ: ÇENDÂ
DENÂÑ: NÂDEÑ
DEORT: DORET
DEOSY: DOSYE
DEOSÂ: ÂDOSE
DEOTY: TODYE
DEOWZ: DEWOZ
DEOWÇ: DEWOÇ
DEOYÂ: ÂDEYO
DEOYÇ: ÇODYE
DEPRÛ: PÛDRE
DEPSÂ: DEPÂS
DEPYÂ: PÂDYE
DERYÊ: DERYÊ
DERZÛ: REZÛD
DESSÂ: DESÂS
       SÂDES
DESTÂ: DESÂT
DESTÊ: DESTÊ
DESÂÊ: ÊDESÂ
DETTÂ: DETÂT
DETZÔ: TÔDEZ
DFIMO: DIFOM
DFIRÔ: FÔDRI
DFSÂÂ: DÂFÂS
DGINO: GIDON
DGIRÂ: GRÂDI
DGIÂÛ: ÂGÛDI
DGKÛÛ: KÛDÛG
DGMOÊ: DOMÊG
DGNÂÊ: NÂDÊG
DGNÊÔ: DÊGÔN
DGOOT: OTDOG
DGRÂÔ: GRÂDÔ
DGRÂÛ: GRÂDÛ
DGWÔÛ: GÛDWÔ
DIIKL: LIKID
DIIMT: TIMID
DIIPS: DISIP
DIJNÂ: DJÂNI
DIJÂÊ: ÊDIJÂ
DIKKÔ: KIDÔK
DIKNO: KONDI
DIKSÛ: DISKÛ
DILMO: MODIL
DILOS: DOSIL
       SOLID
DILOV: DOLIV
DILOW: LWIDO
DILOZ: ZIDOL
DILPÂ: PÂDIL
DIMOY: IDYOM
DIMOÂ: ÂDOMI
DIMÂÇ: DIMÂÇ
DINOW: WONDI
DINOZ: DIZON
DINSÂ: DISÂN
       NÂSID
DINSÛ: SÛDIN
DINYÂ: DYÂNI
DIOSV: DIVOS
DIPRÂ: PÂDRI
       PRIDÂ
DIRYÂ: DIRYÂ
DISTÂ: DÂTIS
DITZÎ: DIZÎT
DIÂÇÊ: ÇIÊDÂ
DJLÂÛ: JÛDLÂ
DKMOO: KOMOD
DKNOO: KODON
       KONDO
DKNOÊ: KODÊN
DKNOÎ: KONDÎ
DKNOÔ: KÔDON
       KONDÔ
DKOWÔ: KODWÔ
DKTÎÔ: KÔDÎT
DLMÂÊ: LÂDMÊ
DLOWÂ: WOLDÂ
DMNOÊ: MONDÊ
DMRÂÂ: RÂDMÂ
DMSÂÛ: DÛSMÂ
DMYÂÂ: MÂDYÂ
DMÂÊÔ: ÂDÊMÔ
DNNOÂ: DONNÂ
DNNOÊ: DONNÊ
DNOPÎ: PODNÎ
DNOTÂ: TÂDON
DNOTÊ: ÊDONT
DNOVÛ: VODÛN
DNOYÛ: DÛYON
DOPWÎ: PWODÎ
DOSTÊ: SÊTOD
DOSYÂ: ODYÂS
DPZÂÛ: ZÂPÛD
DRÂÂÛ: ÂDÛRÂ
DSTÂÂ: TÂDÂS
DSTÂÛ: DÛTÂS
EEEMT: EMETE
EEENV: ENEVE
EEEPS: EPESE
EEESY: ESEYE
EEEVÇ: EVEÇE
EEFGR: GREFE
EEFKY: FEKYE
EEFLM: FEMEL
EEFLÂ: ELEFÂ
EEFMN: FEMEN
EEFMT: FEMTE
EEFMY: FEMYE
       MEFYE
EEFMÂ: ÂFEME
EEFNT: FENET
       FENTE
EEFNW: FENWE
EEFPR: PREFE
EEFRÇ: FREÇE
EEFSW: SEFWE
EEFTW: FWETE
EEFTY: FYETE
EEGLN: GENLE
       LEGEN
EEGLR: REGLE
EEGLV: VEGLE
EEGLÂ: ELEGÂ
EEGNS: NEGES
EEGNT: ENTEG
EEGRS: GRESE
EEGRY: GERYE
EEGRZ: ZEGRE
EEIJN: ENEJI
EEIKP: EKIPE
EEIMS: EMISE
EEITV: EVITE
EEITZ: EZITE
EEJMN: JEMEN
EEJNS: JENES
EEJNZ: JENEZ
EEJPY: JEPYE
EEJRT: REJTE
EEKKL: KELKE
EEKLL: LEKLE
EEKLR: KLERE
EEKLS: SEKLE
EEKLT: KLETE
EEKLZ: ZEKLE
EEKMS: KEMES
EEKNP: KENEP
       PEKEN
EEKNR: REKEN
EEKNS: ENSEK
       SENKE
EEKNT: KENTE
EEKNY: ENKYE
EEKOS: EKOSE
EEKPS: EKSPE
EEKRS: SEKRE
EEKRT: REKTE
EEKRV: KREVE
EEKRY: KREYE
EEKST: SEKTE
EEKSV: VEKSE
EEKSW: SEKWE
EEKSY: KESYE
       SEKEY
EEKSÂ: ÂKESE
EEKTV: VEKTE
EEKTÂ: ÂKETE
EEKTÛ: EKÛTE
EELMS: SEMEL
EELMÂ: ELEMÂ
EELNP: PELEN
EELNT: ENTEL
EELNV: LEVEN
EELNÇ: ÇELEN
       NEÇEL
EELPP: PEPLE
EELRT: LETRE
       TRELE
EELRY: REYEL
EELSV: SEVEL
       VESEL
EELSZ: ZESEL
EELTY: LEYET
EELTÛ: ETELÛ
EELVY: LEVYE
EEMNS: ESNEM
       SEMEN
EEMNÇ: ÇEMEN
EEMPS: ESPEM
EEMPT: PEMET
EEMRT: REMET
EEMRÑ: MEREÑ
EEMSS: SEMES
EEMSY: MESYE
EEMTY: METYE
EEMTÇ: ÇEMET
EEMVY: MEVEY
EENNS: SENEN
EENNT: ENTEN
       ETENN
EENNV: NEVEN
       VENEN
EENOT: ETONE
EENPS: PENSE
EENPT: PENET
EENRS: RENSE
       SEREN
EENRT: TEREN
EENRZ: REZEN
EENSS: SENSE
EENST: SETEN
EENSV: ENVES
EENTÇ: ÇENET
       ÇENTE
EENTÊ: ÊTENE
EENVV: VEVEN
EENVÊ: ÊNEVE
EENYZ: ZENYE
EEOPR: OPERE
EEPRS: ESPRE
       PRESE
       RESPE
EEPRT: PRETE
EEPRV: EPREV
EEPRZ: PEREZ
EEPRÂ: ÂPERE
EEPRÇ: PREÇE
EEPSS: ESPES
EEPST: SEPET
EEPSV: VEPSE
EEPSY: PYESE
EEPTT: PETET
EEPTY: PYETE
EEPTÂ: ETÂPE
EEPZÑ: ZEPEÑ
EEPÂÇ: ÂPEÇE
EERRT: RETRE
EERST: RESET
       TRESE
EERSV: SEVRE
EERSY: SERYE
EERSÑ: SEREÑ
EERTT: TRETE
EERTÂ: ÂTERE
EERTÇ: REÇTE
EERTÊ: ÊTERE
EERVY: REVEY
EESTW: SWETE
EETTY: TETYE
EETTÂ: ÂTETE
EEVVÛ: ÛVEVE
EFFIL: FILFE
EFFNÊ: FÊFEN
       FENFÊ
EFGIR: GRIFE
EFGIY: FIGYE
EFGLÔ: GÔFLE
EFIKR: KEFIR
EFIKS: FIKSE
EFILR: FLERI
EFILS: FISEL
       SIFLE
EFILT: FLITE
EFILY: FIYEL
EFIMN: ENFIM
       FIMEN
EFIMR: FREMI
EFIMT: FEMTI
EFIMY: FIMYE
EFINS: FINES
EFIOR: ORIFE
EFIRS: FRESI
       RESIF
EFIRT: RETIF
EFIRZ: FRIZE
       REFIZ
EFIRÇ: FREÇI
EFIST: FETIS
EFITY: FIYET
EFITÇ: ÇETIF
       FETIÇ
EFIYZ: FIZYE
EFJOR: JOFRE
EFJOZ: JOZEF
EFKLÂ: FLÂKE
EFKNR: FRENK
EFKNW: FWENK
EFKOR: KOFRE
EFKRÂ: FREKÂ
       KÂFRE
EFKRÔ: KÔFRE
EFKYÔ: KÔFYE
EFLMÊ: FÊMEL
EFLNÂ: FLÂNE
EFLOP: POFLE
EFLOT: FLOTE
EFLOW: FLEWO
EFLOÊ: OFELÊ
EFLPS: FELPS
EFLRÂ: FLERÂ
EFLSÛ: SÛFLE
EFLWÔ: WÔFLE
EFLÂÇ: ÂFLEÇ
EFLÇÛ: ÇÛFLE
EFMOÊ: ÊFOME
EFMYÂ: MEFYÂ
EFMÂÊ: ÂFEMÊ
EFNNR: FRENN
EFNNW: FWENN
EFNNÊ: FÊNEN
       FENNÊ
EFNNÛ: FÛNEN
EFNOS: FONSE
EFNYÂ: FENYÂ
EFNZÛ: FÛNEZ
EFORW: FREWO
EFOST: FOSET
EFOSW: FEWOS
EFOTW: FWOTE
EFOTY: FOTEY
EFRSÂ: FRÂSE
EFSTÊ: FESTÊ
EFSYÔ: FÔSYE
EFSÂÔ: ÂFÔSE
EFTYÔ: FÔTYE
EFTÂÂ: ÂFÂTE
EFTÇÛ: FÛÇET
EGGIR: IGREG
EGGNÂ: GENGÂ
EGIIR: IRIGE
EGILM: LEGIM
EGILS: GLISE
EGILV: VILGE
EGILZ: EGZIL
EGIMN: MENGI
EGIMR: MEGRI
EGINN: GINEN
EGINP: PINGE
EGINV: VINEG
EGIPR: GRIPE
EGIRT: GERIT
EGIRY: GRIYE
EGIVÂ: ÂVIGE
EGIWZ: ZEGWI
EGJLÔ: JÔGLE
EGJOT: GOJET
EGJOW: GWOJE
EGJOÂ: ÂGOJE
EGJRÛ: GÛREJ
EGKRÔ: KÔGRE
EGLMÂ: GÂMEL
EGLNO: LONGE
EGLOP: PLOGE
EGLOS: GLOSE
EGLOY: LOGEY
EGLSÂ: SÂGLE
EGLTÂ: LÂGET
EGLZÂ: ÂGLEZ
       LÂGEZ
       ZÂGLE
EGLZÔ: ZÔGLE
EGMNÂ: ENGÂM
EGMNÔ: GÔMEN
EGMNÛ: GÛMEN
EGMRÂ: GRÂME
EGMRÊ: MERÊG
EGMSÂ: SEGMÂ
EGMTÂ: MÂTEG
EGMTÛ: GÛMET
EGNNO: GENON
EGNNR: GRENN
EGNRT: TRENG
EGNRÂ: ÂGREN
EGNSÔ: SEGÔN
EGNTÂ: GENTÂ
EGOSW: GWOSE
EGOVW: GWEVO
EGOVY: VEGOY
EGOYZ: GOZYE
EGPRÊ: GRÊPE
EGPWÛ: GWÛPE
EGPZÂ: EGZÂP
EGPZÊ: ZEPÊG
EGRSÊ: SERÊG
EGRVÂ: ÂGREV
EGTYÛ: GÛTYE
EGWYÛ: GWÛYE
EHKOT: HOKET
EIIKR: EKIRI
EIILZ: EZILI
EIIMT: IMITE
EIINR: IRINE
EIINS: INESI
EIINT: INITE
EIINV: INIVE
EIIRT: IRITE
EIJLM: JIMEL
EIJLT: JILET
EIJMR: REJIM
EIJNN: JENNI
EIJNS: ENJIS
EIJNY: IJYEN
EIJOS: OSIJE
EIJPR: PRIJE
EIJRS: REJIS
EIJRW: REJWI
EIJSW: JWISE
EIJTV: VETIJ
EIJTW: JIWET
EIJYZ: JIZYE
EIKLN: NIKEL
EIKLS: EKLIS
       KILES
       KLESI
       KLISE
EIKLT: LEKTI
EIKLZ: EKZIL
EIKMN: KIMEN
EIKOP: OKIPE
EIKPR: KREPI
       PERIK
EIKPS: PISKE
EIKPT: PIKET
EIKRS: RISKE
       SIKRE
EIKRT: KRITE
EIKRY: KIRYE
       KRIYE
EIKSS: SIKSE
EIKST: KITES
EIKSY: KIYES
EIKSZ: ESKIZ
EIKTV: KIVET
EIKTÇ: ÇIKET
EILLS: SELIL
EILLT: LELIT
EILMN: LIMEN
EILMO: OMELI
EILMS: MELIS
EILMT: MILET
EILMY: LIMYE
EILMZ: ZILEM
EILMÇ: MIÇEL
EILNT: LINET
       LITEN
EILNY: LIYEN
EILNÂ: ÂNILE
EILOZ: IZOLE
EILPS: ELIPS
       PLISE
EILPY: PILYE
       PLIYE
EILPZ: PLEZI
EILPÂ: ÂPILE
EILRS: RISEL
EILRV: LIVRE
EILRY: RIYEL
EILRZ: LIZRE
       REZIL
EILSV: LESIV
EILSW: SIWEL
EILTV: LEVIT
EILTW: TIWEL
EILYZ: LIZYE
EIMNN: MINEN
EIMNS: SIMEN
EIMNT: ENTIM
EIMNV: VEMIN
EIMNÇ: ÇIMEN
EIMPP: PIMPE
EIMPR: PRIME
EIMRZ: REMIZ
EIMST: METIS
EIMSY: MISYE
EIMTY: MIYET
EIMWZ: MWEZI
EIMZÇ: ÇEMIZ
EINNR: RINEN
EINPS: PENIS
EINPT: PENTI
       PITEN
EINPZ: PINEZ
EINPÇ: PENIÇ
EINRT: RETIN
       RETNI
       TIREN
EINRV: REVNI
EINRZ: REZIN
EINSS: SESIN
EINST: SENTI
       SITEN
       TENIS
EINSV: VENIS
EINSY: SIYEN
EINTT: TETIN
EINTY: TINYE
EIPPT: PIPET
EIPRS: ESPRI
EIPRT: PETRI
EIPRV: PRIVE
EIPRY: PRIYE
EIPRÂ: ÂPIRE
EIPRÇ: PERIÇ
EIPST: PITES
EIPSZ: ZEPIS
EIPTW: PIWET
       TWIPE
EIPTY: PITYE
EIPTÂ: ÂPITE
EIPTÛ: EPITÛ
EIPWZ: PWEZI
EIRST: SIRET
EIRSZ: SERIZ
EIRSÇ: RIÇES
EIRTV: VITRE
EIRTY: TRIYE
EIRTÇ: REÇIT
EIRVY: RIVYE
EIRZZ: RIZEZ
EIRÂÇ: ÂÇERI
EISSV: SEVIS
EISTV: VITES
EISVY: VISYE
EITVY: VIYET
EITVÊ: ÊVITE
EITVÛ: ÛVETI
EIVYY: VYEYI
EIVYZ: VIZYE
EIYZZ: ZIZYE
EJJNÂ: JENJÂ
EJKLO: KOLEJ
EJKNO: KONJE
