AAABBMR: BAMBARA
AEEJPRÇ: REPEÇAJ
AEEKKRR: AKREKRE
AEEKLMR: REKLAME
AEEKLMT: TELEMAK
AEEKLNS: ANSEKLE
AEEKLSW: KALEWES
AEEKLSY: ESKALYE
AEEKMNW: AMWENKE
AEEKMNZ: EKZAMEN
AEEKNPS: ESKANPE
AEEKNRS: ANSEKRE
AEEKNST: EKSTENA
AEEKPRS: RESKAPE
AEEKPST: AKSEPTE
AEEKPTW: PATEKWE
AEEKRTZ: RAKETEZ
AEEKSSY: ASEKSYE
AEEKTZÇ: KATEÇEZ
AEELMNT: LEMATEN
         MATENEL
AEELMRZ: MALEREZ
AEELNPR: LANPERE
AEELNST: ENSTALE
AEELNTV: ENTEVAL
AEELPRZ: LAPEREZ
AEELRSY: SEREYAL
AEELRTÊ: ALÊTERE
AEELTTV: LAVETET
AEELTVÇ: ÇEVALET
AEELVYÇ: ÇEVALYE
AEEMNNV: EVENMAN
AEEMNRZ: EREZMAN
AEEMNST: SEMANTE
AEENNNV: ENNEVAN
AEENNRT: ANTRENE
AEENNRY: ARENYEN
AEENNTV: ENVANTE
AEENPRT: ANPETRE
         TANPERE
AEENPST: ANPESTE
         ESPANTE
AEENPTT: TANPETE
AEENPTZ: PEZANTE
AEENRTV: EVANTRE
AEENRYY: AYERYEN
AEENSYÇ: EÇEYANS
AEENTWY: NETWAYE
AEEOPRT: OPERATE
AEEOPRV: EVAPORE
AEEPPRR: PREPARE
AEEPRST: TREPASE
AEEPRSY: APRESYE
AEEPRSZ: PARESEZ
         REPASEZ
AEERSTV: TRAVESE
AEERSVW: RESEVWA
AEERSWY: YERESWA
AEERTVY: VARYETE
AEERTWZ: RAZWETE
AEERVWZ: REZEVWA
AEFGILN: FILANGE
AEFGINT: NEGATIF
AEFGIRS: AGRESIF
AEFIJRS: JESIFRA
AEFIKLM: MALEFIK
AEFIKLT: FAKILTE
AEFIKNR: AFRIKEN
AEFIKNY: KAFEYIN
AEFIKRS: FRIKASE
AEFIKRY: EFRAYIK
AEFILMN: LAFIMEN
AEFILMS: MALEFIS
AEFIMNZ: ANFIZEM
AEFIMSW: MASWIFE
AEFINNR: FARINEN
AEFINNS: FINANSE
AEFINRY: FINERAY
AEFINSY: FIYANSE
AEFINTZ: FANTEZI
AEFIPSY: PASIFYE
AEFIRRÇ: RAFREÇI
AEFISST: SATISFE
AEFITVY: VEYATIF
AEFKLNO: KAFENOL
AEFKNNÂ: ÂFANNKE
         ANFÂNKE
AEFKNRS: FARENKS
         FREKANS
AEFKNSÔ: KANSÔFE
AEFKSYÔ: AFEKSYÔ
AEFLMZÂ: MALFEZÂ
AEFLNNN: FLANNEN
AEFLNOS: SELOFAN
AEFLOST: LAFOSET
AEFMNTÛ: ETÛFMAN
AEFMOST: ATMOSFE
AEFMOTÊ: ÊFOMATE
AEFMPTÂ: PAFETMÂ
AEFNNNÛ: ANFÛNEN
AEFNNOS: ANFONSE
AEFNNTÂ: ÂFANTEN
         ANFÂTEN
AEFNOPW: PWOFANE
AEFNOTW: AFWONTE
AEFNOTY: FAYETON
AEFNPTÛ: PAFÛTEN
AEFNRSZ: FRANSEZ
AEFORTW: OTREFWA
AEFOTWY: ATWOFYE
AEFRYÂÛ: ÂFÛRAYE
AEGGIZZ: ZIGZAGE
AEGGNNÂ: GAGÂNEN
AEGGNOZ: EGZAGON
AEGIJNZ: EGZIJAN
AEGILSY: GLASIYE
AEGINNS: SANGINE
AEGINOZ: AGONIZE
         OGANIZE
AEGIPSY: GASPIYE
AEGIRST: SIGARET
AEGIRTV: GRAVITE
AEGJNRÂ: ÂGRENAJ
AEGKNOZ: EKZAGON
AEGKNRT: REKTANG
AEGKNST: GANKSTE
AEGLNNÔ: GALÔNEN
AEGLNRT: TRANGLE
AEGMNNO: MANGONE
AEGMNRT: GRANMET
AEGNNSW: SANGWEN
AEGNVYÛ: GÛVENAY
AEGRSYÔ: AGRESYÔ
AEGTWZÂ: WÂGATEZ
AEIIJLT: AJILITE
AEIIJMN: IMAJINE
AEIIKLM: AKIMILE
         IMAKILE
AEIILNV: ALEVINI
AEIIMNT: IMANITE
AEIJKLN: ANJELIK
AEIJLNS: ANJELIS
AEIJLNT: ANTIJEL
         JELATIN
         JENITAL
AEIJLNV: EVANJIL
AEIJMNR: REJIMAN
AEIJMOR: EMORAJI
AEIJNNT: ANTIJEN
AEIJPYZ: PIYAJEZ
AEIKKLL: KALKILE
AEIKKMN: MEKANIK
AEIKKSY: KISKEYA
AEIKLMS: MAKSILE
AEIKLMT: KALIMET
         METALIK
AEIKLNP: PELIKAN
AEIKLPY: LEKIPAY
AEIKLST: ELASTIK
AEIKLTV: VETIKAL
AEIKLVÂ: EKIVALÂ
AEIKMNP: EKIPMAN
AEIKMRS: SERAMIK
AEIKMRÊ: AMERIKÊ
AEIKMST: MASTIKE
AEIKNNT: TAKINEN
AEIKNPT: KAPITEN
AEIKNRY: ANKRIYE
AEIKNST: EKSITAN
         KANISTE
AEIKNSV: VAKSINE
AEIKNTT: KANTITE
AEIKPRT: PRATIKE
AEIKRTY: KREYATI
AEIKRYÇ: YERAÇIK
AEIKSSY: KASEYIS
AEIKSTT: ESTATIK
AEIKSTÇ: KATEÇIS
AEIKTYÇ: ÇAKITYE
AEILMNR: MERILAN
         MINERAL
AEILMNT: TEMINAL
AEILMNZ: LANMIZE
AEILMTY: LAMITYE
AEILMTZ: ZALIMET
AEILMTÂ: ALIMÂTE
AEILNRT: NATIREL
AEILNTY: ITALYEN
AEILPRS: ESPIRAL
AEILPRY: LAPRIYE
AEILRST: RESITAL
AEILRTY: LATRIYE
         LERITAY
AEILRTZ: REZILTA
AEILRVY: LARIVYE
AEILSTT: SATELIT
AEILWZZ: AZIZWEL
AEIMNNR: ANRIMEN
         MARINEN
AEIMNNT: MATINEN
AEIMNOZ: AMONIZE
AEIMNST: SIMANTE
AEIMNTT: MATINET
AEIMNTY: ANMIYET
AEIMOTY: ATEMIYO
AEIMSTY: MAYETIS
AEINNPT: PATINEN
AEINNPY: ANNIPYE
AEINNPÇ: PENÇINA
AEINNSS: SASINEN
AEINPPY: PEPIYAN
AEINPRT: REPANTI
AEINPRY: REPIYAN
AEINPYZ: PEYIZAN
AEINRYZ: ZARIYEN
AEINSTV: ANVITES
AEINSVY: SIVEYAN
AEINSYY: AYISYEN
AEIOPSZ: ASIPOZE
AEIPRVY: PREYAVI
AEIPSTÂ: APETISÂ
AEIRRST: RATRESI
AEIRTTW: TERITWA
AEIRTVÂ: AVÂTIRE
AEITTYZ: ZATIYET
AEJJMNN: JENJANM
AEJJNNN: JENNJAN
AEJKRÂÛ: ÂKÛRAJE
AEJLMNO: MAJOLEN
AEJLNNÛ: LAJÛNEN
AEJLNOR: RALONJE
AEJLNYÛ: JÛNALYE
AEJLOTÇ: JEÇALOT
AEJLRYÊ: ALJERYÊ
AEJNOPS: PESONAJ
AEJNOPT: PATOJEN
AEJNOPZ: JAPONEZ
AEJNPSÔ: PESÔNAJ
AEJNRSÊ: ÊJERANS
AEJOPPW: PWOPAJE
AEKKMNO: KAMOKEN
AEKKNRÔ: KÔKERAN
AEKKNSÔ: KÔSEKAN
AEKLLOT: LAKOLET
AEKLMNO: MAKONEL
AEKLMNÛ: EKÛLMAN
AEKLNNO: KALONEN
AEKLNNÔ: KALÔNEN
AEKLNOR: KORALEN
AEKLNOW: KAWOLEN
AEKLNRS: LARENKS
AEKLNSÂ: ALEKSÂN
AEKLORT: ARETKOL
AEKLPYÔ: KÔPAYEL
AEKLSVÂ: VALKÂSE
AEKLSYÂ: AKÂSYEL
AEKLYYÛ: KÛLYEYA
AEKMMNN: KANMENM
AEKMNNW: MWENNKA
AEKMNNÔ: MAKÔNEN
AEKMNOS: KOMANSE
         KOMESAN
AEKMNOT: KOMANTE
AEKMNOW: MAWOKEN
AEKMNPÂ: PAKEMÂN
AEKMNST: SEKTANM
AEKMNSÔ: KÔMANSE
         KÔMESAN
AEKMNSÛ: KÛMANSE
AEKMNTÔ: MEKÔTAN
AEKMOPR: POMERAK
AEKMOTÇ: MAÇOKET
AEKMRSÂ: SAKREMÂ
AEKMSWÊ: AMWÊSKE
AEKNNPT: KAPTENN
AEKNNPÔ: KAPÔNEN
AEKNNTÛ: ENKÛTAN
AEKNOPR: KONPARE
AEKNORT: RAKONTE
AEKNOSY: AKSYONE
AEKNOTW: KAWOTEN
AEKNSYÔ: AKSYÔNE
AEKNWYÂ: ENKWAYÂ
AEKPRTÔ: KÔPARET
AEKPRYÂ: PÂKREYA
AEKRTVÊ: KATREVÊ
         VÊKATRE
AEKRTYÔ: KÔTRAYE
AEKSWYÔ: EKWASYÔ
AELLNNP: LAPLENN
AELLNOS: SOLANEL
AELLOVY: ALVEYOL
AELMMNO: MALOMEN
AELMMNZ: MANMZEL
AELMNOT: ALONTEM
AELMNSW: MALSWEN
AELMNSÛ: SÛLAMEN
AELMNTÂ: LANTEMÂ
         LÂTEMAN
AELMNTÔ: MALÔNET
AELMOYZ: MALOZYE
AELMPTÂ: PALMÂTE
AELMVYÂ: MALVEYÂ
AELNNNP: PLANNEN
AELNNOS: ENSOLAN
AELNNPT: PLANTEN
AELNNTY: LYETNAN
AELNNTÔ: TALÔNEN
AELNOSZ: SALEZON
AELNOTW: LAWONTE
AELNPRÇ: ÇANPREL
AELNPSW: SANPWEL
AELNPSÔ: LAPESÔN
AELNPTÇ: PLANÇET
AELNPWÇ: ÇANPWEL
AELNSTÛ: LATÛSEN
AELNSÇÛ: SÛLEÇAN
AELOPRS: PARESOL
AELOPST: SALOPET
AELOPSY: ESPAYOL
AELOTZÇ: ZEÇALOT
AELPRYÊ: ÊPERYAL
AELPTTÂ: PÂTALET
AELPTZÔ: PLATEZÔ
AELPWYÂ: ÂPLWAYE
AELRSYÔ: RELASYÔ
AELSTWÊ: SÊTELWA
AELSVYÔ: LEVASYÔ
AELSYZÊ: SALEZYÊ
AELVZÂÛ: ALEVÛZÂ
AEMMMNN: MENMMAN
AEMNNSW: ANMWENS
AEMNNSÔ: MASÔNEN
AEMNORT: OTREMAN
AEMNORW: WOMAREN
AEMNORZ: ANMOREZ
AEMNOST: MONASTE
AEMNPST: SEPTANM
AEMNPÂÇ: ANPEÇMÂ
         ÂPEÇMAN
AEMNRSÛ: SÛMAREN
AEMNRTT: TRETMAN
AEMNRZÛ: ANMÛREZ
AEMNSSÊ: SÊSEMAN
AEMNSTY: SANTYEM
AEMNSTÊ: ESTAMÊN
AEMNSYÂ: ANSEYMÂ
         ÂSEYMAN
AEMNTTÛ: TÛMANTE
AEMNTVÛ: ÛVETMAN
AEMORTY: MATERYO
AEMORTZ: ZAMORET
AEMSTTÂ: TESTAMÂ
AEMSZÂÔ: ASEZÔMÂ
AEMTWYZ: TWAZYEM
AENNNOT: ANTONEN
         TAONNEN
AENNNPW: NANPWEN
AENNNÇÊ: ANÇÊNEN
         ANÇENNÊ
AENNOPT: ENPOTAN
AENNPPÂ: ANPENPÂ
         ÂPENPAN
AENNPRR: REPRANN
AENNPRT: ANPRENT
         PRENTAN
         PRETANN
AENNRTT: TRANTEN
AENNRTÛ: ANTRENÛ
AENNSVÔ: SAVÔNEN
AENNSYZ: ZANSYEN
AENNTTÔ: TATÔNEN
AENORSY: SENARYO
AENORTZ: RATEZON
AENOSTT: TETANOS
AENOTTY: ANTOTYE
AENPRSZ: PREZANS
AENPSYÂ: ENPASYÂ
AENPSYÔ: PESÔNAY
AENPZÇÊ: ÇÊPANZE
AENRSTV: VANTRES
AENRTTÂ: ANTRETÂ
         ÂTRETAN
AENSWYY: SWENYAY
AENSZÊÔ: ASEZÔNÊ
AENVYZÔ: ENVAZYÔ
AEOOPWY: AYEWOPO
AEOSWWY: YEWOSWA
AEPRTZÂ: PARÂTEZ
AEPSSYÔ: ASPESYÔ
AEPSTYÂ: SAPÂTYE
AEPTYÂÇ: ÇAPÂTYE
AERVWYÂ: RÂVWAYE
AESSTYÔ: ESTASYÔ
AESTTYÛ: SATÛYET
AETTYZÛ: ZATÛYET
AETTYÇÛ: ÇATÛYET
AETTÇÇÛ: ÇATÇÛTE
AETVVYÊ: VATEVYÊ
AFGIIRT: GRAFITI
AFGILLÂ: FILALÂG
AFGMORÂ: GRÂFOMA
AFGOORT: OTOGRAF
AFGRYÊÛ: GRAFÛYÊ
AFIIKPS: PASIFIK
AFIILMN: MALFINI
AFIJKNÛ: KAFÛNJI
AFIKNOS: OFISKAN
AFIKNRS: FRANSIK
AFIKNTÂ: FÂNATIK
AFIKORT: FAKTORI
AFIKRYÊ: ÊFRAYIK
AFILLPÔ: FILAPLÔ
AFILMNÂ: FINALMÂ
AFILNOT: LAFOTIN
AFIMNOS: FONMASI
AFINNTÂ: ÂFANTIN
         ANFÂTIN
AFINRTÊ: ÊFANTRI
AFIRYZÊ: FARIZYÊ
AFISYYÂ: FIYÂSAY
AFJMNOW: FWONMAJ
AFKNNOY: KONFYAN
AFKNOSY: FAKSYON
AFKNSYÔ: KÔFYANS
AFKRSYÔ: FRAKSYÔ
AFLMOPT: PLATFOM
AFLNOTÂ: LAFONTÂ
AFLNPÊÔ: PLAFÔNÊ
AFLSYÊÔ: ÊFLASYÔ
AFMNOTW: FWOTMAN
AFMNRÂÇ: FRÂÇMAN
         FRANÇMÂ
AFMOSYÔ: FOMASYÔ
AFMRSÂÔ: FRÂMASÔ
AFMTWÂÔ: AFWÔTMÂ
AFNNSÂÂ: ÂNÂFANS
         ÂNANFÂS
         ANNÂFÂS
AFNRSSÛ: SÛFRANS
AFOPTYÛ: FÛYAPOT
AFOSTTÛ: ATÛTFOS
AGGLOOT: GOLGOTA
AGGNNRÊ: GANGRÊN
AGIIMNR: IMIGRAN
AGIIMRS: SIMAGRI
AGIIRST: GITARIS
AGIKLNÂ: ÂGLIKAN
         ANGLIKÂ
AGIKLOR: AGRIKOL
AGILMNS: GLISMAN
AGILMOP: POLIGAM
AGILNNP: PLANING
AGILNOZ: GAZOLIN
AGILNTÛ: ANGLÛTI
AGILOPT: GALIPOT
AGILRTÂ: GALÂTRI
AGILTÂÇ: LÂGIÇAT
AGINNOT: ANTIGON
AGINNOZ: GANIZON
AGINOST: TIGASON
AGINOSW: ANGWOSI
AGINRTY: TRIYANG
AGIRTÂÇ: GÂTRIÇA
AGKNOOT: OKTAGON
AGKNWÛÛ: KANGÛWÛ
AGLNNOÊ: GALONNÊ
AGMMNÊÔ: MANGÔMÊ
AGMNNRÛ: GRANMÛN
AGMNOOW: AGWONOM
AGMNPWÛ: GWÛPMAN
AGMNYÂÛ: MÂGÛYAN
         MANGÛYÂ
AGMOPRW: PWOGRAM
AGMOYZÂ: ZOMÂGAY
AGMRTÂÊ: GRÂMATÊ
AGMRWÊÊ: MARÊGWÊ
AGNNNOO: NONAGON
AGNNOTY: TYOGANN
AGNOPTÊ: PÊTAGON
AGNOTVW: GWOVANT
AGNRYÊÔ: GARYÔNÊ
AGPRRÂÂ: GRÂPARÂ
AIIJLNV: VIJILAN
AIIKKLR: AKRILIK
AIIKLLT: LAKILTI
AIIKLMS: SIMILAK
AIIKLNZ: LAKIZIN
AIIKLPT: PATIKIL
AIIKLSV: AKSIVIL
AIIKMTY: KAYIMIT
AIIKNPS: ISPANIK
         KAPISIN
AIIKRTÇ: ÇAKITRI
         RAÇITIK
AIIKSTT: ATISTIK
AIIKSTV: AKTIVIS
AIILMNV: MALVINI
AIILMNY: IMILYAN
AIILNSS: LASISIN
AIILNSY: INISYAL
AIILSSY: ALSIYIS
AIILSVÂ: AVILISÂ
AIIMNNR: RIMINAN
AIIMNST: AMNISTI
AIIMNTV: VITAMIN
AIIMRST: RIMATIS
AIINPRS: ASPIRIN
AIIPRST: PATISRI
         TIPARIS
AIJLNOS: LAJONIS
AIJLNSÛ: JÛNALIS
AIJMNTÂ: JANTIMÂ
         JÂTIMAN
AIJMSYÊ: MAJISYÊ
AIJNSSW: JWISANS
AIJORSV: SOVAJRI
AIKKLLO: ALKOLIK
AIKKLOT: KATOLIK
AIKKNOT: NAKOTIK
AIKKNOY: KOKAYIN
AIKKNRÔ: KÔKIRAN
AIKKRYÊ: KÊKAYRI
AIKLMOZ: KAMIZOL
AIKLMSÊ: MASKILÊ
AIKLNOP: AKONPLI
AIKLNOV: VILOKAN
AIKLNOW: KAWOLIN
AIKLNOZ: ANKILOZ
AIKLNRT: TRANKIL
AIKLOTW: KILOWAT
AIKLPST: PLASTIK
AIKLRST: KRISTAL
AIKLTTÂ: ATLÂTIK
         TÂTAKIL
AIKMNOW: AKWONIM
AIKMOYZ: MOZAYIK
AIKNNOV: KANNIVO
AIKNNRÊ: RIKANNÊ
AIKNNTÔ: KÔTINAN
AIKNOPY: KONPAYI
AIKNORY: KARIYON
AIKNOTT: OTANTIK
AIKNOTÇ: ANTIÇOK
AIKNPTÊ: KAPITÊN
AIKNSTÔ: KÔSANTI
AIKORSW: KAWOSRI
AIKPPSÛ: PASPÛKI
AIKPRTÂ: PRATIKÂ
AIKTWZÛ: KÛTWAZI
AILLOPS: LAPOLIS
AILLOPT: LOPITAL
AILMNOR: LANMORI
AILMNOZ: IZOLMAN
AILMNTÂ: LÂMITAN
         LANMITÂ
AILMNVÊ: ANVLIMÊ
AILMRZÎ: MARILÎZ
AILNNOY: NAYILON
AILNNTW: LANNWIT
AILNOVY: ALIVYON
AILNOYZ: ALIZYON
AILNVWÔ: LAVIWÔN
AILOPPS: POPILAS
AILOPRS: SALOPRI
AILRTVY: TRIVYAL
AILRTYÂ: LÂTIRAY
AIMMNNO: MONIMAN
AIMMNTÛ: TIMAMÛN
AIMNNOT: ANTONIM
AIMNNOZ: ZANNIMO
AIMNPSÊ: MASPINÊ
AIMNRSÛ: SÛMARIN
AIMSTYÔ: MITASYÔ
AIMTYZÂ: ZÂMITAY
AINNNTW: NANNWIT
AINNORY: INYORAN
AINNOSS: INOSANS
AINNOST: INOSANT
AINNOVW: ANVIWON
AINNPRS: SIPRANN
AINNPSS: SISPANN
AINNRSÛ: NÛRISAN
AINOPPY: PAPIYON
AINOPST: SIPOTAN
AINORSY: IYORANS
AINPRTW: PWATRIN
AINPSSW: PWISANS
AINPYÇÔ: ÇANPIYÔ
AINRSÂÊ: ÂRASINÊ
AINSSSÛ: SANSÛSI
AINSSTY: SYANTIS
AINSSÂÊ: ÂSASINÊ
AINSSÊÊ: ÊSASINÊ
AINSTVÛ: TÛNAVIS
AINTTYÊ: TITANYÊ
AINTTÂÇ: ÇITATÂN
AINVWZÊ: VWAZINÊ
AINVWZÔ: ZANVIWÔ
AIOOSSW: ASOWOSI
AIOPSTY: SAPOTIY
AIRVWYÊ: IVWARYÊ
AISSSTÂ: ASISTÂS
AISSTYÔ: SITASYÔ
AISTWYÊ: SITWAYÊ
AJLLOWÛ: LAWÛJOL
AJLMSÂÛ: SÛLAJMÂ
AJLRTÂÛ: LÂTÛRAJ
AJPSTÂÛ: PÛSÂTAJ
AKKLNSÔ: KLAKSÔN
AKKLRÂÛ: KARÂKLÛ
AKKNNÂÊ: KÂKANNÊ
         KANKÂNÊ
AKKOORT: KOKORAT
AKLMOSY: KALSYOM
AKLNNOÊ: KALONNÊ
AKLNOOÇ: LAKOÇON
AKLNOWZ: KLWAZON
AKLNVÂÊ: VALKÂNÊ
AKLOOTV: OTOKLAV
AKLOSTW: KASTWOL
AKLPTÂÛ: KÂTALÛP
AKMMNOÂ: KOMÂMAN
         KOMANMÂ
AKMMNÂÛ: KÛMÂMAN
         KÛMANMÂ
AKMNNOÊ: MAKONNÊ
AKNNNÂÂ: KÂNÂNAN
         KÂNANNÂ
         KANNÂNÂ
AKNNOPR: KRANPON
AKNNOPT: PANNKOT
AKNNOPY: KONPANY
AKNNOPÊ: KAPONNÊ
AKNNORT: RANKONT
AKNNOST: KONSTAN
AKNNPRÔ: KÔPRANN
AKNOOYZ: OKAZYON
AKNOPYÔ: KONPAYÔ
         KÔPAYON
AKNOPZÔ: KÔPOZAN
AKNPRÊÔ: KRAPÔNÊ
AKNRWYÂ: KWARYÂN
AKNRYÊÔ: KARYÔNÊ
AKNSYÊÔ: ÊKÔSYAN
AKOSVYÔ: VOKASYÔ
AKOTWÇÛ: KAWOTÇÛ
AKSTWÂÊ: AKWÊTÂS
AKSTYÂÛ: SÂKÛTYA
AKSTÂÇÛ: SÂKÛTÇA
ALLOTZÊ: LÊZALOT
ALMMNÊÊ: MALMÊNÊ
ALMMTÔÛ: MALMÛTÔ
ALMMWÂÂ: MÂMÂLWA
ALMNNYÂ: LÂMYANN
         LANMYÂN
ALMNOOS: SALOMON
ALMNOYÊ: NOMALYÊ
ALMOOPT: OMOPLAT
ALMOPPW: MALPWOP
ALMPSÂÂ: ÂPLASMÂ
ALMPTWÊ: TÊMPLAW
ALNNOTÊ: TALONNÊ
ALNOOTZ: ZOTOLAN
ALNOPTÂ: PÂTALON
ALNOSSÊ: ÊSOLANS
ALNOSVY: VYOLANS
ALORTYÂ: ORYÂTAL
ALOTZÂÛ: OZALÂTÛ
ALPWWÛÛ: WÛLAWÛP
ALRTYÂÛ: LÂTÛRAY
AMMNOOY: AMONYOM
AMMNSÂÂ: SÂMÂMAN
         SÂMANMÂ
         SANMÂMÂ
AMMNÂÇÇ: ÇÂMÇANM
         ÇANMÇÂM
AMNNOSÊ: MASONNÊ
AMNOPTÂ: ANPOTMÂ
         ÂPOTMAN
AMNRTÂÊ: ANTRÊMÂ
         ÂTRÊMAN
AMNTWÂÇ: WATÇMÂN
AMNZÛÛÛ: AZÛMÛNÛ
AMOOPTY: MAPOTYO
AMOOPTÇ: MAPOTÇO
AMOPPWÛ: AMÛPWOP
AMPTWÂÊ: APWÊTMÂ
ANNNWYÛ: NYÛWANN
ANNOOPR: RANPONO
ANNOPRÂ: RANPÂNO
         RÂPANNO
ANNOPSY: PANSYON
ANNOPYÇ: ÇANPYON
ANNORYÂ: ÂRANYON
ANNOSTW: SANWONT
ANNOSTY: TANSYON
ANNOSVÊ: SAVONNÊ
ANNOTTÊ: TATONNÊ
ANNPTÊÔ: TANPÔNÊ
ANNRTÂÂ: ÂNANTRÂ
         ÂNÂTRAN
         ANNÂTRÂ
ANNSSVÛ: SÛVNANS
ANNTÇÊÔ: ÇANTÔNÊ
ANOPSTÊ: ÊPOTANS
ANOSSYÂ: ASÂSYON
ANOSTYÂ: ATÂSYON
ANOTTTÛ: TÛTOTAN
ANOVYZÊ: ÊVAZYON
ANPTTÇÊ: ANÇTPÊT
ANPWZÊÔ: PWAZÔNÊ
ANPYÂÇÔ: ÇÂPYÔNA
ANRRTYÊ: RÊNRAYT
ANSTYÊÔ: ÊTANSYÔ
ANSTZÂÂ: SÂZATÂN
ANSVYÊÔ: ÊVANSYÔ
ANTTZÂÂ: TANZÂTÂ
         TÂZANTÂ
         TÂZÂTAN
AOPSTTW: PWOSTAT
AOSSTWÂ: OSTÂSWA
AOSTVYÔ: VOTASYÔ
AOSTWYÔ: WOTASYÔ
APRSVÎÛ: RAPÛSÎV
APRSYÂÔ: SARÂPYÔ
APSSYÂÊ: ÊPASYÂS
APSTWÇÛ: PWATSÛÇ
ASSSYÂÔ: SÂSASYÔ
BBDEEEK: BEBEDEK
BBDEILO: BEBIDOL
BBEFLÔÔ: BÔBÔFLE
BBEINNO: BOBINEN
BBEKLOÂ: BEKÂBOL
BBELLNÊ: BLÊBLEN
         BLENBLÊ
BBINOÂÊ: ÂBOBINÊ
BBNOYÊÔ: BÔBONYÊ
BDDEEEJ: DJEBEDE
BDDEEIR: DEBRIDE
BDDEELÛ: DEDÛBLE
BDDEEOY: DEBODYE
BDDEIOS: DEBODIS
BDDEMOÂ: DEBODMÂ
BDEEELY: DEBLEYE
BDEEERY: DEBREYE
BDEEFIV: FIBDEVE
BDEEGOT: BODEGET
BDEEGOY: DEGOBYE
BDEEILS: DESIBEL
BDEEKLO: DEBLOKE
BDEEMRÂ: DEMÂBRE
BDEERÂÇ: DEBRÂÇE
BDEEWYÛ: DEBWÛYE
BDEGIRÂ: BRIGÂDE
BDEGLOÊ: GOLDÊBE
BDEIMOT: DEMIBOT
BDEINOR: REBONDI
BDEJNRÊ: BREDJÊN
BDELOZÛ: BÛLDOZE
BDELYÂÛ: BÂDÛLYE
BDEMRYÛ: DÛMBREY
BDEMWYÔ: DÔMBWEY
BDEMWYÛ: DÛMBWEY
BDENNÂÔ: BÂDÔNEN
BDENNÔÛ: BÛDÔNEN
BDEOTÇÊ: ÇOTDEBÊ
BDGIILN: BILDING
BDGIOTÛ: BÛTDIGO
BDIIIVZ: DIVIZIB
BDIILMÂ: MÂDIBIL
BDIILVÔ: BIDÔVIL
BDISYÂÔ: BÂDISYÔ
BDMNÂÔÛ: BÛDÔNMÂ
BDNNOÂÊ: BÂDONNÊ
BDNNOÊÛ: BÛDONNÊ
BEEEJNR: BEREJEN
BEEEKLN: KELENBE
BEEEKRT: KREBETE
BEEELRS: SELEBRE
BEEERTV: VETEBRE
BEEFINS: BENEFIS
BEEFNNÇ: BEFÇENN
BEEFTYÊ: BYÊFETE
BEEIKLN: KILENBE
BEEILLO: IBOLELE
BEEILNS: ENBESIL
BEEINRÇ: ÇERIBEN
BEEINTY: BENITYE
BEEIOTZ: OBEZITE
BEEKLMÊ: KELÊMBE
BEELMNN: BLENMEN
BEELRYÔ: REBELYÔ
BEELSVÛ: BÛLVESE
BEENNTY: BYENNET
BEENNTÔ: BETÔNEN
BEENRYÊ: BYÊNERE
BEERTYÛ: BÛRETYE
BEFIOSY: BIYOSFE
BEFIYZÔ: ZÔBIFYE
BEFKLOÛ: FÛKBOLE
BEFLOTÛ: FÛTBOLE
BEFLSÛÛ: BÛSÛFLE
BEFMNÂÛ: MÂFÛBEN
BEGGITÊ: GITÊBEG
BEGNNÔÛ: BÛGÔNEN
BEGNRZÊ: BRENZÊG
         BRÊZENG
BEIIKLT: KILBITE
BEIILPY: PIBLIYE
BEIILRR: LIBRERI
BEIINVZ: ENVIZIB
BEIJTYÛ: BIJÛTYE
BEIKLOR: BRIKOLE
BEIKLSÛ: BÛSKILE
BEINOPS: ENPOSIB
BEINOTW: WOBINET
BEINSSÂ: ENSÂSIB
BEINSTÂ: BISÂTNE
BEINVYÊ: BYÊVENI
BEIOPWY: PWOYIBE
BEIOSYÂ: OBEYISÂ
BEIPRST: PRESBIT
BEISYZÂ: ÂBISYEZ
BEITYZÛ: BÛZIYET
BEJNNÔÛ: BÛJÔNEN
BEKLNÂÔ: KÔBELÂN
BEKNNOY: KONBYEN
BEKNNÂÛ: BÛKÂNEN
BEKNORÂ: ÂKONBRE
BEKOOTY: BOYKOTE
BELLOOV: VOLEBOL
BELMOPW: PWOBLEM
BELNNÔÛ: BÛLÔNEN
BELNOPY: PLONBYE
BENNOTÊ: BETONNÊ
BENNTÔÛ: BÛTÔNEN
BENOSYZ: SENBYOZ
BENRSÇÛ: RENSBÛÇ
BENTYÔÛ: BÛTÔNYE
BEOORTZ: ZOTOBRE
BGGRRÂÊ: GRÂBRÊG
BGNNOÊÛ: BÛGONNÊ
BGNORWÊ: GWOBRÊN
BGNRRÂÊ: GRÂBRÊN
BIIIKSS: IBISKIS
BIIIKST: KIBITIS
BIIJRTÛ: BIJÛTRI
BIIKOTY: BIYOTIK
BIIRSTÛ: BISTÛRI
BIKLNOR: LONBRIK
BIKLOOW: BWOKOLI
BILNORT: LONBRIT
BILOVYÊ: BOLIVYÊ
BIMNOOR: MORIBON
BINNORT: NONBRIT
BINORYÂ: ÂBRIYON
BINOSYÂ: ÂBISYON
BINOTWÇ: BWONÇIT
BINOTYÛ: TÛBIYON
BJNNOÊÛ: BÛJONNÊ
BKLOOOS: KOLBOSO
BKLOYÊÔ: KOLÔBYÊ
BKNNOWÂ: KÂBWONN
BLLNÂÂÇ: BLÂÇLÂN
