AAABKL: BAKALA
AEKNRÇ: ÇANKRE
AEKNSS: SEKANS
AEKNSV: VAKSEN
AEKOPT: KAPOTE
AEKOST: AKOSTE
AEKOSZ: KASEZO
AEKOTW: KAWOTE
AEKOWÇ: AKWOÇE
AEKPRÔ: KÔPARE
AEKRST: EKSTRA
AEKRSÂ: KARESÂ
AEKRTT: TRAKTE
AEKRTÑ: REKTAÑ
AEKRTÔ: RAKÔTE
AEKSTZ: EKSTAZ
AEKTYÇ: TÇYAKE
AEKTÂÇ: ÂKAÇET
AEKWYZ: KWAZYE
AELLTW: LALWET
AELMNN: LANMEN
AELMNS: LANMES
        MASLEN
        SELMAN
AELMNT: METLAN
        TELMAN
AELMNW: LEMWAN
AELMPY: PALMYE
AELMSÇ: ÇALMES
AELMTT: MALTET
AELMTÊ: LEMATÊ
AELMTÔ: ALÔTEM
AELMWÛ: MAWÛLE
AELNOW: ANWOLE
AELNPT: LETANP
        PLANET
        PLANTE
AELNPÇ: ÇAPLEN
        PLANÇE
AELNST: LASENT
AELNSV: VALSEN
AELNSY: LAYENS
AELOPS: SALOPE
AELOPV: VALOPE
AELOPY: LEYOPA
AELORY: AREYOL
AELOTÇ: EÇALOT
AELPPY: PLAPYE
AELPRT: PERALT
        PLATRE
AELPRV: PREVAL
AELPSS: LESPAS
AELPSW: LESPWA
AELPTÇ: ÇAPLET
AELPWY: PLWAYE
AELPYÛ: PÛLAYE
AELRSÂ: ARÂSEL
AELSSY: LASYES
AELSTÂ: LASÂTE
AELSTÊ: ÊSTALE
AELSZÔ: SALEZÔ
AELTTW: TWALET
AELTTÛ: TÛTALE
AELTVÊ: ÊTEVAL
AELTWZ: ZETWAL
AELTWÔ: LAWÔTE
AELVWY: VWALYE
        VWAYEL
AELWZÛ: LAWÛZE
AEMMNW: MENMWA
AEMMOT: MAMOTE
AEMNNP: PANMEN
AEMNNR: MARENN
AEMNNT: TANMEN
AEMNNV: MANNEV
AEMNNY: MANYEN
AEMNOR: ANMORE
AEMNPÇ: PAÇMEN
AEMNRV: VREMAN
AEMNRY: MARYEN
        RANMYE
AEMNRÛ: ANMÛRE
AEMNSS: SEMANS
AEMNSV: VESMAN
AEMNSW: MASWEN
AEMNTÂ: ANTEMÂ
        ÂTEMAN
AEMNTÇ: MANÇET
AEMNVÊ: EVÊMAN
AEMNWY: MWAYEN
AEMOST: ESTOMA
AEMPZÂ: APEZMÂ
AEMRSÂ: RÂMASE
AEMRZÛ: AMÛREZ
AEMTWY: MWATYE
AENNNT: TANNEN
AENNNV: VANNEN
AENNOS: ANONSE
AENNOT: ETONAN
AENNPP: PENPAN
AENNPR: PARENN
AENNPT: PANTEN
        TENPAN
AENNPY: PANYEN
AENNRV: REVANN
AENNSS: NESANS
AENNST: ANSENT
        ESTANN
        SANTEN
AENNSV: VENSAN
AENNSY: ANSYEN
AENNTÔ: TAÔNEN
AENNVÊ: ÊNEVAN
AENOST: ASETON
AENOSY: OSEYAN
AENOSZ: ASEZON
AENOTV: TAVENO
AENOZÇ: OZANÇE
AENPRS: PRESAN
AENPRT: TRANPE
AENPRZ: PREZAN
AENPST: ESPANT
AENPTT: TANPET
AENPTY: PANTYE
AENPTÇ: ÇANPET
AENRRT: RANTRE
AENRST: RESTAN
AENRTÇ: TRANÇE
AENRTÛ: ANRETÛ
        ANTÛRE
AENRYÂ: ÂNARYE
AENRYÇ: REÇANY
AENSSY: SEYANS
AENSSÂ: ANSÂSE
        ÂSANSE
        ÂSASEN
AENSTZ: ZANSET
AENSTÂ: ANSÂTE
        ÂSANTE
AENTVÊ: ÊVANTE
AENTYÇ: ÇANTYE
AENTÂÇ: ÂÇANTE
        ANÇÂTE
AENVWZ: VWAZEN
AEOPRT: RAPOTE
AEOPRV: VAPORE
AEOPWÇ: APWOÇE
AEORVW: OREVWA
AEOSSY: ASOSYE
AEOTVY: OVETAY
AEOTWY: WAYOTE
AEPRTZ: TRAPEZ
AEPRVW: PREVWA
AEPSWZ: ZESPWA
AEPVWÛ: APWÛVE
AERSTV: TRAVES
AERTVÂ: ÂTRAVE
AERTZÔ: RATEZÔ
AERYYÊ: AYERYÊ
AESTTW: TWASET
AESVZÂ: SÂZAVE
AETVYÂ: AVÂTYE
        EVÂTAY
AFFNWÂ: FÂNFWA
AFGIKR: GRAFIK
AFGIRT: GRAFIT
AFGITÂ: FATIGÂ
AFGLRÂ: FLAGRÂ
AFIIST: ATIFIS
AFIJKÜ: KAFÜJI
AFIJLR: FRAJIL
AFIKNN: KANNIF
AFIKRT: FRAKTI
        TRAFIK
AFIKRÊ: AFRIKÊ
AFILMÂ: LAFÂMI
AFILMÊ: LAFIMÊ
AFILNS: SANFIL
AFIMNÂ: ÂFANMI
        ANFÂMI
AFIMSÂ: FÂMASI
AFIMSÔ: FÔMASI
AFIMTÂ: FATIMÂ
AFINNS: FINANS
AFINRÇ: FRANÇI
AFINRÊ: FARINÊ
AFIRTY: FRITAY
AFIRÂÇ: AFRÂÇI
AFITTÂ: ATÂTIF
AFITYÂ: ÂFAYIT
AFJMOW: FWOMAJ
AFJMSÂ: FÂMSAJ
AFJMWÔ: FWÔMAJ
AFJNOR: NOFRAJ
AFKLNO: FLAKON
AFKMNO: KANMFO
AFKNYÔ: KÔFYAN
AFKORY: KOFRAY
AFKOSY: FYASKO
AFKRSÊ: FARÊKS
AFKSYÔ: FAKSYÔ
AFLMNÂ: FLÂMAN
        FLANMÂ
AFLNNÊ: FLANNÊ
AFLNOP: PLAFON
AFLTYÂ: LAFYÂT
AFLTÂÔ: LAFÔTÂ
AFMNOT: FANMOT
        FANTOM
AFMSYÂ: FÂMSAY
AFNNÊÛ: ANFÛNÊ
AFNPTÛ: PANTÛF
AFNTÂÊ: ÂFANTÊ
        ANFÂTÊ
AFPTÊÛ: PAFÛTÊ
AFRSWÂ: FRÂSWA
AGGIZZ: ZIGZAG
AGGNNÂ: NGÂGAN
        NGANGÂ
AGGNRÛ: GRANGÛ
AGGNSÂ: GÂGANS
        GANGÂS
AGGNÂÊ: GAGÂNÊ
AGHNNÛ: HÛNGAN
AGIINT: GANITI
AGIJRY: GRIYAJ
AGIKST: GASKIT
AGILLN: LALING
AGILMÂ: LIGAMÂ
AGILNN: GILANN
AGILNO: LAGONI
AGILNS: GLISAN
AGILWY: GWAYIL
AGIMNP: PIGMAN
AGIMRS: GRIMAS
AGINNW: IGWANN
AGINOS: OGANIS
AGINRS: SANGRI
AGINRT: GRANIT
AGINZÔ: GANIZÔ
AGIRST: GRATIS
AGIRTÂ: GARÂTI
AGIRWZ: RIGWAZ
AGIRYY: GRIYAY
AGISTÔ: TIGASÔ
AGISVW: SIGWAV
AGJMÂÂ: ÂGAJMÂ
AGJNOW: GWOJAN
AGJNRÂ: GRÂJAN
        GRANJÂ
AGKLOT: KOLGAT
AGLNNO: LONGAN
AGLNÊÔ: GALÔNÊ
AGLOPT: GALPOT
AGLWÛÛ: LÛGAWÛ
AGMNRÜ: GRANMÜ
AGMNÂÂ: ÂGÂMAN
        ÂGANMÂ
        ANGÂMÂ
AGMOSÂ: MASOGÂ
AGMRTÂ: GRATMÂ
AGMSÂÛ: MÂGÛSA
AGNNOY: YOGANN
AGNORT: GRATON
AGNORY: GARYON
AGNPWÛ: ANGWÛP
AGNSWÊ: SANGWÊ
AGOSWÂ: AWOGÂS
AIIKLT: ITALIK
AIIKMN: MANIKI
AIIKMZ: KAZIMI
AIILLN: ALILIN
AIILNS: LASINI
AIILNT: LITANI
AIILPP: LAPIPI
AIIMSS: MASISI
AIINRT: IRITAN
AIINRW: IRINWA
AIINRÇ: ANRIÇI
AIINZZ: ZIZANI
AIIRSV: ARIVIS
AIISTY: SIYATI
AIISVÇ: AÇIVIS
AIIVVZ: VIZAVI
AIJJMN: JIJMAN
AIJLSÜ: JÜALIS
AIJLZÛ: JALÛZI
AIJMSÂ: AJISMÂ
AIJNST: JISTAN
AIJNSV: JANSIV
AIJRTÂ: AJÂTRI
AIKKLL: KALKIL
AIKKLS: KALIKS
        KLASIK
AIKKNN: KANNIK
AIKKNT: KANTIK
AIKKST: KAKTIS
AIKLMN: ANKLIM
AIKLMO: KALOMI
AIKLNY: KLIYAN
AIKLOR: KALORI
AIKLOT: AKOLIT
AIKLPÔ: AKÔPLI
AIKLST: LASTIK
AIKLSY: KLISAY
AIKMMO: KAMOMI
AIKMNN: KINANM
AIKMOT: ATOMIK
        TIKOMA
AIKMST: MASTIK
AIKMTÛ: MAKÛTI
AIKMYÂ: KAYIMÂ
AIKMÂÇ: KAÇIMÂ
AIKNNP: NAPKIN
AIKNNR: RANKIN
AIKNNT: KANTIN
AIKNOT: ANTIKO
AIKNOV: KANIVO
AIKNOZ: KAZINO
AIKNRÂ: KÂNARI
AIKNSV: VAKSIN
AIKNSÇ: ÇASKIN
AIKNTÊ: TAKINÊ
AIKOPT: PAKOTI
AIKOSZ: SIZOKA
AIKPRS: KAPRIS
AIKPRT: PRATIK
AIKPRY: KRIPYA
AIKPSÛ: PÛKISA
AIKPYÔ: KÔPAYI
AIKRST: AKTRIS
AIKRYÔ: KARIYÔ
AIKTTÂ: ÂTATIK
AIKTVW: VIKTWA
AILMOR: RAMOLI
AILMOY: MAYILO
AILMOÇ: ÇALIMO
AILMPS: PALMIS
AILMPT: MILPAT
AILMYÂ: ALIYMÂ
AILNOW: ALOWIN
AILNOZ: IZOLAN
AILNPR: RANPLI
AILNPS: ANPLIS
AILNPT: PLATIN
AILNPÑ: PLANIÑ
AILNRT: LATRIN
AILNTY: LANTIY
AILNVZ: VAZLIN
AILOPT: PALITO
AILORT: ORALTI
AILOTT: LATOTI
AILOWZ: IZOLWA
AILSSÂ: SALISÂ
AILSTW: LISTWA
AILTYÊ: ITALYÊ
AILVYÔ: ALIVYÔ
AILYZÔ: ALIZYÔ
AIMMTÜ: TIMAMÜ
AIMMZÂ: AMIZMÂ
AIMNNO: ANONIM
AIMNOT: MATINO
AIMNOÇ: MONAÇI
AIMNRÊ: ANRIMÊ
        MARINÊ
AIMNST: SANTIM
AIMNTÊ: MATINÊ
AIMPÂÇ: PAÇIMÂ
AIMRST: MATRIS
AIMTÂÇ: ÇATIMÂ
AINNOS: INOSAN
AINNRT: TANNRI
AINNTT: TANTIN
AINNTZ: TIZANN
AINORY: IYORAN
AINOTY: TAYINO
AINPPY: PIYANP
AINPRT: TANPRI
AINPRZ: ANPRIZ
AINPRÂ: PÂNARI
AINPSS: PISANS
AINPSY: PYANIS
AINPTÊ: PATINÊ
AINPÇÊ: PÊÇINA
AINRSW: NWARIS
AINSSÊ: SASINÊ
AINSVW: SWIVAN
AINSVZ: ZANSIV
AINTTÛ: TATÛNI
AINVWZ: VWAZIN
AINVWÔ: ANVIWÔ
AINWZÇ: ÇINWAZ
AIOPRZ: PARIZO
AIOPST: PITOSA
        SAPOTI
AIOPTÇ: ÇAPITO
AIOTTT: TITATO
AIPPYÔ: PAPIYÔ
AIPRSÂ: ASPIRÂ
AIPRTÂ: APRÂTI
AIPRTÛ: ATÛPRI
AIPSTÇ: PISTAÇ
AIPTZÂ: PATIZÂ
AIRSSÂ: ASIRÂS
AIRSTÂ: ATIRÂS
AIRTYÑ: TRIYAÑ
AIRYZÊ: ZARIYÊ
AISSTÂ: ASISTÂ
AISTVÜ: TÜAVIS
AISYYÊ: AYISYÊ
AJJLNO: JANJOL
AJJMNÊ: JÊJANM
AJJNNÊ: JÊNJAN
AJKNTÛ: JÛKTAN
AJLMNO: LOJMAN
AJLNOR: RALONJ
AJLNOZ: LOZANJ
AJLNÊÛ: LAJÛNÊ
AJLOTV: VOLTAJ
AJMNÂÇ: ÇÂJMAN
        ÇANJMÂ
AJMRÂÂ: ARÂJMÂ
AJNORZ: ZORANJ
AJNSTÛ: JÛSTAN
AJPVWÛ: JAPWÛV
AJRTÂÛ: ÂTÛRAJ
AKKMOÊ: KAMOKÊ
AKKNOT: KONTAK
AKKNOV: KONKAV
AKKORZ: KOKRAZ
AKLMSÂ: KLASMÂ
AKLNOS: KALSON
AKLNOV: VOLKAN
AKLNOÊ: KALONÊ
AKLNÊÔ: KALÔNÊ
AKLOOÇ: ÇOKOLA
AKLORT: KLORAT
AKLORÊ: KORALÊ
AKLOSV: VOKSAL
AKLOSW: KASWOL
AKLOWÊ: KAWOLÊ
AKLOÇÔ: LAKOÇÔ
AKLPRÂ: LAKRÂP
AKLPYÛ: KÛPLAY
AKLRSÊ: LARÊKS
AKLWZÔ: KLWAZÔ
AKMMNÊ: KANMÊM
AKMNNO: KOMANN
AKMNOY: KAMYON
        MANYOK
AKMNOZ: KOZMAN
AKMNWÊ: MWÊNKA
AKMNÊÔ: MAKÔNÊ
AKMOOS: MASOKO
AKMOST: MASTOK
AKMOVY: VAKYOM
AKMOWÊ: MAWOKÊ
AKMRÂÛ: KÛRAMÂ
AKMTVÛ: VÛMTAK
AKMWZÂ: KWAZMÂ
AKMÂÇÛ: AKÛÇMÂ
AKNNOS: KANSON
AKNNOT: KANNOT
        KANTON
        KONTAN
AKNOPY: KONPAY
AKNORT: KONTRA
AKNORÛ: OKÛRAN
AKNOST: KONSTA
AKNOSY: AKSYON
        KOSYAN
AKNOTW: KONTWA
AKNPRÔ: KRANPÔ
AKNPTÊ: KAPTÊN
AKNPYÔ: KÔPANY
AKNPÊÔ: KAPÔNÊ
AKNRTÔ: RANKÔT
AKNSTÔ: KÔSTAN
AKNTÊÛ: ÊKÛTAN
AKOYZÔ: OKAZYÔ
AKPYÔÔ: KÔPAYÔ
AKSSWÂ: KWASÂS
AKSWYÂ: KWAYÂS
AKSÂÇÛ: SÂKÛÇA
AKTÇÛÛ: KAÛTÇÛ
AKWYÂÊ: ÊKWAYÂ
ALLNPÊ: LAPLÊN
ALLPÂÇ: LAPLÂÇ
ALMMOÊ: MALOMÊ
ALMNOT: LATONM
ALMNTÂ: LANTMÂ
        LÂTMAN
ALMNWÛ: WÛLMAN
ALMORÂ: ORALMÂ
ALMOSÔ: SALOMÔ
ALMOTT: MATLOT
ALMPSÂ: PLASMÂ
ALMSWÊ: MALSWÊ
ALMSÂÇ: MALÇÂS
ALMSÊÛ: SÛLAMÊ
ALNNOT: LONTAN
ALNNOW: LAWONN
ALNNPÊ: PLANNÊ
ALNNTÎ: LANNÎT
ALNOPT: PLATON
ALNOPV: ANVLOP
ALNOPY: PANYOL
ALNOSV: SOLVAN
ALNOSÊ: ÊSOLAN
ALNOVY: VYOLAN
ALNPTÊ: PLANTÊ
ALNPZÛ: ZANPÛL
ALNTÊÔ: TALÔNÊ
ALOPST: POSTAL
ALOSSY: SOSYAL
ALPTVÂ: PLAVÂT
ALPTÂÔ: PÂTALÔ
ALRTÂÂ: ALÂTRÂ
ALSSYÂ: LASYÂS
ALSTÊÛ: LATÛSÊ
ALVYÂÛ: YÂVALÛ
AMMMNÊ: MÊMMAN
AMMNVÛ: MÛVMAN
AMMNÂÂ: AMÂNMÂ
AMNNOS: MASONN
AMNNOV: NOVANM
AMNNRÂ: RÂNMAN
        RANNMÂ
AMNNSÂ: SÂNANM
        SANNÂM
AMNNZÂ: ZÂMANN
        ZANMÂN
AMNOSW: MWASON
        WOMANS
AMNOSZ: ZOSMAN
AMNOTY: MONTAY
AMNOTÇ: ÇANMOT
AMNOYÇ: ÇONMAY
AMNPSÂ: PANSMÂ
        PÂSMAN
AMNSWÊ: ANMWÊS
AMNSÂÇ: ÇÂNMAS
AMNSÊÔ: MASÔNÊ
AMNWÂÇ: WAÇMÂN
AMORWÊ: WOMARÊ
AMOTVÂ: AVOTMÂ
AMRSÊÛ: SÛMARÊ
AMSTÇÛ: MÛSTAÇ
AMSVÂÂ: AVÂSMÂ
AMTWÂÇ: WATÇMÂ
AMZÛÛÜ: AZÛMÜÛ
ANNNTÎ: NANNÎT
ANNOPT: TANPON
ANNOPW: NAPWON
ANNORY: RANYON
ANNOSY: NASYON
ANNOSÇ: ÇANSON
ANNOTÊ: ANTONÊ
        TAONNÊ
ANNPWÊ: NANPWÊ
ANNPÂÂ: ANPÂNÂ
        ÂPÂNAN
        ÂPANNÂ
ANNSZÎ: NÎZANS
ANNYÂÎ: ÂNÎYAN
        ANNÎYÂ
ANNZÂÂ: ZÂNÂNA
ANNÇÊÊ: ANÇÊNÊ
ANOPSW: PWASON
ANOPSY: PASYON
ANOPTW: PATWON
ANOPTÊ: ÊPOTAN
ANOPWZ: PWAZON
ANOTWÂ: ÂTONWA
ANOWYY: WONYAY
ANOWYÇ: ÇAWONY
ANPPÂÊ: ANPÊPÂ
        ÂPÊPAN
ANPRTÂ: ANTRÂP
        ÂTRANP
ANPRTÊ: ANPRÊT
        PRÊTAN
ANPSYÔ: PANSYÔ
ANPTWÂ: PWATÂN
ANPTYÂ: TYANPÂ
        TYÂPAN
ANPTÂÇ: TÇANPÂ
        TÇÂPAN
ANPYÇÔ: ÇANPYÔ
ANRYÂÔ: ÂRANYÔ
ANSSTÂ: SANTÂS
        SÂTANS
ANSSWÂ: SWASÂN
ANSTWÔ: SANWÔT
ANSTYÔ: TANSYÔ
ANSVÂÂ: ÂNAVÂS
ANSVÊÔ: SAVÔNÊ
ANSYZÊ: ZANSYÊ
ANTTÊÔ: TATÔNÊ
ANTVZÛ: VANTÛZ
ANYÇÇÛ: ÇÛÇANY
AOPSVÂ: AVÂPOS
AOPTTÂ: POTÂTA
AOPTYÇ: POTÇAY
AOPVWÛ: OPÛVWA
AOTTWW: TWOTWA
APSSYÂ: PASYÂS
APSYÂÊ: ÊPASYÂ
APTTÛÛ: TÛPATÛ
APTWYÛ: PATWÛY
ARTYZÂ: ZÂTRAY
ARTYÂÛ: ÂTÛRAY
ASSTWÂ: SWASÂT
ASSYÂÔ: ASÂSYÔ
ASTYÂÔ: ATÂSYÔ
AVYZÊÔ: ÊVAZYÔ
BBEEIT: TIBEBE
BBEILÂ: BÂBILE
BBEINO: BOBINE
BBELOZ: BEZBOL
BBEMNO: BENMBO
BBENOR: BOBREN
BBEOÂÇ: BÂBOÇE
BBIIKL: BIBLIK
BBIIOÇ: IBOBIÇ
BBILOÂ: BÂBILO
BBINOW: BIBWON
BBINOÊ: BOBINÊ
BBIOOR: BOBORI
BBLLÊÊ: BLÊBLÊ
BBNNOO: BONBON
BBNOSÂ: BONBÂS
BBNOÇÛ: BONBÛÇ
BDEEEJ: JEBEDE
BDEEGO: DEGOBE
BDEEIT: DEBITE
BDEELN: BLENDE
BDEENY: DEBYEN
BDEEOÇ: DEBOÇE
BDEERÛ: DEBÛRE
BDEESÛ: DEBÛSE
BDEEYÛ: DEBÛYE
BDEEÇÛ: DEBÛÇE
BDEILR: DRIBLE
BDEIRÔ: REBÔDI
BDEITÂ: DEBITÂ
BDEJLÂ: DJÂBEL
BDELOZ: BLODEZ
BDENOY: BONDYE
BDGIIÛ: BIGÛDI
BDGLOÛ: BÛLDOG
BDIILO: LIBIDO
BDIILÑ: BILDIÑ
BDIORW: BWODRI
BDLNOÛ: DÛBLON
BDLOWÂ: BÂDWOL
BDNOOY: DONBOY
BDNOSÂ: BONDÂS
BDNÂÊÔ: BÂDÔNÊ
BDNÊÔÛ: BÛDÔNÊ
BEEEKK: BEKEKE
BEEELR: REBELE
BEEENT: ENBETE
BEEFLS: FEBLES
BEEGMÂ: ÂMBEGE
BEEILT: LIBETE
BEEINS: EBENIS
BEEIPT: PIBETE
BEEIRT: REBITE
BEEITZ: BETIZE
BEEKLÊ: KELÊBE
BEELRT: BRETEL
BEENNY: BENYEN
BEENPÇ: PENBEÇ
BEENRT: TENBRE
BEENWZ: BEZWEN
BEEOSV: OBSEVE
BEERVY: BREVYE
BEERYÂ: ÂBREYE
BEFGNO: FONGBE
BEFIKT: BIFTEK
BEFILT: FLEBIT
BEFIRZ: BRIZFE
BEFNÇÊ: BEFÇÊN
BEGILN: BILENG
BEGIOT: BIGOTE
BEGLOW: GWOBLE
BEGMNÂ: BEGMÂN
BEIIJL: JIBILE
BEIIKL: EKILIB
BEIJLO: OBLIJE
BEIKLR: KRIBLE
BEIKLÊ: KILÊBE
BEIKRÛ: BÛRIKE
BEIKST: BISKET
BEIKSÂ: ÂBISKE
BEILNT: BILTEN
BEILST: TIBLES
BEILSÊ: ÊBESIL
BEILWÛ: WÛLIBE
BEINST: BISENT
BEIRTÂ: REBITÂ
BEIRÇÊ: ÇERIBÊ
BEISYÂ: ÂBISYE
BEIYZÛ: BÛZIYE
BEJLÂÛ: BÛLÂJE
BEJTWÛ: BETWÛJ
BEKKOO: KOKOBE
BEKLNO: KONBLE
BEKLTÛ: BÛKLET
BEKNNO: KONBEN
BEKNOS: SENKOB
BEKNYÔ: KÔBYEN
BEKORY: BOKYER
BEKRÂÔ: ÂKÔBRE
BEKTÂÛ: BÛKÂTE
BELMNÂ: BLÂMEN
BELMNÊ: BLÊMEN
        BLENMÊ
BELMOP: POBLEM
BELMWÛ: WÛMBLE
BELMÂÛ: EBÛLMÂ
BELNOP: PLONBE
BELNOS: SENBOL
BELOOW: BOLEWO
BELOOZ: BOLOZE
BELPYÔ: PLÔBYE
BELRTÂ: TRÂBLE
BELSVÛ: BÛLVES
BELTWÛ: TWÛBLE
BEMNNO: MONBEN
BEMNOW: BEWONM
BENNOT: BONNET
        BONTEN
BENNRÂ: BRÂNEN
BENORT: BRETON
BENTYÊ: BYÊNET
BENTÊÔ: BETÔNÊ
BEOPVW: PWOVEB
BEOSTY: SOBTYE
BERSÂÛ: RÂBÛSE
BERZÊÑ: BRÊZEÑ
BEWYÂÛ: ÂBWÛYE
BFIMOW: FIBWOM
BFIOSW: WOSBIF
BFKLOÛ: FÛKBOL
BFLOOP: FLOBOP
BFLOTÛ: FÛTBOL
BFMÂÊÛ: MÂFÛBÊ
BGHRÂÂ: BRÂHÂG
BGILLO: GLOBIL
BGIOZÂ: BIZÂGO
BGNÊÔÛ: BÛGÔNÊ
BGRZÊÊ: BRÊZÊG
BIIIKN: BIKINI
BIIKLP: PIBLIK
BIIKRR: BRIKRI
BIIKRÇ: KRIBIÇ
BIILST: SIBTIL
BIINSZ: BIZNIS
BIISTW: BISWIT
BIIVZÊ: ÊVIZIB
BIKLOS: BLOKIS
BIKLPÛ: BÛLPIK
BIKLRÔ: LÔBRIK
BIKMOW: MIKWOB
BIKMTÛ: KÛMBIT
BIKNOT: KONBIT
BIKOST: BOKSIT
BIKOSÂ: BOKÂSI
BIKSTÎ: BISKÎT
BILNÂÛ: ÂBÛLIN
BILOWÛ: WÛLOBI
BILRTÔ: LÔBRIT
BILSÂÂ: ÂBILÂS
BIMNOT: TIBONM
BIMORÔ: MORIBÔ
BINORS: BRISON
BINRTÔ: NÔBRIT
BIOOST: OTOBIS
BIOPSÊ: ÊPOSIB
BIRYÂÔ: ÂBRIYÔ
BISSÂÊ: ÊSÂSIB
BISYÂÔ: ÂBISYÔ
BITWÇÔ: BWÔÇIT
BITYÔÛ: TÛBIYÔ
BJNNOÂ: BONNÂJ
BJNÊÔÛ: BÛJÔNÊ
BKLÛÛÛ: BÛKÛLÛ
BKMNÂÛ: BÛKMÂN
BKNOYÊ: KONBYÊ
BKNWÂÔ: KÂBWÔN
BKNÂÊÛ: BÛKÂNÊ
BKSÛÛÛ: BÛKÛSÛ
BLNOWÛ: WÛBLON
BLNOZÛ: BLÛZON
BLNÊÔÛ: BÛLÔNÊ
BMNNOÔ: BONNÔM
        BÔNONM
BMTYÛÛ: TYÛBÛM
BMTÇÛÛ: TÇÛBÛM
BMZÂÂÂ: BÂZÂMÂ
BNOOOÇ: BONOÇO
BNOSSÂ: BONSÂS
BNTÊÔÛ: BÛTÔNÊ
BOOWÂÇ: WOÇÂBO
BOSYZÊ: SÊBYOZ
BRSÇÊÛ: RÊSBÛÇ
BTYÔÛÛ: TÛBÛYÔ
DDEEET: DEDETE
DDEEIS: DESIDE
DDEEIV: DEVIDE
DDEEJJ: DJEDJE
DDEEKO: DEKODE
DDEEMO: DEMODE
DDEEOY: DEYEDO
DDEGIÛ: DEGÛDI
DDEGÊÛ: DEGÛDÊ
DDEIOY: ODEYID
DDEOZÂ: ÂDEZOD
DDIIRR: DRIDRI
DDIISÂ: DISIDÂ
DDIIZÔ: DIZÔDI
DDIKOS: DISKOD
DDINOÊ: DODINÊ
DDJJÂÂ: DJÂDJÂ
DDJJÔÔ: DJÔDJÔ
DDKKÛÛ: DÛKDÛK
DDRRÂÂ: DRÂDRÂ
DDSÊÊÊ: SÊDÊDÊ
DDYYÂÂ: DYÂDYÂ
DDYYÔÔ: DYÔDYÔ
DEEEGL: DELEGE
DEEEGY: YEGEDE
DEEEJN: DEJENE
DEEELM: DEMELE
DEEELS: DESELE
DEEELY: DELEYE
DEEENS: DESENE
DEEEPÇ: DEPEÇE
DEEERS: DESERE
DEEERT: DETERE
DEEESV: DEVESE
DEEETT: DETETE
DEEETZ: DEZETE
DEEFIL: DEFILE
DEEFIY: EDIFYE
DEEFKÔ: FEKÔDE
DEEFKÛ: DEFÛKE
DEEFLÛ: DEFÛLE
DEEFMO: DEFOME
DEEFNÜ: DEFÜEN
DEEFRÔ: EFÔDRE
DEEFSÔ: DEFÔSE
DEEFTY: FETDYE
DEEGIP: DEGEPI
DEEGIV: GEDEVI
DEEGIZ: DEGIZE
DEEGJO: DEGOJE
DEEGLÊ: GÊDELE
DEEGNN: DEGENN
DEEGOÇ: DEGOÇE
DEEGSÔ: SEGÔDE
DEEGSÛ: DEGÛSE
DEEGTÛ: DEGÛTE
DEEIJL: LEJEDI
DEEIJR: DIJERE
DEEIKN: ENDIKE
        KENEDI
DEEIKS: DISEKE
DEEIKT: DETIKE
DEEILR: DELIRE
DEEIMP: EPIDEM
DEEIMT: MEDITE
DEEINS: DESENI
        DESINE
DEEINV: DEVINE
DEEINY: ENDIYE
DEEINÇ: DENIÇE
DEEIPR: DEPERI
DEEIPT: DEPITE
DEEIPZ: DEZIPE
DEEIRT: DETIRE
DEEIRV: DERIVE
        DEVIRE
DEEIRZ: DEZIRE
DEEIRÇ: DEÇIRE
DEEISV: DESEVI
        DEVISE
DEEITY: ETIDYE
DEEJKÛ: DEJÛKE
DEEJLO: DELOJE
DEEJNN: DEJNEN
DEEJRÂ: DÂJERE
        DERÂJE
DEEJTÂ: DEJÂTE
        DETEJÂ
DEEKKO: DEKOKE
DEEKKW: KWEDEK
DEEKLN: DEKLEN
DEEKLO: DEKOLE
DEEKOR: DEKORE
DEEKPÂ: DEKÂPE
DEEKPÛ: DEKÛPE
DEEKÇÛ: DEÇÛKE
DEELMN: MENDEL
DEELNS: DELENS
DEELNW: DELWEN
DEELOZ: DEZOLE
DEELPÂ: LEPEDÂ
DEELTÛ: TÛLEDE
DEELWÛ: DEWÛLE
DEEMNN: DENMEN
DEEMNS: MEDSEN
DEEMNV: MENDEV
DEEMOR: MODERE
DEEMOW: EMEWOD
DEEMOZ: DEZOME
DEEMTÔ: DEMÔTE
DEEMYZ: DEZYEM
DEEMÂÇ: DEMÂÇE
DEENNP: DEPENN
DEENNT: DETENN
DEENNV: DEVENN
DEENNY: ENDYEN
DEENOZ: DEZONE
DEENRY: DERYEN
DEENST: DESTEN
DEENSÂ: ENDESÂ
DEENSÔ: DENÔSE
DEENSÜ: DESÜEN
DEENTÜ: DETÜEN
DEENYÂ: ÂDENYE
DEENZÔ: DEZÔNE
DEEOPT: DEPOTE
DEEOPZ: DEPOZE
DEEORV: DEVORE
DEEOSZ: DEZOSE
DEEOSÇ: DEÇOSE
DEEPSÂ: DEPÂSE
DEERST: DETRES
DEERTÂ: ÂTREDE
DEERTÛ: DERETÛ
DEERVÂ: REVÂDE
DEESVÂ: DESEVÂ
        DEVÂSE
DEETWÛ: DEWÛTE
DEFIIN: DEFINI
DEFIIS: DEFISI
        EDIFIS
DEFILÊ: ÊFIDEL
DEFIMÂ: DEFÂMI
