AAABDENS: ANBASADE
AEGNORSY: AGRESYON
AEIIKLPT: KAPITILE
AEIIKMNT: MATINIKE
AEIIKNTT: ANTIKITE
AEIIKRST: EKARISTI
AEIIKTTV: AKTIVITE
AEIIKTTÇ: AÇITEKTI
AEIILMNP: MANIPILE
AEIILRTT: LITERATI
AEIIMRTT: MATIRITE
AEIIMRTZ: MATIRIZE
AEIIPPST: PATISIPE
AEIJKKSS: JISKASKE
AEIJKLRS: RESIKLAJ
          SAKRILEJ
AEIJKPRS: KREPISAJ
AEIJLLNS: LANJELIS
AEIJLLNV: LEVANJIL
AEIJLNTÊ: ÊTELIJAN
AEIJMNST: JISTEMAN
AEIJMNSY: MAJISYEN
AEIJMORT: MAJORITE
AEIJMSTÂ: AJISTEMÂ
AEIJNSTY: JANTIYES
AEIJRRTY: JERYATRI
AEIKKLLY: KILAKYEL
AEIKKNRY: KENKAYRI
AEIKKORY: RAKOKIYE
AEIKKSTW: KISAKWET
AEIKLLOT: LOKALITE
AEIKLLOZ: LOKALIZE
AEIKLMNS: MASKILEN
AEIKLNOZ: ANKILOZE
AEIKLNPS: EKLANPSI
AEIKLNRT: KLARINET
AEIKLOTW: KILOWATE
AEIKMNST: SEMANTIK
AEIKMNTÔ: KÔTAMINE
AEIKMNZÊ: EKZAMINÊ
AEIKMRST: MASKRETI
AEIKMRTY: KATRIYEM
AEIKNNNR: RIKANNEN
AEIKNNPT: KAPITENN
AEIKNNRT: NEKTARIN
AEIKNNRY: RANKINYE
AEIKNNST: KANNISTE
AEIKPRSY: KAPRISYE
          KREPISAY
AEIKRSST: KRISTASE
AEILMNNV: ANVLIMEN
AEILMNPS: SIPLEMAN
AEILMNST: SITELMAN
AEILMORT: MORALITE
AEILMORZ: MORALIZE
AEILMOTT: MOTALITE
AEILMRST: MILATRES
AEILNPSS: LESPINAS
AEIMNNPS: MASPINEN
AEIMNSSZ: SEZISMAN
AEIMNSTT: SANTIMET
AEIMOSTY: SIYAMETO
AEIMRTTY: MITRAYET
AEIMRTYZ: MITRAYEZ
AEIMSTVÂ: AVETISMÂ
AEINNPST: PENITANS
AEINNRSÂ: ÂRASINEN
AEINNSSÂ: ÂSASINEN
AEINNSSÊ: ENSASINÊ
          ÊSASINEN
AEINNTTY: TITANYEN
AEINNVWZ: VWAZINEN
AEINOTTY: ANTOTIYE
AEINPRSY: REPIYANS
AEINPRTW: PWATRINE
AEINPSST: PESISTAN
AEINRSST: RETISANS
AEINRVWY: IVWARYEN
AEINSTWY: SITWAYEN
AEINTYÇÔ: EÇANTIYÔ
AEIOPRVZ: VAPORIZE
AEIORSTV: VORASITE
AEIOSTTW: ATWOSITE
AEIPRTTÂ: TÂPERATI
AEIPRVWY: PWAVRIYE
AEIRTVWY: TWARIVYE
AEIRTVYÂ: AVÂTIRYE
AEISTYZÔ: EZITASYÔ
AEJKKSSÛ: JÛSKASKE
AEJKLMYÊ: JAKMELYÊ
AEJLMNNÛ: JÛNELMAN
AEJMNORY: JERANYOM
AEJNNOPS: PESONNAJ
AEJNOPSY: ESPYONAJ
AEJSSTYÔ: JESTASYÔ
AEKKNNNÂ: KÂKANNEN
          KANKÂNEN
AEKKNNOR: KONKERAN
AEKKNNOS: KONSEKAN
AEKKNSSÔ: KÔSEKANS
AEKKNSÊÔ: ÊKÔSEKAN
AEKLLSYÂ: LAKÂSYEL
AEKLMNPÔ: KÔPLEMAN
AEKLMOPW: PWOKLAME
AEKLMOST: LESTOMAK
AEKLMTYÂ: AKTYELMÂ
AEKLNNNO: KALONNEN
AEKLNNVÂ: VALKÂNEN
AEKLNOPY: KONPAYEL
AEKMMNTÂ: KETMÂMAN
          KETMANMÂ
AEKMNNNO: MAKONNEN
AEKMNNOS: KONMANSE
          KONMESAN
AEKMNNOT: MEKONTAN
AEKMNOTY: KAMYONET
AEKMOTYZ: KATOZYEM
AEKMRTYÂ: KARÂTYEM
AEKNNNOP: KAPONNEN
AEKNNOSS: KONESANS
AEKNNOSY: AKSYONNE
AEKNNPRÔ: KRAPÔNEN
AEKNNRYÔ: KARYÔNEN
AEKNNSSÔ: KÔNESANS
AEKNNSYÔ: ENKÔSYAN
AEKNOPRT: KONPARET
AEKNOPSZ: EKSPOZAN
AEKNORTY: KONTRAYE
AEKNOSWY: EKWASYON
AEKNOSYZ: AKSYONEZ
AEKNPRSÔ: REKÔPANS
AEKNPTÊÔ: ÊKÔPETAN
AEKNRRTÔ: RANKÔTRE
AEKNRSTÔ: KÔSANTRE
AEKNRTVÊ: VÊNKATRE
AEKNSTWÂ: AKWENTÂS
AEKNVYÊÔ: ÊKÔVEYAN
AEKRRTYÔ: KÔTRARYE
AELLNOTZ: LENZALOT
AELMMNNÊ: MALMÊNEN
          MALMENNÊ
AELMNNOT: MALONNET
AELMNNOY: NOMALYEN
AELMNPSÊ: SÊPLEMAN
AELMNPTW: TENMPLAW
AELMNSVÛ: SÛLEVMAN
AELNNNOT: TALONNEN
AELNNOPS: LAPESONN
AELNNOSS: ENSOLANS
AELNOPTZ: PLATEZON
AELNORST: TOLERANS
AELNORSY: RELASYON
AELNOSVY: LEVASYON
AELNRZÊÔ: LAREZÔNÊ
AELNSSTÊ: LASÊTSEN
AEMMNTVÛ: MÛVMANTE
AEMNNNOS: MASONNEN
AEMNNRTÂ: ANTRENMÂ
          ÂTRENMAN
AEMNNRZÔ: REZÔNMAN
AEMNOSWY: WOMANSYE
AEMNOSZÂ: ASEZONMÂ
AEMNPRSÂ: ANPRESMÂ
          ÂPRESMAN
AEMNPTWÂ: APWENTMÂ
AEMNRSSÂ: RESANSMÂ
          RESÂSMAN
AEMNRSYÂ: RANSEYMÂ
          RÂSEYMAN
AEMNRTTY: TRANTYEM
AEMOSTWY: MAYESTWO
AEMPRTÂÂ: TÂPERAMÂ
AENNNOSV: SAVONNEN
AENNNOTT: TATONNEN
AENNNPTÔ: TANPÔNEN
AENNNTÇÔ: ÇANTÔNEN
AENNOPST: ENPOTANS
AENNOPSY: PANSYONE
          PESONNAY
AENNORSZ: REZONANS
AENNOSZÊ: ASEZONNÊ
AENNOVYZ: ENVAZYON
AENNPRSV: PREVNANS
AENNPTTÇ: ANÇTPENT
AENNPWZÔ: PWAZÔNEN
AENNRRTY: RENNRAYT
AENNSTYÔ: ENTANSYÔ
AENNSVYÔ: ENVANSYÔ
AENOPSSY: ASPESYON
AENOPSTT: POTESTAN
AENORRST: RESTORAN
AENOSSTY: ESTASYON
AENPRSST: PRESTANS
AENPSSYÂ: ENPASYÂS
AEOOPTYZ: APOTEYOZ
AEOPRSYÔ: OPERASYÔ
AEPRVWYÂ: PREVWAYÂ
AFFGNOOR: FONOGRAF
AFFGOORT: FOTOGRAF
AFFINOTY: FOTIFYAN
AFGLNNOO: ANGLOFON
AFIIKRSS: SAKRIFIS
AFIIMNNS: FINISMAN
AFIKKNOO: KAKOFONI
AFIKMOTÊ: ÊFOMATIK
AFIKMTÊÔ: ÊFÔMATIK
AFILLNOP: FILAPLON
AFILNSYÊ: ÊFLIYANS
AFIMNNSÂ: FINANSMÂ
          FINÂSMAN
AFINRSYÔ: FRANSIYÔ
AFITYYÂÂ: ÂFÂTIYAY
AFKNNOSY: KONFYANS
AFKNOOSS: SAKSOFON
AFKNORSY: FRAKSYON
AFKORSYÛ: FOSKÛRAY
AFKRSYÊÔ: ÊFRAKSYÔ
AFLNNOPÊ: PLAFONNÊ
AFLNOSYÊ: ÊFLASYON
AFMNOOSY: FOMASYON
AFMNORSÂ: FRÂMASON
AFMNOTWÂ: AFWONTMÂ
AFMOSYÊÔ: ÊFOMASYÔ
AFOOPSTW: APOSTWOF
AGGILNYÔ: GANGLIYÔ
AGGMNNOW: GWOGMANN
AGGNNRÊÊ: GANGRÊNÊ
AGIIKNNO: INOGANIK
AGIILMMR: MILIGRAM
AGIIRSYÔ: IRIGASYÔ
AGIKLMOR: KILOGRAM
AGIKLNOT: KOLANGIT
AGILLTÂÇ: LÂGLIÇAT
AGILNNSÔ: LÔGANNIS
AGIMNOOW: AGWONOMI
AGIMRSYÔ: MIGRASYÔ
AGINNOTY: TIYOGANN
AGKLTÛÛÛ: GALÛKÛTÛ
AGLOOSTW: ASTWOLOG
AGMMNNOÊ: MANGONMÊ
AGNNORYÊ: GARYONNÊ
AGNOPPWÂ: PWOPAGÂN
AGNOSVVÊ: VOSVAGÊN
AIIIKMNT: KATIMINI
AIIJLNSV: VIJILANS
AIIJLSST: LAJISTIS
AIIKKLLV: KLAVIKIL
AIIKMRST: MASKRITI
AIIKNNPS: PANNISIK
AIIKRSST: SAKRISTI
          SIKATRIS
AIIKRSTY: SIKYATRI
AIILMMNZ: MIZILMAN
AIILMSVÂ: AVILISMÂ
AIILNRTÛ: LANÛRITI
AIILNSTT: SANTILIT
AIIMSTYÔ: IMITASYÔ
AIINNPST: PISANNIT
AIINNRTY: NITRIYAN
AIINRSST: SITIRANS
AIIRSTYÔ: IRITASYÔ
AIJOPRTT: TRIPOTAJ
AIKKLNOV: VOLKANIK
AIKKLORZ: KRIZOKAL
AIKKNNOR: KONKIRAN
AIKKNRSÔ: KÔKIRANS
AIKLLNOO: LAKOLONI
AIKLMNOZ: KANMIZOL
AIKLMNPÔ: KÔPLIMAN
AIKLOPTW: TWOPIKAL
AIKLRSTÊ: KRISTALÊ
AIKMNOPT: PIKOTMAN
AIKMNOTW: WOMANTIK
AIKMOOTT: OTOMATIK
AIKMPRTÂ: PRATIKMÂ
AIKMPTÂÔ: KÔPATIMÂ
AIKNNNOT: KONTINAN
AIKNNOST: KONSANTI
AIKNNPÇÊ: PIÇKANNÊ
AIKOPSYÔ: OKIPASYÔ
AIKRSSTÊ: SAKRISTÊ
AILLOOTT: TOLALITO
AILNNOVW: LAVIWONN
AILNORSY: LIYORANS
AILOPSST: SITOPLAS
AILORTZÔ: ORIZÔTAL
AILOSVYÔ: OVILASYÔ
AILOSYZÔ: IZOLASYÔ
AILPPRSÊ: PRÊSIPAL
AIMMNOSV: VOMISMAN
AIMMNSVÔ: VÔMISMAN
AIMMOSTÂ: AMOTISMÂ
AIMNOSTY: MITASYON
AIMNRSTÊ: ÊSTRIMAN
AIMOOPPT: IPOPOTAM
AIMSVYÂÂ: ÂVAYISMÂ
AINNOPYÇ: ÇANPIYON
AINNORSY: INYORANS
AINNOVWZ: ZANVIWON
AINOSSTY: SITASYON
AINOVWZÔ: OZANVIWÔ
AINPSYZÛ: PANZÛYIS
AIOPPRTÇ: PATRIPOÇ
AIOPRTTY: PATRIYOT
          TRIPOTAY
AIOPVWWZ: PWOVIZWA
AIPSTYÂÔ: ÂPITASYÔ
AISTVYÊÔ: ÊVITASYÔ
AJKLOPTÔ: KÔPLOTAJ
AJKMNTÂÛ: MATJÛKÂN
AJKMRÂÂÛ: ÂKÛRAJMÂ
AKKLLMÛÛ: MAKLÛKLÛ
AKKLNNOS: KLAKSONN
AKKLNSÊÔ: KLAKSÔNÊ
AKKOOTWY: KWATYOKO
AKMMNOSÂ: KOMANSMÂ
          KOMÂSMAN
AKMNOPTÔ: KÔPOTMAN
AKMNSTÂÔ: KÔSANTMÂ
          KÔSÂTMAN
AKMNTTÂÔ: KÔTANTMÂ
          KÔTÂTMAN
AKNNNOPR: KONPRANN
AKNNOOPY: KONPAYON
AKNNOOPZ: KONPOZAN
AKNNOPRÊ: KRAPONNÊ
AKNNORYÊ: KARYONNÊ
AKNNOSYÊ: ÊKONSYAN
AKNOOSVY: VOKASYON
AKNOSSTÔ: SÔTONAKS
AKNSSYÊÔ: ÊKÔSYANS
AKPSTWÂÊ: PWASÊKÂT
ALMMNOTÛ: MALMÛTON
ALOSVYYÔ: VYOLASYÔ
ALPSTYÂÔ: PLÂTASYÔ
AMNNTVÊÊ: VANTMÊNÊ
AMNOOSTW: ASTWONOM
AMOOPSTY: POTASYOM
AMOPVWWÛ: PWOMÛVWA
AMPWZÂÂÔ: ÂPWAZÔMÂ
ANNNOPTÊ: TANPONNÊ
ANNNOTÇÊ: ÇANTONNÊ
ANNOPWZÊ: PWAZONNÊ
ANNOPYÂÇ: ÇÂPYONNA
ANNOSTYÊ: ÊTANSYON
ANNOSVYÊ: ÊVANSYON
ANOOSTTW: ASTWONOT
ANOOSTVY: VOTASYON
ANOOSTWY: WOTASYON
ANOPRSYÂ: SARÂPYON
ANOSSSYÂ: SÂSASYON
ANPWZÂÊÔ: ÂPWAZÔNÊ
APRRSTÂÂ: TRÂSPARÂ
BBBDEILO: BBEBIDOL
BBDEEINO: DEBOBINE
BBDEINOÊ: DEBOBINÊ
BBEELLNN: BLENBLEN
BBEFLNOÔ: BÔBONFLE
          BONBÔFLE
BBEINNOÂ: ÂBOBINEN
BBENNOYÔ: BÔBONYEN
BBNNOOYÊ: BONBONYÊ
BDEEGLNO: GOLDENBE
BDEEILNW: BELDENWI
BDEEIOYZ: DEZOBEYI
BDEEJNNR: BREDJENN
BDEENOTÇ: ÇOTDEBEN
BDEFIKÂÛ: BÛKÂDIFE
BDEIIOST: ESTIBIDO
BDEIIRSY: DIBREYIS
BDEIJLNO: BIDJONEL
BDEIJLNÔ: BIDJÔNEL
BDEILNÊÛ: DEBÛLINÊ
BDELOSYÂ: LOBEDYÂS
BDEMNOWY: DONMBWEY
BDEMOWÂÇ: WOBDEÇÂM
BDENNNOÂ: BÂDONNEN
BDENNNOÛ: BÛDONNEN
BDENTÊÔÛ: DEBÛTÔNÊ
BDIILNOV: BIDONVIL
BDIINOPS: DISPONIB
BDIKRSÛÛ: BRIDSÛKÛ
BDINOSYÂ: BÂDISYON
BDISYÂÂÔ: ÂBÂDISYÔ
BDMNNOÂÛ: BÛDONNMÂ
BEEEFNTY: BYENFETE
BEEEKLMN: KELENMBE
BEEELNWZ: BENEZWEL
BEEENNRY: BYENNERE
BEEERTVÊ: ÊVETEBRE
BEEFLTYÂ: FEBLÂTYE
BEEGGINT: GITENBEG
BEEGNNRZ: BRENZENG
BEEIIKLR: EKILIBRE
BEEIJLRÂ: BELIJERÂ
BEEINNVY: BYENVENI
BEEIPRST: PRESBITE
BEEIPRTZ: PREZBITE
BEELNORY: REBELYON
BEELNVYÊ: BYÊNELVE
BEEMORSW: SEREBWOM
BEENNNOT: BETONNEN
BEFIJKOT: OBJEKTIF
BEFINOYZ: ZONBIFYE
BEFLOTZÛ: FÛTBOLEZ
BEFSYZÂÊ: BYÊFEZÂS
BEGGNRRÂ: GRÂBRENG
BEGNNNOÛ: BÛGONNEN
BEGNNORW: GWOBRENN
BEGNNRRÂ: GRÂBRENN
BEIIKLPR: REPIBLIK
BEIIKLST: BISEKTIL
          BISIKLET
BEIILPST: PLEBISIT
BEIKLRVÊ: VILBREKÊ
BEIKMRSÂ: BRISKEMÂ
BEIKNZÔÔ: KÔBINEZÔ
BEIKRSTÔ: ESKÔBRIT
BEILMSÂÂ: ÂBELISMÂ
BEILNOVY: BOLIVYEN
BEILRYZÊ: BREZILYÊ
BEJJLOÂÎ: LÎJÂBOJE
BEJJRTÂÂ: JÂJÂBRET
BEJJRTÂÊ: JÊJÂBRET
BEJNNNOÛ: BÛJONNEN
BEKLNNOÂ: KONBELÂN
BEKLNOYÔ: KOLÔBYEN
BEKMOORS: KOSMOBER
BEKMRÂÂÔ: ÂKÔBREMÂ
BELLNOSÛ: BÛLSENLO
BELMSVÂÛ: BÛLVESMÂ
BELNNNOÛ: BÛLONNEN
BENNNOTÛ: BÛTONNEN
BENNOTYÛ: BÛTONNYE
BESSYYÂÊ: BYÊSEYÂS
BIIIMOYÇ: BIYOÇIMI
BIIJLOOY: BIYOLOJI
BIILRSÂÇ: BLÂÇISRI
BIIMNSZÂ: BIZNISMÂ
BIKKSWÂÊ: BISKÂKWÊ
BIKRSTÛÛ: BRITSÛKÛ
BILMOOOT: OTOMOBIL
BISSVYÂÔ: SIBVÂSYÔ
BKKOSTÂÊ: SÊKÂTKOB
BKLMOTÛÛ: BLÛKOTÛM
BKLNOOYÊ: KOLONBYÊ
DDEEEGVÔ: DEVEGÔDE
DDEEEOPS: DEPOSEDE
DDEEKMOÂ: DEKOMÂDE
DDEENNSÊ: SÊDENDEN
          SENDÊDEN
          SENDENDÊ
DDEENOOZ: DEZODONE
DDEENPÂÂ: ENDEPÂDÂ
DDEIIINV: ENDIVIDI
DDEOORYÂ: DEYODORÂ
DDEOORZÂ: DEZODORÂ
DDEPSÂÂÊ: ÊDEPÂDÂS
DDFIOORY: FRIDODOY
DDFIOOWY: FWIDODOY
DDGGÛÛÛÛ: GÛDÛGÛDÛ
DDJJNNOO: DJONDJON
DDMMYYÂÂ: DYÂMDYÂM
DDNNOOYY: DYONDYON
DEEEEJNR: DEJENERE
DEEEFGKL: FLEGEDEK
DEEEFGLP: FLEGEDEP
DEEEFIRZ: DEREFIZE
DEEEIMNT: DETEMINE
DEEEIPYZ: DEPEYIZE
DEEEIPYÇ: DEÇEPIYE
DEEEJNTW: DEJWENTE
DEEEKPSY: EKSPEDYE
DEEELMPR: DEMEPLER
DEEENNNÇ: DEÇENNEN
DEEENPTW: DEPWENTE
DEEEORTY: TEDOREYE
DEEEPRSY: DEPRESYE
DEEFFILO: DEFOFILE
DEEFGIIR: DEFIGIRE
DEEFGLNO: DEGONFLE
DEEFIILT: FIDELITE
DEEFIKTT: DETEKTIF
DEEFINRÂ: ENDIFERÂ
DEEFNNRÔ: FREDÔNEN
DEEGGLOÊ: DEGÊGOLE
DEEGINST: DISTENGE
DEEGNNRÊ: DEGRÊNEN
          DEGRENNÊ
DEEGNRYÂ: ENGREDYÂ
DEEIINTY: ENDIYITE
DEEIIRSV: RESIDIVE
DEEIISTV: DIVESITE
DEEIKLNR: ENKREDIL
DEEIKNRS: ENDISKRE
DEEIKOPZ: DEZOKIPE
DEEIKRSÔ: KÔSIDERE
DEEIKRVÂ: REVÂDIKE
DEEIKTTY: DYETETIK
DEEILMNP: DEPLIMEN
DEEIMNSY: MEDSIYEN
DEEIMNTÂ: DETEMINÂ
DEEIMSTY: DISETYEM
DEEJMZÂÔ: DEMÂJEZÔ
DEEKLNSÂ: DELENKÂS
DEEKLOOR: DEKOLORE
DEEKMNOO: ENKOMODE
DEEKMNOY: KOMEDYEN
DEEKMNRÊ: DEKRÊMEN
          DEKRENMÊ
DEEKMNYÔ: KÔMEDYEN
DEEKMORÂ: REKOMÂDE
DEEKNNOT: DEKONNET
DEEKNNWÊ: DEKWÊNEN
          DEKWENNÊ
DEEKOPZÔ: DEKÔPOZE
DEELLOTY: TELEDYOL
DEEMMYZÂ: DEZYEMMÂ
DEEMNORT: DEMONTRE
DEENOORZ: DEZONORE
DEENOPTW: DETWONPE
DEENORSW: DEWONSRE
DEENOSYZ: DYOSEZEN
DEENRZÊÔ: DEREZÔNÊ
DEENYZÂÛ: DEZÂNÛYE
DEEPPRYÛ: PYEPÛDRE
DEEPRSYÔ: DEPRESYÔ
DEEPSSYÔ: DESEPSYÔ
DEFFIINT: DEFINITF
DEFIIJST: DIJESTIF
DEFIITYÂ: IDÂTIFYE
DEFINÇÊÔ: DEÇIFÔNÊ
DEFIRSÂÊ: ÊDIFERÂS
DEFNNORÊ: FREDONNÊ
DEFNOOPW: PWOFONDE
DEGLNOZÊ: ZÊGLENDO
          ZENGLÊDO
DEGNNNOO: GODONNEN
DEGNNWÔÛ: GÛDWÔNEN
DEGRYZÂÊ: ZÊGREDYÂ
DEIIINTV: DIVINITE
DEIIJNSÊ: ÊDIJENIS
DEIIKKRÔ: KÔKIDIRE
DEIILOST: DOSILITE
DEIILPVÂ: VILIPÂDE
DEIINRST: ENDISTRI
DEIIPSST: PESTISID
DEIJLNOW: JIWONDEL
DEIJNOSY: DIJESYON
DEIJSYÊÔ: ÊDIJESYÔ
DEIKKNOT: KONDIKTE
DEIKKOST: DISKOTEK
DEIKLNOV: DEKONVIL
DEIKMOST: DOMESTIK
DEIKMOTÂ: DOKIMÂTE
DEIKNORT: KONTREDI
DEIKNOSW: DESKIWON
DEIKNOSY: DIKSYONE
DEIKNSYÔ: DIKSYÔNE
DEIKOPRY: PERYODIK
DEIKOPTW: PWODIKTE
DEIKRSYÔ: DIREKSYÔ
DEIKRTTÔ: TIREDKÔT
DEILNOSV: DOSENVIL
DEILNOWZ: ZIWONDEL
DEILRSVÂ: DELIVRÂS
DEIMNNNO: MIDONNEN
DEIMNNRÂ: MÂDRINEN
DEIMNOSY: DEMISYON
DEIMOOWY: EMOWOYID
DEIMSTÂÛ: ETÛDISMÂ
DEIMTYZÎ: DIZÎTYEM
DEINNOOP: ONONDIPE
DEINNORY: ONDIRYEN
DEINNOYZ: DEZINYON
DEINOOTZ: NODOZITE
DEINOPSY: PEDISYON
DEINOSYZ: DESIZYON
DEINPRSÂ: ENPRIDÂS
DEIOPSZÊ: ÊDISPOZE
DEISYZÊÔ: ÊDESIZYÔ
DEKLMÂÂÇ: DEKLÂÇMÂ
DEKLNTÎÔ: LENKÔDÎT
DEKMNOYÊ: KONMEDYÊ
DEKNNOOY: KODONNYE
DEKNNOTÎ: ENKONDÎT
DEKNNOÇÔ: KOÇÔDENN
DEKNOOOW: KOWODONE
DEKOORST: DOKTORES
DEKRSTÂÔ: KÔTREDÂS
DELMNNÂÂ: NÂLÂDMEN
DELMOPVÂ: DEVLOPMÂ
DENNOOST: ONDONSTE
DENNOSTÛ: ÛNDONSTE
DENOORZÂ: DEZONORÂ
DENOOSVY: DEVOSYON
DENOSTWÔ: WÔDONSTE
          WONDÔSTE
DENOSTYÂ: DETÂSYON
DETTZÂÂÂ: DETÂZÂTÂ
DFIINOYZ: DIFIZYON
DFIKNOSÂ: KONFIDÂS
DGIMSÂÂÛ: ÂGÛDISMÂ
DGNNOWÊÛ: GÛDWONNÊ
DIIILNPS: DISIPLIN
DIIJLNOT: LONJITID
DIIKMNOÊ: DOMINIKÊ
DIIKSSYÔ: DISKISYÔ
DIINOVYZ: DIVIZYON
DIKKLOOW: KWOKODIL
DIKNOSYÔ: KÔDISYON
          KONDISYÔ
DIMNOSYÂ: DIMÂSYON
DINORSYÂ: SÂDRIYON
DINOSTYÂ: DÂTISYON
DIOPSVWÂ: PWOVIDÂS
DIOVYZÂÛ: VODÛYIZÂ
DKLNOTÊÎ: LÊKONDÎT
DKNNOOÇÊ: KOÇONDÊN
DLLLOOOP: DLOLOLOP
DMNNOOWÔ: WÔDONMON
          WONDÔMON
          WONDONMÔ
EEEEKKKL: KELEKEKE
EEEENRST: ENTERESE
EEEEPRSV: PESEVERE
EEEFKLRT: REFLEKTE
EEEFLNOT: TELEFONE
EEEFNRYZ: ENFERYEZ
EEEIKPST: PESEKITE
EEEILNTT: LETENITE
EEEINRTV: VETERINE
EEEINSST: NESESITE
EEEIRSTV: SEVERITE
EEEJMNRY: JEREMYEN
EEEJNNNY: ENJENNYE
EEEJNRTY: JERETYEN
EEEKNPST: ENSPEKTE
EEEKPRST: RESPEKTE
EEEKRSTY: EKSTERYE
EEELMNTÂ: ETENELMÂ
EEELNPTT: PELENTET
EEELNSST: SELESTEN
EEELPPTY: PEPETYEL
EEEMRSTÇ: ÇEMETRES
EEENNSTT: ENTESTEN
EEENOPWY: EWOPEYEN
EEENRSTÂ: ENTERESÂ
EEFIILST: FELISITE
EEFIIMNT: ENFIMITE
EEFIKPRT: PREFEKTI
EEFIKRTY: REKTIFYE
EEFILNRT: ENFILTRE
EEFKNSYÔ: ENFEKSYÔ
EEFKPSYÔ: PEFEKSYÔ
EEFNNOSS: SENNESOF
EEFPRRSÂ: PREFERÂS
EEGGLNNO: GENNGOLE
EEGGLNOR: GRENGOLE
EEGIILRY: IREGILYE
EEGILNST: ESTELING
EEGIOSZZ: EGZOSIZE
EEGISTVÊ: ÊVESTIGE
EEGLPTZÊ: ZEPÊGLET
EEGOPRSW: PWOGRESE
EEGOSTWY: GWOSYETE
EEIIKKMN: EKIMENIK
EEIIKRST: SEKIRITE
EEIILMNN: ELIMINEN
EEIILNSV: INIVESEL
EEIIPPRS: PERIPESI
EEIIPSVZ: SIPEVIZE
EEIIRSST: RESISITE
EEIJKMNÂ: ENEJIKMÂ
EEIJKNOS: OKSIJENE
EEIJLNTÂ: ENTELIJÂ
EEIJMNNT: MENENJIT
EEIJNNRY: NIJERYEN
EEIJNPSY: EJIPSYEN
EEIKKLPS: EKSPLIKE
EEIKKLRT: ELEKTRIK
EEIKKMNS: MEKSIKEN
EEIKLOPT: ELIKOPTE
EEIKPSTZ: EKSPETIZ
EEIKRSYZ: RESKIYEZ
EEILLMMO: MELIMELO
EEILNOPP: ENPOPILE
EEILOSTV: VELOSITE
EEIMNORS: SEREMONI
EEIMNSTY: METSIYEN
EEIMNSTÊ: ESTEMINÊ
EEIMNWYZ: MENWIZYE
EEINPRVY: PERIVYEN
EEINPTWY: PWENTIYE
EEISSTVÊ: ÊVESTISE
EEJKOPTW: PWOJEKTE
EEJNNORS: JERENONS
EEJNNVVY: JENNVYEV
EEJNOSTW: ESTWOJEN
EEKKNNOT: KONNEKTE
EEKKNSWÊ: KESEKWÊN
EEKKNSÂÔ: ENKÔSEKÂ
EEKLNORT: LEKONTRE
EEKLNOSY: ELEKSYON
EEKLNOTW: ELEKTWON
EEKLNPTÔ: ENKÔPLET
EEKLOPST: TELESKOP
EEKLOPSZ: EKSPLOZE
EEKLOSWZ: ESKLEWOZ
EEKMRSÂÛ: REKÛMÂSE
EEKMRTTÔ: KÔTREMET
EEKMSWÂÛ: ÂMWESEKÛ
EEKNNSYÔ: KESYÔNEN
EEKNOPRS: KONPRESE
EEKNPTÂÔ: ENKÔPETÂ
EEKNVYÂÔ: ENKÔVEYÂ
EEKOPTTW: PWOTEKTE
EEKPRSÂÔ: REKÔPÂSE
EEKPSSYÔ: EKSEPSYÔ
EEKRSSYÔ: ESKRESYÔ
EELLOPRV: POLVEREL
EELLSSYÂ: LESÂSYEL
EELMNPSÂ: SENPLEMÂ
EELOPSTY: POLYESTE
EEMMYYZÂ: MYEZÂMYE
EEMNNNOR: RENONMEN
EEMRSYZÂ: SERYEZMÂ
EENNNOSZ: SEZONNEN
EENNNPPÊ: PENPÊNEN
          PENPENNÊ
          PÊPENNEN
EENNRRST: RESTRENN
EENNTTÇÇ: TÇENTÇEN
EENNVVYY: VYENVYEN
EENOPSTW: PWOSTENE
EENOPTYY: ETYOPYEN
EENPRSYÔ: ENPRESYÔ
EEOPPRSW: PWOSPERE
EEOPPRTW: PWOPRETE
EEOPSTTW: PWOTESTE
EEOPSTWY: ESTWOPYE
EEORTTYZ: TETZORYE
EEPRSSYÂ: ESPERYÂS
EEPRSSYÔ: ESPRESYÔ
          RESEPSYÔ
EEPRSTYÂ: PRETÂSYE
EFFKOORR: KOFREFRO
EFGILORY: GLORIFYE
EFGINNRÔ: GRIFÔNEN
EFGLMNOÂ: GONFLEMÂ
EFGNNNOÛ: FÛGONNEN
EFIIIPSS: SIPEFISI
EFIIJSTY: JISTIFYE
EFIIKRSY: KRISIFYE
EFIIMSTY: MISTIFYE
EFIINSYZ: FIZISYEN
EFIKKNOS: KONFISKE
EFIKMNNO: KONFIMEN
EFIKNORR: KONFRERI
EFILMSÂÇ: FLEÇISMÂ
EFILNSYÂ: ENFLIYÂS
EFILPSYÊ: SÊPLIFYE
EFILSYÂÊ: ÊFLIYÂSE
EFINNNOÇ: ÇIFONNEN
EFINNRSÔ: FRISÔNEN
EFIPRTVÂ: PREVÂTIF
EFKKLNOS: KONFLEKS
EFKMMOÂÔ: KÔFOMEMÂ
EFKNOSYÊ: ÊFEKSYON
EFKNOSYÔ: FÔKSYONE
          KÔFESYON
          KONFESYÔ
EFKNOTWÔ: KÔFWONTE
          KONFWÔTE
EFKRTYÂÊ: FRÂKETYÊ
EFOPSWYÔ: PWOFESYÔ
EFPTYÂÛÛ: PÂTÛFÛYE
