AAAACCPR: ACCAPARA
ABEIIMOT: EMBOITAI
ABEIIMQU: IAMBIQUE
ABEIIMRR: BRIMERAI
ABEIINNT: BINAIENT
ABEIINPT: BIPAIENT
ABEIINRS: BARISIEN
          BENIRAIS
          BINAIRES
          BINERAIS
ABEIINRT: BENIRAIT
          BINARITE
          BINERAIT
          INABRITE
ABEIINST: ABIETINS
          BIAISENT
          BISAIENT
ABEIINTT: BITAIENT
          TIBETAIN
ABEIINUZ: AUBINIEZ
ABEIIORR: BROIERAI
          REBOIRAI
ABEIIORS: BOISERAI
          OBEIRAIS
          REBOISAI
ABEIIORT: BOITERAI
          OBEIRAIT
ABEIIORV: OBVIERAI
ABEIIPRS: BIPERAIS
ABEIIPRT: BIPARTIE
          BIPERAIT
ABEIIQRU: BIQUERAI
          EBRIQUAI
          REBIQUAI
ABEIIRRS: BRISERAI
ABEIIRRV: VIBRERAI
ABEIIRRZ: BRAIRIEZ
ABEIIRSS: BAISSIER
          BISERAIS
          BISSERAI
ABEIIRST: BISERAIT
          BITERAIS
ABEIIRSU: UBERISAI
ABEIIRSZ: BASIRIEZ
          BRAISIEZ
ABEIIRTT: BITERAIT
          BITTERAI
ABEIIRTU: EBRUITAI
ABEIIRTZ: ABRITIEZ
          BATIRIEZ
ABEIISST: BETISAIS
ABEIISSU: BUISSAIE
ABEIISSZ: BAISSIEZ
ABEIISTT: BETISAIT
ABEIJLOR: JABLOIRE
ABEIJLRU: JUBILERA
ABEIJMNN: BENJAMIN
ABEIJMRS: JAMBIERS
ABEIJMUU: BIJUMEAU
ABEIJNOT: JOBAIENT
ABEIJNSS: BASENJIS
ABEIJORS: JOBERAIS
ABEIJORT: JOBERAIT
ABEIJOTZ: JABOTIEZ
ABEIJRUZ: ABJURIEZ
ABEIKLOS: KILOBASE
ABEIKLOU: KABOULIE
ABEIKLSS: SKIABLES
ABEIKNST: BEATNIKS
ABEIKNUV: BUKAVIEN
ABEILLLS: LIBELLAS
ABEILLLT: LIBELLAT
ABEILLMS: BILLAMES
ABEILLNT: BAILLENT
ABEILLOS: ISOLABLE
          LOBELIAS
ABEILLOT: BATOILLE
ABEILLOV: VIOLABLE
ABEILLPS: PLIABLES
ABEILLQU: BEQUILLA
ABEILLRR: BRAILLER
          BRILLERA
ABEILLRS: BILLERAS
          BRAILLES
          BRASILLE
          BRELLAIS
          BRESILLA
ABEILLRT: BARILLET
          BRELLAIT
          TRIBALLE
ABEILLRU: BAILLEUR
          BULLAIRE
          BULLERAI
ABEILLRV: LIVRABLE
ABEILLRZ: BRAILLEZ
ABEILLSS: BILLASSE
ABEILLST: BASTILLE
          BILLATES
ABEILMMU: IMMUABLE
ABEILMNR: LAMBINER
ABEILMNS: LAMBINES
          MINABLES
ABEILMNU: ALBUMINE
ABEILMNZ: LAMBINEZ
ABEILMOR: BROMELIA
          LOMBAIRE
ABEILMOS: ABOLIMES
          BEMOLISA
          EMBOLISA
ABEILMOV: AMOVIBLE
ABEILMRS: BLEMIRAS
          REMBLAIS
          RIBLAMES
ABEILMRT: TREMBLAI
          TRIMBALE
ABEILMRU: AMEUBLIR
ABEILMSS: SEMBLAIS
ABEILMST: SEMBLAIT
          TIMBALES
ABEILMSU: AMEUBLIS
          MEUBLAIS
          SIMBLEAU
ABEILMTU: AMEUBLIT
          MEUBLAIT
ABEILNOS: ANOBLIES
          NOBELISA
ABEILNOT: BITONALE
          LOBAIENT
ABEILNPS: PLEBAINS
ABEILNRT: BILANTER
          BLAIRENT
          LIBERANT
ABEILNRZ: BRANLIEZ
ABEILNSS: SABLINES
ABEILNST: BALISENT
          BILANTES
          INSTABLE
ABEILNSU: INUSABLE
          NEBULISA
          USINABLE
ABEILNTV: BALIVENT
          BIVALENT
ABEILNTZ: BILANTEZ
ABEILORR: BARIOLER
          BORRELIA
ABEILORS: BARIOLES
          LOBAIRES
          LOBERAIS
          RABIOLES
ABEILORT: LOBERAIT
          OBLITERA
          ORBITALE
ABEILORU: BOULERAI
          EBLOUIRA
          OUBLIERA
ABEILORZ: ABOLIREZ
          BARIOLEZ
ABEILOSS: ABOLISSE
          BALOISES
          BOSSELAI
ABEILOST: ABOLITES
          BELOTAIS
ABEILOSU: ABOULIES
          BOUELAIS
          BOULAIES
          EBOULAIS
ABEILOTT: BELOTAIT
          BOTTELAI
ABEILOTU: BOUELAIT
          EBOULAIT
ABEILOTV: OBLATIVE
ABEILOUZ: ABOULIEZ
ABEILPRU: PUBLIERA
          REPUBLIA
ABEILPSS: PASSIBLE
ABEILQTU: BALTIQUE
ABEILRRS: RIBLERAS
ABEILRRT: RETABLIR
ABEILRRU: BRULERAI
          REBRULAI
ABEILRSS: RIBLASSE
          SABLIERS
ABEILRST: RETABLIS
          RIBLATES
          TABLIERS
          TRIBALES
ABEILRSU: BALISEUR
          BLEUIRAS
          RUBALISE
          SUBLERAI
ABEILRSZ: ZIRABLES
ABEILRTT: BLETTIRA
          RETABLIT
ABEILRTU: BLUTERAI
ABEILRUX: LIBERAUX
ABEILRUZ: BARULIEZ
ABEILSSS: BILASSES
          BLESSAIS
ABEILSST: ASTILBES
          BALISTES
          BLESSAIT
          BLETSAIS
          STABILES
ABEILSSU: BASILEUS
ABEILSSV: VISSABLE
ABEILSTT: BLETSAIT
ABEILSTU: BLEUTAIS
ABEILSVV: BIVALVES
          VIVABLES
ABEILTTU: BLEUTAIT
ABEILTUZ: TABULIEZ
ABEIMMNS: NIMBAMES
ABEIMMRS: BRIMAMES
ABEIMMRU: EMBRUMAI
ABEIMNNS: BANNIMES
ABEIMNOR: ABOMINER
ABEIMNOS: ABOMINES
          AMBOINES
ABEIMNOZ: ABOMINEZ
ABEIMNPS: PEMBINAS
ABEIMNRS: BIRMANES
          NIMBERAS
ABEIMNRT: BRAIMENT
ABEIMNSS: NABISMES
          NIMBASSE
ABEIMNST: NIMBATES
ABEIMNSZ: ZAMBIENS
ABEIMNTT: BATIMENT
ABEIMORR: OMBRERAI
ABEIMORS: EMBOIRAS
ABEIMORT: REMBOITA
          RETOMBAI
          TOMBERAI
ABEIMOSS: BIOMASSE
          BOISAMES
          EMBOSSAI
ABEIMOST: BOITAMES
          EMBOITAS
          MOABITES
ABEIMOSU: EMBOUAIS
ABEIMOSV: OBVIAMES
ABEIMOTT: EMBOITAT
ABEIMOTU: EMBOUAIT
          EMBOUTAI
ABEIMOTZ: MOZABITE
ABEIMPST: BAPTISME
ABEIMQSU: BIQUAMES
ABEIMRRR: MARBRIER
ABEIMRRS: BARRIMES
          BRIMERAS
ABEIMRRT: TIMBRERA
ABEIMRRU: BRUMAIRE
ABEIMRRZ: MARBRIEZ
ABEIMRSS: BRIMASSE
          BRISAMES
ABEIMRST: BRIMATES
ABEIMRSU: BAUMIERS
ABEIMRSV: VIBRAMES
ABEIMRTU: BITUMERA
ABEIMRTV: VERBATIM
ABEIMSSS: BASISMES
          BISSAMES
ABEIMSTT: BATTIMES
          BITTAMES
          EMBATTIS
ABEIMSTZ: MZABITES
ABEIMSUV: EMBUVAIS
ABEIMTTT: EMBATTIT
ABEIMTUV: EMBUVAIT
ABEIMTUX: BIMETAUX
ABEINNOR: BARONNIE
          RABONNIE
ABEINNOS: ABONNIES
ABEINNOT: BETONNAI
ABEINNOZ: ABONNIEZ
ABEINNRZ: BANNIREZ
ABEINNSS: BANNISSE
ABEINNST: BANNITES
ABEINNTU: AUBINENT
ABEINNUX: BIENNAUX
ABEINORR: BORNERAI
ABEINORS: BAIERONS
          BORAINES
          ENROBAIS
          SNOBERAI
ABEINORT: BAIERONT
          ENROBAIT
          ROBAIENT
ABEINORU: BOUINERA
ABEINORZ: ABORNIEZ
ABEINOST: ANTEBOIS
          BOTANISE
          OBTENAIS
ABEINOSV: OBVENAIS
ABEINOTT: OBTENAIT
ABEINOTV: OBVENAIT
ABEINOTX: BOXAIENT
ABEINQRU: BANQUIER
ABEINQSU: BANQUISE
          BASQUINE
ABEINQUZ: BANQUIEZ
ABEINRRU: BRUINERA
          BURINERA
          RUBANIER
          RURBAINE
ABEINRSS: BASSINER
ABEINRST: ABSTENIR
          BASIRENT
          BRAISENT
          BRISANTE
ABEINRSU: URBAINES
          URBANISE
ABEINRTT: ABRITENT
          BATIRENT
ABEINRTU: BURATINE
          BUTANIER
          BUTINERA
          INTUBERA
          URBANITE
ABEINRTV: ABRIVENT
          VIBRANTE
ABEINRTY: BARYTINE
ABEINRUZ: RUBANIEZ
ABEINSSS: BASSINES
          BINASSES
ABEINSST: ABSTIENS
          BAISSENT
          BASSINET
ABEINSSY: ABYSSINE
ABEINSSZ: BASSINEZ
ABEINSTT: ABSTIENT
          BETISANT
ABEINSTU: BUSAIENT
          ENTUBAIS
ABEINTTU: BUTAIENT
          ENTUBAIT
          TUBAIENT
ABEINTUV: BUVAIENT
ABEIOORT: BOOTERAI
          REBOOTAI
ABEIOQSU: BAIOQUES
ABEIORRS: ARBORISE
          BROIERAS
          REBOIRAS
          RESORBAI
          ROBERAIS
ABEIORRT: BIARROTE
          ORBITERA
          RABIOTER
          ROBERAIT
ABEIORRU: EBOURRAI
ABEIORRZ: ARBORIEZ
ABEIORSS: BOISERAS
          BOSSERAI
          ISOBARES
          REBOISAS
ABEIORST: BAISOTER
          BOITERAS
          ORIBATES
          RABIOTES
          REBOISAT
          SABOTIER
ABEIORSU: BOUSERAI
          EBROUAIS
ABEIORSV: OBSERVAI
          OBVIERAS
ABEIORSX: BOXERAIS
ABEIORTT: BOTTERAI
          TABORITE
ABEIORTU: ABROUTIE
          BOURIATE
          BOUTERAI
          BRIOUATE
          EBROUAIT
          REBOUTAI
ABEIORTV: ABORTIVE
ABEIORTX: BOXERAIT
          EXORBITA
ABEIORTZ: RABIOTEZ
          RABOTIEZ
ABEIOSSS: BOISASSE
ABEIOSST: BAISOTES
          BOISATES
          BOITASSE
ABEIOSSU: AUBOISES
          BOISSEAU
ABEIOSSV: OBVIASSE
ABEIOSTT: BOITATES
ABEIOSTU: ABOUTIES
          EBOUTAIS
          TABOUISE
ABEIOSTV: OBVIATES
ABEIOSTZ: BAISOTEZ
          SABOTIEZ
ABEIOTTU: EBOUTAIT
ABEIOTUV: BOUVETAI
ABEIOTUZ: ABOUTIEZ
          TABOUIEZ
ABEIPRRV: PERVIBRA
ABEIPRSS: BIPASSER
ABEIPRST: BAPTISER
ABEIPSSS: BIPASSES
ABEIPSST: BAPTISES
ABEIPSSZ: BIPASSEZ
ABEIPSTT: BAPTISTE
ABEIPSTZ: BAPTISEZ
ABEIQRRU: BARRIQUE
          BRIQUERA
ABEIQRSU: BIQUERAS
          BISQUERA
          EBRIQUAS
          RABIQUES
          REBIQUAS
ABEIQRTU: BRIQUETA
          EBRIQUAT
          REBIQUAT
ABEIQRUU: BUQUERAI
ABEIQRUZ: BRAQUIEZ
ABEIQSSU: BASIQUES
          BIQUASSE
ABEIQSTU: BIQUATES
ABEIRRRS: ARBRIERS
ABEIRRRT: ARBITRER
ABEIRRRZ: BARRIREZ
ABEIRRSS: BARRISSE
          BRASIERS
          BRASSIER
          BRISERAS
ABEIRRST: ARBITRES
          BARRITES
          BISTRERA
ABEIRRSU: BEURRAIS
ABEIRRSV: VIBRERAS
ABEIRRSZ: BIZARRES
ABEIRRTU: BEURRAIT
          BITURERA
          BRUITERA
          RETRIBUA
ABEIRRTZ: ARBITREZ
ABEIRSSS: BASSIERS
          BISSERAS
          BRISASSE
ABEIRSST: BRISATES
ABEIRSSU: BAISEURS
          BAISURES
          BUSERAIS
          UBERISAS
ABEIRSSV: VIBRASSE
ABEIRSSZ: BRASSIEZ
ABEIRSTT: BITTERAS
          BRETTAIS
          REBATTIS
          TERABITS
ABEIRSTU: ABRUTIES
          BUSERAIT
          BUTERAIS
          EBRUITAS
          REBUTAIS
          RETUBAIS
          TUBAIRES
          TUBERAIS
          UBERISAT
ABEIRSTV: VIBRATES
ABEIRSTY: SYBARITE
ABEIRSUV: REBUVAIS
ABEIRTTT: BRETTAIT
          REBATTIT
ABEIRTTU: ATTRIBUE
          BUTERAIT
          BUTTERAI
          EBRUITAT
          REBUTAIT
          RETUBAIT
          TITUBERA
          TUBERAIT
ABEIRTTY: BARYTITE
ABEIRTTZ: BATTRIEZ
ABEIRTUV: REBUVAIT
ABEIRTUZ: BIZUTERA
ABEIRUZZ: BUZZERAI
ABEISSSS: BASISSES
          BISASSES
          BISSASSE
ABEISSST: BASISTES
          BASSISTE
          BATISSES
          BISSATES
          BITASSES
ABEISSSZ: BASISSEZ
ABEISSTT: BATISTES
          BATTISSE
          BITTASSE
ABEISSTZ: BATISSEZ
ABEISSUV: ABUSIVES
ABEISTTT: BATTITES
          BITTATES
ABEISTUX: BAUXITES
          BESTIAUX
          EXTUBAIS
ABEITTUX: EXTUBAIT
ABEJLOSU: JOUABLES
ABEJLRSU: JURABLES
ABEJMOOR: JEROBOAM
ABEJMOSS: JAMBOSES
ABEJNOTT: JABOTENT
ABEJNRTU: ABJURENT
ABEJORST: JOBASTRE
ABEJORSY: BAJOYERS
ABEJORTU: JABOTEUR
ABEJOSSS: JOBASSES
ABEJRSTU: JUBARTES
ABEKNORS: BREAKONS
ABELLMOU: MOULABLE
ABELLMSU: BULLAMES
ABELLNNO: BALLONNE
ABELLNOU: BALLOUNE
ABELLNRT: BRELLANT
ABELLNST: NETBALLS
ABELLOPY: PLOYABLE
ABELLORT: BALLOTER
ABELLOST: BALLOTES
ABELLOSU: LOUABLES
ABELLOSV: SOLVABLE
          VOLABLES
ABELLOTT: BALLOTTE
ABELLOTZ: BALLOTEZ
ABELLRSU: BULLERAS
ABELLSSU: BULLASSE
ABELLSSY: SYLLABES
ABELLSTU: BULLATES
          SUBLETAL
ABELMMOS: SOMMABLE
ABELMNOT: MONTABLE
ABELMNST: SEMBLANT
ABELMNSU: ALBUMENS
          BLUESMAN
ABELMNTU: MEUBLANT
ABELMOOZ: ZOOMABLE
ABELMOPR: APLOMBER
          PLOMBERA
          RAPLOMBE
ABELMOPS: APLOMBES
          PALOMBES
ABELMOPY: AMBLYOPE
ABELMOPZ: APLOMBEZ
ABELMOST: TOMBALES
ABELMOSU: ALBUMOSE
          BOULAMES
          MABOULES
ABELMRST: TREMBLAS
ABELMRSU: AMBLEURS
          BRULAMES
ABELMRTT: TREMBLAT
ABELMSSU: SUBLAMES
ABELMSTU: BLUTAMES
          MUTABLES
ABELNNOS: BLASONNE
          SABLONNE
ABELNNRT: BRANLENT
ABELNOPR: PLANORBE
ABELNOST: BATELONS
          ETABLONS
          NOTABLES
ABELNOSU: BALOUNES
ABELNOTT: BELOTANT
ABELNOTU: ABOULENT
          BOUELANT
          EBOULANT
ABELNRRU: BRANLEUR
ABELNRTU: BARULENT
          BRULANTE
ABELNRUX: BRANLEUX
ABELNSST: BLESSANT
ABELNSTT: BLETSANT
ABELNTTU: BLEUTANT
          TABULENT
ABELOPRS: PROLABES
ABELOPRT: PORTABLE
ABELOPST: POTABLES
ABELOQRU: ABLOQUER
          BLOQUERA
ABELOQSU: ABLOQUES
ABELOQUZ: ABLOQUEZ
ABELORRU: BAROULER
          BOURRELA
          LABOURER
          RABOULER
          ROUBLERA
ABELORRV: ROBERVAL
ABELORST: SORTABLE
ABELORSU: BAROULES
          BLOUSERA
          BOULERAS
          BRAOULES
          LABOURES
          RABOULES
          ROUABLES
          SABOULER
ABELORTU: OBLATURE
          TRABOULE
ABELORUV: OUVRABLE
ABELORUZ: BAROULEZ
          LABOUREZ
          RABOULEZ
ABELOSSS: BOSSELAS
          LOBASSES
ABELOSST: BOSSELAT
ABELOSSU: ABSOLUES
          BOULASSE
          SABOULES
ABELOSSV: ABSOLVES
ABELOSTT: BOTTELAS
ABELOSTU: BOULATES
          TABOULES
ABELOSTV: BAVOLETS
ABELOSUZ: SABOULEZ
ABELOSVZ: ABSOLVEZ
ABELOTTT: BOTTELAT
ABELOUUX: BOULEAUX
ABELRRSU: BRULERAS
          RABLURES
          REBRULAS
ABELRRTU: REBRULAT
ABELRSSU: BRULASSE
          BURSALES
          SABLEURS
          SALUBRES
          SUBLERAS
ABELRSTU: BALUSTRE
          BLUTERAS
          BRULATES
          BRUTALES
          TABLEURS
ABELSSSU: SUBLASSE
ABELSSTU: BLUTASSE
          SUBLATES
ABELSTTU: BLUTATES
ABEMMORS: OMBRAMES
ABEMMOST: TOMBAMES
ABEMMRSU: EMBRUMAS
ABEMMRTU: EMBRUMAT
ABEMNOOS: MONOBASE
ABEMNORR: NOMBRERA
ABEMNORS: BORNAMES
ABEMNOSS: SNOBAMES
ABEMNOST: EMBATONS
ABEMNOTT: TOMBANTE
ABEMNOTU: EMBOUANT
ABEMNRRT: MARBRENT
ABEMNTUV: EMBUVANT
ABEMOOST: BOOTAMES
ABEMOQRU: MORBAQUE
ABEMOQUU: EMBOUQUA
ABEMORRS: OMBRERAS
          SOMBRERA
ABEMORRU: EMBOURRA
ABEMORSS: OMBRASSE
ABEMORST: BROMATES
          OMBRATES
          RETOMBAS
          TOMBERAS
ABEMORSY: BROYAMES
ABEMORTT: RETOMBAT
ABEMOSSS: BOSSAMES
          EMBOSSAS
ABEMOSST: EMBOSSAT
          TOMBASSE
ABEMOSSU: BOUSAMES
ABEMOSTT: BOTTAMES
          ETAMBOTS
          TOMBATES
ABEMOSTU: BOUTAMES
          EMBOUTAS
ABEMOTTU: EMBOUTAT
ABEMOTUX: TOMBEAUX
ABEMOTUY: TAMBOUYE
ABEMQSUU: BUQUAMES
          EMBUSQUA
          SAMBUQUE
ABEMRRRU: MARBREUR
          MARBRURE
ABEMRRSU: MARRUBES
ABEMRSSU: BRUMASSE
ABEMRSTU: MASTURBE
ABEMSTTU: BUTTAMES
          EMBATTUS
ABEMSUZZ: BUZZAMES
ABENNNOT: ABONNENT
          BANNETON
ABENNORS: BARONNES
ABENNORT: ABORNENT
          BARONNET
          BATONNER
          ENROBANT
ABENNOSS: BONNASSE
ABENNOST: BASTONNE
          BATONNES
          BETONNAS
ABENNOSY: BAYONNES
ABENNOTT: BATONNET
          BETONNAT
          OBTENANT
ABENNOTU: NANOTUBE
ABENNOTV: OBVENANT
ABENNOTZ: BATONNEZ
ABENNQTU: BANQUENT
ABENNRTU: BRUNANTE
          RUBANENT
ABENNTTU: ENTUBANT
ABENOPRT: PROBANTE
ABENOPSU: SUBPOENA
ABENORRS: ABERRONS
          BORNERAS
ABENORRT: ARBORENT
ABENORRZ: BRONZERA
ABENORSS: BASERONS
          BORNASSE
          EBRASONS
          SNOBERAS
ABENORST: BARETONS
          BARONETS
          BASERONT
          BATERONS
          BORNATES
ABENORSU: AUBERONS
ABENORSV: BAVERONS
ABENORSY: BAYERONS
ABENORTT: BATERONT
          BETATRON
          RABOTENT
ABENORTU: EBROUANT
ABENORTV: BAVERONT
          BEVATRON
ABENORTY: BAYERONT
ABENOSSS: BONASSES
          SNOBASSE
ABENOSST: SNOBATES
ABENOSTT: EBATTONS
          SABOTENT
ABENOSTU: BANTOUES
ABENOTTU: ABOUTENT
          BOUTANTE
          EBOUTANT
          TABOUENT
ABENQRSU: BRANQUES
ABENQRTU: BRAQUENT
ABENQSTU: BANQUETS
ABENRRTU: BEURRANT
          BRUNATRE
ABENRRUU: RUBANEUR
ABENRSSS: BRESSANS
ABENRSST: BRASSENT
ABENRTTT: BRETTANT
ABENRTTU: REBUTANT
          RETUBANT
ABENRTUV: REBUVANT
ABENRTUY: BRUYANTE
ABENSSTU: ABSTENUS
ABENTTUX: EXTUBANT
ABEOORST: BOOSTERA
          BOOTERAS
          REBOOSTA
          REBOOTAS
ABEOORTT: REBOOTAT
ABEOOSST: BOOTASSE
ABEOOSTT: BOOTATES
ABEOPQTU: PAQUEBOT
ABEOQRSU: BAROQUES
ABEORRRU: BOURRERA
          RABROUER
ABEORRSS: BRASEROS
          BROSSERA
          RESORBAS
ABEORRST: RESORBAT
ABEORRSU: EBOURRAS
          RABROUES
ABEORRTU: BROUTERA
          EBOURRAT
          OBTURERA
          RABOTEUR
          RABOUTER
          TOURBERA
ABEORRUU: BOURREAU
ABEORRUV: BRAVOURE
ABEORRUZ: RABROUEZ
ABEORSSS: BORASSES
          BOSSERAS
          ROBASSES
ABEORSST: SORBATES
ABEORSSU: ARBOUSES
          BOSSUERA
          BOUSERAS
ABEORSSV: OBSERVAS
ABEORSSY: BROYASSE
ABEORSTT: BOTTERAS
ABEORSTU: BOUTERAS
          RABOUTES
          REBOUTAS
          SABOTEUR
ABEORSTV: OBSERVAT
ABEORSTY: BROYATES
ABEORSUY: ABOYEURS
ABEORTTU: BROUETTA
          REBOUTAT
          TABOURET
ABEORTUX: RABOTEUX
ABEORTUY: BOYAUTER
ABEORTUZ: RABOUTEZ
ABEOSSSS: BOSSASSE
ABEOSSST: BOSSATES
ABEOSSSU: BOUSASSE
ABEOSSSX: BOXASSES
ABEOSSTT: BOTTASSE
ABEOSSTU: ABSOUTES
          BOUSATES
          BOUTASSE
ABEOSTTT: BOTTATES
ABEOSTTU: BOUTATES
ABEOSTUV: BOUVETAS
ABEOSTUY: BOYAUTES
ABEOTTUV: BOUVETAT
ABEOTUYZ: BOYAUTEZ
ABEPRRTU: PERTURBA
ABEPRSTU: ABRUPTES
ABEQRRSU: BRASQUER
ABEQRRUU: BRAQUEUR
ABEQRSSU: BRASQUES
ABEQRSTU: BRAQUETS
ABEQRSUU: BUQUERAS
          BUSQUERA
ABEQRSUZ: BRASQUEZ
ABEQSSTU: BASQUETS
ABEQSSUU: BUQUASSE
ABEQSTUU: BUQUATES
ABERRRSU: BARREURS
          BARRURES
ABERRSSU: BRASSEUR
          BRASURES
          SABREURS
          SABURRES
ABERSSTU: ABSTRUSE
          ARBUSTES
ABERSSUU: ABUSEURS
ABERSTTU: BATTEURS
          BATTURES
          BUTTERAS
          REBATTUS
ABERSUZZ: BUZZERAS
ABERTTUY: BUTYRATE
ABESSSSU: BUSASSES
ABESSSTU: BUTASSES
          TUBASSES
ABESSTTU: BUTTASSE
ABESSUZZ: BUZZASSE
ABESTTTU: BUTTATES
ABESTUZZ: BUZZATES
ABFFIIRS: BRIFFAIS
ABFFIIRT: BRIFFAIT
ABFFILSU: BLUFFAIS
          BUFFLAIS
ABFFILTU: BLUFFAIT
          BUFFLAIT
ABFFINOS: BAFFIONS
ABFFINRT: BRIFFANT
ABFFIORU: BOUFFIRA
ABFFIOSU: BOUFFAIS
ABFFIOTU: BOUFFAIT
ABFFLNTU: BLUFFANT
          BUFFLANT
ABFFLOSU: BUFFALOS
ABFFNOTU: BOUFFANT
ABFGORUU: FAUBOURG
ABFHLMOS: FLASHMOB
ABFIIINO: BONIFIAI
ABFIILNU: INFIBULA
ABFIILOT: ABOLITIF
ABFIILRU: LUBRIFIA
ABFIINOS: BONIFIAS
ABFIINOT: BONIFIAT
ABFIINOU: AUBIFOIN
ABFILOST: OBLATIFS
ABFILSTU: FLIBUSTA
ABFINORS: BAFRIONS
ABFIORRU: FOURBIRA
ABFIORST: ABORTIFS
ABFIQRUU: BIFURQUA
ABFIRSTU: ARBUSTIF
ABFKLLOR: KORFBALL
ABFLLOOT: FOOTBALL
ABFLLOST: SOFTBALL
ABFLMNOS: FLAMBONS
ABFLNOSU: FABULONS
ABFLORST: FLOBARTS
ABFNOOSU: BAFOUONS
ABGGIIST: GIGABITS
ABGGNOOT: TOBOGGAN
ABGHINSS: BASHINGS
ABGIINNO: BIGNONIA
ABGIINOR: BIGORNAI
ABGIINRU: BRINGUAI
ABGIIOSY: GIBOYAIS
ABGIIOTY: GIBOYAIT
ABGIIRSU: BRIGUAIS
ABGIIRTU: BRIGUAIT
ABGILNOS: GALBIONS
ABGILOST: GALIBOTS
ABGILOSU: BLOGUAIS
ABGILOTU: BLOGUAIT
ABGIMNOS: GAMBISON
ABGINNOS: BAIGNONS
ABGINORS: BIGORNAS
ABGINORT: BIGORNAT
ABGINOSU: BAGUIONS
          BAUGIONS
ABGINOTY: GIBOYANT
ABGINRSU: BRINGUAS
ABGINRTU: BRIGUANT
          BRINGUAT
ABGINSST: BASTINGS
ABGIORRU: RABOUGRI
ABGISSUU: SUBAIGUS
ABGJSUUU: SUBJUGUA
ABGLMOOS: LOMBAGOS
ABGLMOPU: PLUMBAGO
ABGLMOSU: LUMBAGOS
ABGLNOOS: BOGOLANS
ABGLNORS: BARLONGS
ABGLNOSU: BLAGUONS
ABGLNOTU: BLOGUANT
ABGLNOUW: BUNGALOW
ABGMNRUY: RUGBYMAN
ABGNNOOU: BOUGONNA
ABGNORSU: BOUGRANS
ABGNOSTU: BOUGNATS
ABHIIINS: INHIBAIS
ABHIIINT: INHIBAIT
ABHIINNT: INHIBANT
ABHIIOPR: PROHIBAI
ABHILNOS: HABLIONS
ABHILNOT: BIATHLON
ABHILOOS: HALOBIOS
ABHILSTU: TSHILUBA
ABHINOST: HABITONS
ABHIOPRS: PROHIBAS
ABHIOPRT: PROHIBAT
ABHIOSTU: HAUTBOIS
ABHMNSSU: BUSHMANS
ABHOOSTU: SHABOUOT
ABIIIKTZ: KIBITZAI
ABIIINRS: BIRIANIS
ABIIJLSU: JUBILAIS
ABIIJLTU: JUBILAIT
ABIIKSTZ: KIBITZAS
ABIIKTTZ: KIBITZAT
ABIILLMR: MILLIBAR
ABIILLOT: BOITILLA
ABIILLRS: BRILLAIS
ABIILLRT: BRILLAIT
ABIILMNO: BINOMIAL
ABIILMOS: MOBILISA
ABIILMSU: SUBLIMAI
ABIILNOT: LIBATION
ABIILNQU: BLINQUAI
ABIILNST: SIBILANT
ABIILOQU: BILOQUAI
          OBLIQUAI
ABIILORU: RIBOULAI
ABIILOSS: BLAISOIS
ABIILOSU: OUBLIAIS
ABIILOTU: OUBLIAIT
ABIILPSU: PUBLIAIS
ABIILPTU: PUBLIAIT
ABIIMNOS: ABIMIONS
ABIIMNOT: AMBITION
ABIIMNPS: PIMBINAS
ABIIMNRS: MINIBARS
ABIIMNTU: BITUMINA
ABIIMQRU: IMBRIQUA
ABIIMRST: TIMBRAIS
ABIIMRSU: BRUMISAI
ABIIMRTT: TIMBRAIT
ABIIMSTU: BITUMAIS
ABIIMTTU: BITUMAIT
ABIINORS: ABRIIONS
          BRAINOIS
ABIINOSS: BAISIONS
          BIAISONS
          SAINBOIS
ABIINOST: ANTIBIOS
          ANTIBOIS
          OBSTINAI
ABIINOSU: BOUINAIS
ABIINOTU: BITONIAU
          BOUINAIT
          INABOUTI
ABIINRRU: BRUNIRAI
ABIINRSU: BURINAIS
ABIINRSY: BIRYANIS
ABIINRTU: BRUINAIT
          BURINAIT
          TURBINAI
ABIINSTU: BUTINAIS
          INTUBAIS
ABIINTTU: BUTINAIT
          INTUBAIT
ABIIORST: ORBITAIS
ABIIORTT: ORBITAIT
ABIIOSTU: BISOUTAI
ABIIPRST: BIPARTIS
ABIIQRSU: BRIQUAIS
ABIIQRTU: BRIQUAIT
ABIIQSSU: BISQUAIS
ABIIQSTU: BISQUAIT
ABIIRRSU: BRUIRAIS
ABIIRRTU: BRUIRAIT
ABIIRSST: BISTRAIS
ABIIRSSU: BRUISSAI
          SUBIRAIS
ABIIRSTT: BISTRAIT
ABIIRSTU: BITURAIS
          BRUITAIS
          SUBIRAIT
ABIIRTTU: BITTURAI
          BITURAIT
          BRUITAIT
ABIISTTU: TITUBAIS
ABIISTUZ: BIZUTAIS
ABIITTTU: TITUBAIT
ABIITTUZ: BIZUTAIT
ABIJLNOS: JABLIONS
ABIJLNTU: JUBILANT
ABIJLORS: JABLOIRS
ABIJOSWY: OJIBWAYS
ABIKLLNS: KINBALLS
ABIKLMRS: MILKBARS
ABIKLOSU: KABOULIS
ABIKMOSZ: KIZOMBAS
ABILLNNO: BILLONNA
ABILLNOS: BAILLONS
          BALLIONS
ABILLNOT: BALLOTIN
ABILLNRT: BRILLANT
