AAAABDIRRT: ABATARDIRA
AAEEFIRSTY: FASEYERAIT
AAEEFLMMNR: ENFLAMMERA
AAEEFLMNTT: FATALEMENT
AAEEFLMRST: FRELATAMES
AAEEFLNRRT: RAFALERENT
AAEEFLRRST: FRELATERAS
AAEEFLRSSS: ERAFLASSES
AAEEFLRSST: FRELATASSE
AAEEFLRSTT: FRELATATES
AAEEFMNNST: ENFANTAMES
AAEEFMNSST: FANTASMEES
AAEEFMPRSU: EPAUFRAMES
AAEEFNNRST: ENFANTERAS
AAEEFNNSST: ENFANTASSE
AAEEFNNSTT: ENFANTATES
AAEEFNPRRT: PARAFERENT
AAEEFNRRSZ: SAFRANEREZ
AAEEFPRRSU: EPAUFRERAS
AAEEFPRSSU: EPAUFRASSE
AAEEFPRSTU: EPAUFRATES
AAEEFSSSSY: FASEYASSES
AAEEGGILNR: LANGAGIERE
AAEEGGINNR: ENGRANGEAI
AAEEGGINRR: REGAGNERAI
            RENGAGERAI
AAEEGGINRS: EGRAINAGES
            ENGAGERAIS
            RENGAGEAIS
AAEEGGINRT: ENGAGERAIT
            GAGERAIENT
            RENGAGEAIT
AAEEGGIRRS: AGREGERAIS
            GARGARISEE
AAEEGGIRRT: AGREGERAIT
AAEEGGIRTV: AGREGATIVE
AAEEGGISSZ: GAGEASSIEZ
AAEEGGLLMR: GARGAMELLE
AAEEGGLNUY: LANGUEYAGE
AAEEGGLRRS: RELARGAGES
AAEEGGLRSV: GRAVELAGES
AAEEGGMNRS: REGAGNAMES
AAEEGGMNST: GAMETANGES
AAEEGGNNRR: ENGRANGERA
            GANGRENERA
AAEEGGNNRS: ENGRANGEAS
AAEEGGNNRT: ENGRANGEAT
            RENGAGEANT
AAEEGGNNST: ENGAGEANTS
AAEEGGNRRS: REGAGNERAS
            RENGAGERAS
AAEEGGNRSS: REGAGNASSE
AAEEGGNRST: ARGENTAGES
            REGAGNATES
AAEEGGNSST: GAGEASSENT
AAEEGGOSVY: VOYAGEAGES
AAEEGGPPRS: EGRAPPAGES
AAEEGGRRTT: REGRATTAGE
AAEEGGRRTU: AGREGATEUR
AAEEGGRRVZ: AGGRAVEREZ
AAEEGHILPT: HEPATALGIE
AAEEGHIOPR: AEROPHAGIE
AAEEGHLNOR: HALOGENERA
AAEEGHLNOX: HEXAGONALE
AAEEGHLNPR: PHALANGERE
AAEEGHMMRX: HEXAGRAMME
AAEEGHMPRR: MAREGRAPHE
AAEEGHNRSU: HARANGUEES
AAEEGHOPRR: AEROGRAPHE
AAEEGHRSSU: REHAUSSAGE
AAEEGIILLR: EGAILLERAI
AAEEGIILRS: EGALISERAI
AAEEGIILRT: EGALITAIRE
AAEEGIIMNT: IMAGEAIENT
AAEEGIINNR: ENGAINERAI
AAEEGIINRR: EGRAINERAI
AAEEGIINSV: ENVISAGEAI
AAEEGIIPRZ: PAGAIERIEZ
AAEEGIIRSS: ASSIEGERAI
AAEEGIISSS: ASSIEGEAIS
AAEEGIISST: ASSIEGEAIT
AAEEGIJLNT: GALEJAIENT
AAEEGIJLRS: GALEJERAIS
AAEEGIJLRT: GALEJERAIT
AAEEGIJNTU: JAUGEAIENT
AAEEGILLMN: MANGEAILLE
AAEEGILLMP: EMPAILLAGE
AAEEGILLMR: GAMELLERAI
            REMAILLAGE
AAEEGILLMS: EGAILLAMES
            EMAILLAGES
AAEEGILLMT: MAILLETAGE
AAEEGILLNR: AGNELLERAI
AAEEGILLNT: ENTAILLAGE
AAEEGILLPS: EPAILLAGES
AAEEGILLPT: PAILLETAGE
AAEEGILLRS: ALLEGERAIS
            EGAILLERAS
            LEGALISERA
AAEEGILLRT: ALLEGERAIT
            TREILLAGEA
AAEEGILLRU: ALLEGUERAI
AAEEGILLSS: EGAILLASSE
AAEEGILLST: EGAILLATES
AAEEGILMNR: MELANGERAI
AAEEGILMNS: MELANGEAIS
AAEEGILMNT: MELANGEAIT
AAEEGILMSS: EGALISAMES
AAEEGILNNT: AGNELAIENT
            LANGEAIENT
AAEEGILNPT: PATELINAGE
AAEEGILNRR: REALIGNERA
AAEEGILNRS: AGNELERAIS
            ANGELISERA
            GENERALISA
            GERANIALES
AAEEGILNRT: AGNELERAIT
            GALANTERIE
            GALERAIENT
            REGALAIENT
AAEEGILNSS: ANALGESIES
            ANGLAISEES
            SENEGALAIS
            SENEGALISA
AAEEGILNSV: ALEVINAGES
            EVANGELISA
            GALVANISEE
AAEEGILNTT: GALETAIENT
AAEEGILNTU: ELAGUAIENT
AAEEGILPPR: PARAPLEGIE
AAEEGILRRS: GALERERAIS
            REGALERAIS
AAEEGILRRT: GALERERAIT
            REGALERAIT
AAEEGILRRV: GRAVELERAI
AAEEGILRSS: EGALISERAS
AAEEGILRST: GALETERAIS
            LEGATAIRES
AAEEGILRSU: ELAGUERAIS
AAEEGILRTT: GALETERAIT
            GALETTERAI
AAEEGILRTU: ELAGUERAIT
AAEEGILRUV: AVEUGLERAI
AAEEGILSSS: EGALISASSE
AAEEGILSST: EGALISATES
AAEEGILSSZ: EGALASSIEZ
AAEEGILSTT: ETALAGISTE
AAEEGILSTV: VEGETALISA
AAEEGIMMNS: EMMAGASINE
AAEEGIMNNR: MAGNANERIE
            MAGNANIERE
AAEEGIMNNS: ENGAINAMES
AAEEGIMNNT: ENGAMAIENT
            MANGEAIENT
AAEEGIMNRR: REMANGERAI
AAEEGIMNRS: EGRAINAMES
            ENGAMERAIS
            MANEGERAIS
            MENAGERAIS
            REMANGEAIS
AAEEGIMNRT: AGREMENTAI
            ENGAMERAIT
            MANEGERAIT
            MARGEAIENT
            MENAGERAIT
            REMANGEAIT
AAEEGIMNRU: MANGUERAIE
AAEEGIMNRZ: MAGANERIEZ
            MANAGERIEZ
AAEEGIMNSS: MAGASINEES
            MESANGEAIS
AAEEGIMNST: AMENAGISTE
AAEEGIMRRS: EMARGERAIS
            REMARIAGES
AAEEGIMRRT: EMARGERAIT
AAEEGIMRRU: MAUGREERAI
AAEEGIMRRZ: RAMAGERIEZ
AAEEGIMSSS: ESSAIMAGES
            IMAGEASSES
AAEEGIMSTT: ATTIGEAMES
AAEEGINNNT: ENGAINANTE
AAEEGINNRR: AGRARIENNE
            RENGAINERA
AAEEGINNRS: ENGAINERAS
            REAGANIENS
AAEEGINNRT: NAGERAIENT
            RANGEAIENT
AAEEGINNRU: ENNUAGERAI
AAEEGINNSS: ENGAINASSE
AAEEGINNST: ENGAINATES
AAEEGINNSU: ENNUAGEAIS
AAEEGINNTU: ENNUAGEAIT
AAEEGINORR: ONAGRARIEE
            ORANGERAIE
AAEEGINORT: NAGEOTERAI
AAEEGINPRR: EPARGNERAI
AAEEGINPRT: PAGERAIENT
AAEEGINPSS: PAGANISEES
AAEEGINRRS: EGRAINERAS
            ENRAGERAIS
AAEEGINRRT: ARGENTERAI
            ENRAGERAIT
            GARERAIENT
            RAGERAIENT
            RAGREAIENT
            REARGENTAI
AAEEGINRRV: ENGRAVERAI
AAEEGINRRZ: AGRAINEREZ
AAEEGINRSS: EGRAINASSE
            ESSANGERAI
AAEEGINRST: EGRAINATES
AAEEGINRSV: ENVISAGERA
AAEEGINRTT: GATERAIENT
            REGATAIENT
AAEEGINRTV: GAVERAIENT
AAEEGINRTZ: GAZERAIENT
AAEEGINSSS: ESSANGEAIS
AAEEGINSST: ASSIEGEANT
            ESSANGEAIT
AAEEGINSSV: ENVISAGEAS
AAEEGINSSZ: NAGEASSIEZ
AAEEGINSTV: ENVISAGEAT
AAEEGIOPRT: AREOPAGITE
            PAGEOTERAI
AAEEGIORRS: ARRAGEOISE
AAEEGIPPRR: EGRAPPERAI
AAEEGIPRRS: ARPEGERAIS
            ASPERGERAI
            PRESAGERAI
AAEEGIPRRT: ARPEGERAIT
AAEEGIPRSS: ASPERGEAIS
            PRESAGEAIS
AAEEGIPRST: ASPERGEAIT
            PRESAGEAIT
AAEEGIPRTZ: TAPAGERIEZ
AAEEGIPRYZ: PAGAYERIEZ
AAEEGIPSSZ: PAGEASSIEZ
AAEEGIRRRS: RAGREERAIS
AAEEGIRRRT: RAGREERAIT
AAEEGIRRRZ: ARRERAGIEZ
AAEEGIRRSS: AGRESSERAI
AAEEGIRRST: REGATERAIS
AAEEGIRRTT: REGATERAIT
AAEEGIRRTV: GRAVATIERE
AAEEGIRRVZ: RAVAGERIEZ
AAEEGIRSSS: ASSIEGERAS
AAEEGIRSSZ: AGREASSIEZ
            EGARASSIEZ
            RAGEASSIEZ
AAEEGIRSUV: SAUVAGERIE
AAEEGISSTT: ATTIGEASSE
AAEEGISSYZ: EGAYASSIEZ
AAEEGISTTT: ATTIGEATES
AAEEGJLSSS: GALEJASSES
AAEEGJSSSU: JAUGEASSES
AAEEGLLLSZ: ALGAZELLES
AAEEGLLMMS: GAMELLAMES
AAEEGLLMNR: MAGNARELLE
AAEEGLLMRS: GAMELLERAS
AAEEGLLMSS: GAMELLASSE
AAEEGLLMST: GAMELLATES
AAEEGLLMSU: ALLEGUAMES
AAEEGLLNRS: AGNELLERAS
AAEEGLLPST: PLATELAGES
AAEEGLLRRV: GRAVELLERA
AAEEGLLRSU: ALLEGUERAS
AAEEGLLRTX: EXTRALEGAL
AAEEGLLSSU: ALLEGUASSE
AAEEGLLSTU: ALLEGUATES
AAEEGLMMNO: MEGALOMANE
AAEEGLMMNS: MALMENAGES
AAEEGLMMPS: EMPALMAGES
AAEEGLMNNT: MELANGEANT
AAEEGLMNPS: PLASMAGENE
AAEEGLMNRS: MELANGERAS
AAEEGLMNTU: METALANGUE
AAEEGLMOPS: GAMOSEPALE
AAEEGLMOPT: GAMOPETALE
AAEEGLMOTT: MATELOTAGE
AAEEGLMRST: MARTELAGES
AAEEGLMRSV: GRAVELAMES
AAEEGLMSST: ALMAGESTES
AAEEGLMSUV: AVEUGLAMES
AAEEGLNNNO: ENNEAGONAL
AAEEGLNNOT: ETALONNAGE
AAEEGLNOST: ETALAGEONS
AAEEGLNRRT: ETRANGLERA
AAEEGLNRST: GENERALATS
AAEEGLNRUY: LANGUEYERA
AAEEGLNSSS: AGNELASSES
            LANGEASSES
AAEEGLNSST: EGALASSENT
AAEEGLNTUV: AVEUGLANTE
AAEEGLPRRS: PARAGRELES
AAEEGLPRRT: REPLATRAGE
AAEEGLPRST: SALPETRAGE
AAEEGLPRSV: PRELAVAGES
AAEEGLPRUZ: ALPAGUEREZ
AAEEGLRRRU: RELARGUERA
AAEEGLRRSV: GRAVELERAS
AAEEGLRSSS: GALERASSES
            REGALASSES
AAEEGLRSST: GASTERALES
AAEEGLRSSV: GRAVELASSE
AAEEGLRSTT: GALETTERAS
AAEEGLRSTV: GRAVELATES
            TRAVELAGES
AAEEGLRSUV: AVEUGLERAS
AAEEGLSSST: GALETASSES
AAEEGLSSSU: ELAGUASSES
AAEEGLSSSV: VASSELAGES
AAEEGLSSUV: AVEUGLASSE
AAEEGLSTUV: AVEUGLATES
AAEEGMMMRR: MAREGRAMME
AAEEGMMMRT: METAGRAMME
AAEEGMMNNT: MANAGEMENT
AAEEGMMORR: AEROGRAMME
AAEEGMMRSU: MAUGREAMES
AAEEGMNNOS: AMENAGEONS
AAEEGMNNPS: EMPANNAGES
AAEEGMNNRT: MAGANERENT
            MANAGERENT
            REMANGEANT
AAEEGMNNSS: MANGANESES
AAEEGMNNSU: MANGANEUSE
AAEEGMNORS: ORANGEAMES
AAEEGMNORT: MANGEOTERA
AAEEGMNOST: NAGEOTAMES
AAEEGMNPRS: EPARGNAMES
AAEEGMNRRS: REMANGERAS
AAEEGMNRRT: RAMAGERENT
AAEEGMNRST: AGREMENTAS
            ARGENTAMES
            MATERNAGES
AAEEGMNRSU: AMENAGEURS
AAEEGMNRSV: ENGRAVAMES
AAEEGMNRTT: AGREMENTAT
AAEEGMNRTU: AUGMENTERA
AAEEGMNSSS: ENGAMASSES
            MANGEASSES
AAEEGMNSSU: MANAGEUSES
AAEEGMOPST: PAGEOTAMES
AAEEGMORRS: ARROGEAMES
AAEEGMOSVY: VOYAGEAMES
AAEEGMPPRS: EGRAPPAMES
            EPAMPRAGES
AAEEGMPRTT: ATTREMPAGE
AAEEGMPSST: ESTAMPAGES
AAEEGMQTTU: MAQUETTAGE
AAEEGMRRSU: MAUGREERAS
AAEEGMRSSS: AGRESSAMES
            MARGEASSES
AAEEGMRSSU: MAUGREASSE
AAEEGMRSTT: STRATAGEME
            TREMATAGES
AAEEGMRSTU: MASTEGUERA
            MAUGREATES
AAEEGNNNTU: ENNUAGEANT
AAEEGNNPRT: EPARGNANTE
AAEEGNNRST: ENRAGEANTS
AAEEGNNRSU: ENNUAGERAS
AAEEGNNRTT: TANGENTERA
AAEEGNNSST: ESSANGEANT
            NAGEASSENT
AAEEGNNSUY: SAGUENAYEN
AAEEGNORSS: ORANGEASSE
AAEEGNORST: NAGEOTERAS
            ORANGEATES
AAEEGNOSST: NAGEOTASSE
AAEEGNOSTT: NAGEOTATES
AAEEGNPRRS: EPARGNERAS
AAEEGNPRSS: EPARGNASSE
AAEEGNPRST: ARPENTAGES
            ASPERGEANT
            EPARGNATES
            PARENTAGES
            PRESAGEANT
AAEEGNPRTT: TAPAGERENT
AAEEGNPRTY: PAGAYERENT
AAEEGNPSST: PAGEASSENT
AAEEGNPSTT: PATENTAGES
AAEEGNPSTU: PASTENAGUE
AAEEGNRRRR: REARRANGER
AAEEGNRRRS: REARRANGES
AAEEGNRRRT: ARRERAGENT
AAEEGNRRRZ: ARRANGEREZ
            REARRANGEZ
AAEEGNRRST: ARGENTERAS
            REARGENTAS
AAEEGNRRSU: ARRANGEUSE
AAEEGNRRSV: ENGRAVERAS
AAEEGNRRTT: ENTARTRAGE
            REARGENTAT
AAEEGNRRTV: RAVAGERENT
AAEEGNRRTY: RENTRAYAGE
AAEEGNRSSS: ESSANGERAS
            RANGEASSES
AAEEGNRSST: AGREASSENT
            AGRESSANTE
            ARGENTASSE
            EGARASSENT
            RAGEASSENT
AAEEGNRSSV: ENGRAVASSE
AAEEGNRSTT: ARGENTATES
            ENTARTAGES
AAEEGNRSTV: ENGRAVATES
AAEEGNRSUV: ENSAUVAGER
AAEEGNRTUV: AUVERGNATE
AAEEGNSSSS: SASSENAGES
AAEEGNSSSV: ESSANVAGES
AAEEGNSSTY: EGAYASSENT
AAEEGNSSUV: ENSAUVAGES
AAEEGNSUVZ: ENSAUVAGEZ
AAEEGOPRST: PAGEOTERAS
AAEEGOPSST: PAGEOTASSE
AAEEGOPSTT: PAGEOTATES
AAEEGORRSS: ARROGEASSE
AAEEGORRST: ARROGEATES
AAEEGORRTU: AUTOGERERA
AAEEGOSSVY: VOYAGEASSE
AAEEGOSTVY: VOYAGEATES
AAEEGPPRRS: EGRAPPERAS
AAEEGPPRSS: EGRAPPASSE
AAEEGPPRST: APPRETAGES
            EGRAPPATES
AAEEGPQRTU: PARQUETAGE
AAEEGPQSTU: PAQUETAGES
AAEEGPRRRT: REPARTAGER
AAEEGPRRSS: ASPERGERAS
            PRERASAGES
            PRESAGERAS
AAEEGPRRST: REPARTAGES
AAEEGPRRTZ: PARTAGEREZ
            REPARTAGEZ
AAEEGPRSSS: PASSAGERES
            PASSERAGES
            REPASSAGES
AAEEGPRSSY: PAYSAGERES
AAEEGPRSTU: PARTAGEUSE
AAEEGPRTUZ: PATAUGEREZ
AAEEGPSSTU: TAPAGEUSES
AAEEGPSSUY: PAGAYEUSES
AAEEGPSTUU: PATAUGEUSE
AAEEGQRSTU: QUARTAGEES
AAEEGRRRTT: REGRATTERA
AAEEGRRSSS: AGRESSERAS
            RAGREASSES
AAEEGRRSSY: GRASSEYERA
AAEEGRRSTT: ATTERRAGES
AAEEGRSSSS: AGRESSASSE
            RESSASSAGE
AAEEGRSSST: AGRESSATES
            ESSARTAGES
            REGATASSES
AAEEGRSSSY: RESSAYAGES
AAEEGRSSUV: RAVAGEUSES
AAEEGRTUVX: EXTRAVAGUE
AAEEGSSSUV: SAUVAGESSE
AAEEGSSTUV: SAUVETAGES
AAEEHIINNW: HAWAIIENNE
AAEEHILMPT: EPITHALAME
AAEEHILNNT: ANHELAIENT
            HALENAIENT
AAEEHILNRS: ANHELERAIS
            HALENERAIS
AAEEHILNRT: ANHELERAIT
            HALENERAIT
            HALERAIENT
AAEEHILNTT: HALETAIENT
AAEEHILNTX: EXHALAIENT
AAEEHILRST: HALETERAIS
AAEEHILRSX: EXHALERAIS
AAEEHILRTT: HALETERAIT
AAEEHILRTX: EXHALERAIT
AAEEHIMMNT: MAIANTHEME
AAEEHIMNST: ANATHEMISE
AAEEHINNRS: SAHARIENNE
AAEEHINNSW: HAWAIENNES
AAEEHINPST: ANHEPATIES
AAEEHINRRT: ENTREHAIRA
AAEEHINRST: TEHERANAIS
AAEEHINRTT: HATERAIENT
AAEEHINRTV: HAVERAIENT
AAEEHINSST: ANESTHESIA
AAEEHINSTU: EUTHANASIE
AAEEHIOPRT: AEROPATHIE
AAEEHIRRTU: AHEURTERAI
AAEEHKNSSZ: ASHKENAZES
AAEEHLNNPT: NAPHTALENE
AAEEHLNNST: ELASTHANNE
AAEEHLNSSS: ANHELASSES
            HALENASSES
AAEEHLNSST: ELASTHANES
AAEEHLNSTT: HALETANTES
AAEEHLNTVX: HEXAVALENT
AAEEHLPSST: ASPHALTEES
AAEEHLQTTU: AQUATHLETE
AAEEHLRSTT: THEATRALES
AAEEHLSSST: HALETASSES
AAEEHLSSSX: EXHALASSES
AAEEHMMNOT: MAHOMETANE
AAEEHMNPST: PHANTASMEE
AAEEHMNRST: ATHERMANES
AAEEHMPRST: METAPHRASE
AAEEHMPSST: METAPHASES
AAEEHMRSTU: AHEURTAMES
AAEEHNOPRS: ANAPHORESE
AAEEHNOSTT: ETHANOATES
AAEEHNPPRR: PARAPHRENE
AAEEHPPRRZ: PARAPHEREZ
AAEEHRRSSU: REHAUSSERA
AAEEHRRSSW: SHAREWARES
AAEEHRRSSZ: HARASSEREZ
AAEEHRRSTU: AHEURTERAS
AAEEHRSSTU: AHEURTASSE
AAEEHRSSUX: EXHAUSSERA
AAEEHRSTTU: AHEURTATES
AAEEIILLMR: EMAILLERAI
AAEEIILLPR: EPAILLERAI
AAEEIILLRR: ERAILLERAI
AAEEIILLTV: AVITAILLEE
AAEEIILMNR: ANIMALERIE
            ANIMALIERE
AAEEIILMNS: ANIMALISEE
AAEEIILNNT: ALIENAIENT
AAEEIILNRS: ALIENERAIS
            ALINEAIRES
AAEEIILNRT: ALIENERAIT
            LAIERAIENT
AAEEIILNRV: ALEVINERAI
AAEEIILRRS: REALISERAI
            RELAIERAIS
AAEEIILRRT: RELAIERAIT
AAEEIIMNNT: ANEMIAIENT
AAEEIIMNRR: REANIMERAI
            REMANIERAI
AAEEIIMNRS: ANEMIERAIS
AAEEIIMNRT: AIMERAIENT
            ANEMIERAIT
AAEEIIMNRX: EXAMINERAI
            REEXAMINAI
AAEEIIMRRR: REMARIERAI
AAEEIIMRSS: ESSAIMERAI
AAEEIINNRT: ANTIAERIEN
AAEEIINPRT: PAIERAIENT
AAEEIINPSS: INAPAISEES
AAEEIINRRS: ENRAIERAIS
AAEEIINRRT: AIRERAIENT
            ENRAIERAIT
            RAIERAIENT
AAEEIIPPRR: PREPAIERAI
AAEEIIPRRR: REPAIRERAI
AAEEIIPRRS: REPAIERAIS
AAEEIIPRRT: PARIETAIRE
            REPAIERAIT
AAEEIIPRSZ: APAISERIEZ
AAEEIIRRRR: ARRIERERAI
AAEEIIRRSS: RESSAIERAI
AAEEIIRRVZ: AVARIERIEZ
AAEEIIRSSS: ESSAIERAIS
AAEEIIRSST: ESSAIERAIT
AAEEIIRSTT: ETATISERAI
            SAIETTERAI
AAEEIIRSTX: EXTASIERAI
AAEEIIRSZZ: ZEZAIERAIS
AAEEIIRTZZ: ZEZAIERAIT
AAEEIJLLNR: ENJAILLERA
AAEEIJLLRV: JAVELLERAI
AAEEIJLNSV: ENJAVELAIS
AAEEIJLNTV: ENJAVELAIT
            JAVELAIENT
AAEEIJLRSV: JAVELERAIS
AAEEIJLRTV: JAVELERAIT
AAEEIJNRRT: EJARRAIENT
AAEEIJNRST: JASERAIENT
AAEEIJNRSV: SARAJEVIEN
AAEEIJRRRS: EJARRERAIS
AAEEIJRRRT: EJARRERAIT
            JARRETERAI
AAEEIKLNNS: ALASKIENNE
AAEEIKMRRT: MARKETERAI
AAEEIKNNNR: ANKARIENNE
AAEEIKNNSS: KASAIENNES
AAEEILLLMR: LAMELLAIRE
AAEEILLLRV: LAVALLIERE
AAEEILLLTT: TALIATELLE
AAEEILLLTV: VALETAILLE
AAEEILLMMR: EMMAILLERA
AAEEILLMMS: EMAILLAMES
AAEEILLMPR: EMPAILLERA
AAEEILLMPS: EPAILLAMES
AAEEILLMRR: REMAILLERA
AAEEILLMRS: EMAILLERAS
            ERAILLAMES
            MESALLIERA
AAEEILLMRT: MAILLETERA
AAEEILLMSS: EMAILLASSE
AAEEILLMST: EMAILLATES
AAEEILLNNR: ANNELLERAI
AAEEILLNRT: ENTAILLERA
            TENAILLERA
AAEEILLORV: ALVEOLAIRE
AAEEILLPPR: APPAREILLE
            APPELLERAI
AAEEILLPRS: EPAILLERAS
            RAPAILLEES
AAEEILLPRT: PAILLETERA
            PATELLAIRE
AAEEILLPSS: EPAILLASSE
AAEEILLPST: EPAILLATES
AAEEILLRRS: ERAILLERAS
AAEEILLRRT: RATELLERAI
            RETAILLERA
AAEEILLRSS: ERAILLASSE
AAEEILLRST: ERAILLATES
            LATERALISE
AAEEILLRTT: ATTELLERAI
            LATERALITE
AAEEILLRTV: TAVELLERAI
            TRAVAILLEE
AAEEILLRTZ: ALLAITEREZ
AAEEILMMNR: MALMENERAI
AAEEILMMPR: EMPALMERAI
AAEEILMNNW: MALAWIENNE
AAEEILMNPT: EMPALAIENT
AAEEILMNQU: ALEMANIQUE
AAEEILMNRT: ALIMENTERA
            LAMENTERAI
            LAMERAIENT
            REALIMENTA
AAEEILMNSV: ALEVINAMES
AAEEILMORR: AMELIORERA
AAEEILMPRS: EMPALERAIS
            PALMERAIES
AAEEILMPRT: EMPALERAIT
AAEEILMPST: METAPLASIE
AAEEILMRRT: MARTELERAI
AAEEILMRRZ: ALARMERIEZ
AAEEILMRSS: LAMASERIES
            REALISAMES
AAEEILMRTT: MALTRAITEE
AAEEILMRXZ: MALAXERIEZ
AAEEILMSSV: MALAVISEES
AAEEILMSTT: TELEMATISA
AAEEILNNNT: ANNELAIENT
AAEEILNNPS: EPANNELAIS
AAEEILNNPT: EPANNELAIT
AAEEILNNRS: ANNELERAIS
AAEEILNNRT: ANNELERAIT
AAEEILNNST: ALIENANTES
            ALTAIENNES
AAEEILNNSU: ANNUALISEE
AAEEILNORS: ORLEANAISE
AAEEILNPPT: APPELAIENT
AAEEILNPRS: PENALISERA
AAEEILNPRT: ALPERAIENT
            LAPERAIENT
            PANTELERAI
            PATELINERA
            PERINATALE
            PLANETAIRE
AAEEILNPSS: ANALEPSIES
            NEPALAISES
AAEEILNPST: PLAISANTEE
AAEEILNPTU: EPAULAIENT
AAEEILNRRT: ALTERNERAI
            RALERAIENT
AAEEILNRSS: ENLIASSERA
AAEEILNRST: RESALAIENT
            SALERAIENT
AAEEILNRSV: ALEVINERAS
            VALERIANES
            VASELINERA
AAEEILNRTT: ALERTAIENT
            ALTERAIENT
            RATELAIENT
            RELATAIENT
            TALERAIENT
AAEEILNRTU: ALIENATEUR
AAEEILNRTV: LAVERAIENT
            RELAVAIENT
            REVALAIENT
AAEEILNRTX: RELAXAIENT
AAEEILNRTY: LAYERAIENT
            RELAYAIENT
AAEEILNSSS: ALIENASSES
            NASALISEES
AAEEILNSSV: ALEVINASSE
AAEEILNSTV: ALEVINATES
AAEEILNTTT: ATTELAIENT
AAEEILNTTV: TAVELAIENT
AAEEILNTTX: EXALTAIENT
AAEEILNTUV: EVALUAIENT
AAEEILORRS: AREOLAIRES
AAEEILORRU: AUREOLAIRE
            AUREOLERAI
AAEEILORST: ALEATOIRES
AAEEILPRRR: REPARLERAI
AAEEILPRRS: PRESALAIRE
AAEEILPRRV: PRELAVERAI
AAEEILPRST: PARIETALES
AAEEILPRSU: EPAULERAIS
AAEEILPRSX: PARALEXIES
AAEEILPRTU: EPAULERAIT
AAEEILPSTY: TELEPAYAIS
AAEEILPTTY: TELEPAYAIT
AAEEILQRUU: AERAULIQUE
AAEEILRRSS: REALISERAS
            RELAISSERA
            RESALERAIS
AAEEILRRST: ALERTERAIS
            ALTERERAIS
            RATELERAIS
            RELATERAIS
            RESALERAIT
AAEEILRRSV: RELAVERAIS
AAEEILRRSX: RELAXERAIS
AAEEILRRSY: RELAYERAIS
AAEEILRRSZ: SALARIEREZ
AAEEILRRTT: ALERTERAIT
            ALTERERAIT
            RATELERAIT
            RELATERAIT
AAEEILRRTV: RELAVERAIT
AAEEILRRTX: RELAXERAIT
AAEEILRRTY: RELAYERAIT
AAEEILRRVZ: RAVALERIEZ
AAEEILRSSS: REALISASSE
AAEEILRSST: REALISATES
AAEEILRSTT: ATTELERAIS
AAEEILRSTV: TAVELERAIS
            VARIETALES
AAEEILRSTX: EXALTERAIS
AAEEILRSUV: EVALUERAIS
            REEVALUAIS
AAEEILRSVZ: AVALISEREZ
AAEEILRTTT: ATTELERAIT
AAEEILRTTV: TAVELERAIT
AAEEILRTTX: EXALTERAIT
AAEEILRTUV: EVALUERAIT
            REEVALUAIT
AAEEILSSSV: VASSALISEE
AAEEILSSSZ: ALESASSIEZ
AAEEILSSTZ: ETALASSIEZ
AAEEILSSUV: AVALISEUSE
AAEEILSTUX: ASEXUALITE
AAEEILTUVV: EVALUATIVE
AAEEIMMNNN: AMMANIENNE
AAEEIMMNRS: REANIMAMES
            REMANIAMES
AAEEIMMNSX: EXAMINAMES
AAEEIMMPRU: EMPAUMERAI
AAEEIMMRRS: REMARIAMES
AAEEIMMSSS: ESSAIMAMES
AAEEIMNNNP: PANAMIENNE
AAEEIMNNNR: AMARNIENNE
AAEEIMNNPR: EMPANNERAI
AAEEIMNNRS: SAMARIENNE
AAEEIMNNRT: RAMENAIENT
AAEEIMNNST: ANEANTIMES
            ANEMIANTES
AAEEIMNNSY: MAYENNAISE
AAEEIMNNTT: ENTAMAIENT
AAEEIMNOST: ANATOMISEE
AAEEIMNPRS: PARAMNESIE
AAEEIMNPRT: EMPARAIENT
            PAMERAIENT
            PAREMENTAI
AAEEIMNPST: APAISEMENT
AAEEIMNPTT: EMPATAIENT
            ETAMPAIENT
AAEEIMNRRS: RAMENERAIS
            REANIMERAS
            REMANIERAS
AAEEIMNRRT: ARMERAIENT
            ENTRAIMERA
            MATERNERAI
            RAMENERAIT
            RAMERAIENT
            REARMAIENT
            RENTAMERAI
AAEEIMNRRZ: AMARINEREZ
AAEEIMNRSS: AMERASIENS
            REANIMASSE
            REMANIASSE
AAEEIMNRST: ENTAMERAIS
            REANIMATES
            REMANIATES
AAEEIMNRSU: AMENUISERA
AAEEIMNRSX: EXAMINERAS
            REEXAMINAS
AAEEIMNRTT: ENTAMERAIT
            MATERAIENT
            RETAMAIENT
AAEEIMNRTX: REEXAMINAT
AAEEIMNRTZ: AIMANTEREZ
            MAZERAIENT
AAEEIMNSSS: ANEMIASSES
AAEEIMNSSX: EXAMINASSE
AAEEIMNSSZ: AMENASSIEZ
            EMANASSIEZ
AAEEIMNSTX: EXAMINATES
AAEEIMNTTU: AMEUTAIENT
AAEEIMORRT: ATERMOIERA
AAEEIMORST: AROMATISEE
AAEEIMORTZ: METAZOAIRE
AAEEIMPPRR: EPAMPRERAI
AAEEIMPQTU: EMPAQUETAI
AAEEIMPRRS: EMPARERAIS
            PARSEMERAI
            REPAIRAMES
AAEEIMPRRT: EMPARERAIT
AAEEIMPRST: EMPATERAIS
            ESTAMPERAI
            ETAMPERAIS
