AAAAABBCDRRS: ABRACADABRAS
              MESALLIERAIS
AAEEIILLMRST: MAILLETERAIS
              MESALLIERAIT
              METALLISERAI
AAEEIILLMRTT: MAILLETERAIT
              MAILLETTERAI
AAEEIILLMSSZ: EMAILLASSIEZ
AAEEIILLNNTT: ENTAILLAIENT
              TENAILLAIENT
AAEEIILLNPRT: PAILLERAIENT
              PALLIERAIENT
AAEEIILLNPTT: PAILLETAIENT
AAEEIILLNRRT: RAILLERAIENT
              RALLIERAIENT
AAEEIILLNRST: ENTAILLERAIS
              SAILLERAIENT
              TENAILLERAIS
              TRAINAILLEES
AAEEIILLNRTT: ENTAILLERAIT
              ENTRETAILLAI
              RETAILLAIENT
              TAILLERAIENT
              TENAILLERAIT
AAEEIILLPPRR: EPARPILLERAI
AAEEIILLPPRZ: APPAREILLIEZ
AAEEIILLPRRZ: RAPAILLERIEZ
AAEEIILLPRST: IPSILATERALE
              PAILLETERAIS
AAEEIILLPRTT: PAILLETERAIT
              PAILLETTERAI
AAEEIILLPSSZ: EPAILLASSIEZ
AAEEIILLRRST: RETAILLERAIS
AAEEIILLRRTT: RETAILLERAIT
AAEEIILLRSST: SATELLISERAI
AAEEIILLRSSV: VERSAILLAISE
AAEEIILLRSSZ: ASSAILLERIEZ
              ERAILLASSIEZ
AAEEIILLRSTT: SATELLITAIRE
AAEEIILLRSTV: RAVITAILLEES
AAEEIILLRTTV: ALLITERATIVE
AAEEIILLRTVZ: AVITAILLEREZ
AAEEIILMMRST: LEMMATISERAI
              MATERIALISME
AAEEIILMMSSX: MAXIMALISEES
AAEEIILMNNRT: LAMINERAIENT
AAEEIILMNNSS: MALAISIENNES
AAEEIILMNNTT: ALIMENTAIENT
AAEEIILMNORT: AMELIORAIENT
AAEEIILMNPRT: PALERMITAINE
AAEEIILMNRRS: MINERALISERA
AAEEIILMNRSS: LINEARISAMES
AAEEIILMNRST: ALIMENTAIRES
              ALIMENTERAIS
              MATINALIERES
              MENTALISERAI
              REALIMENTAIS
AAEEIILMNRSZ: ANIMALISEREZ
AAEEIILMNRTT: ALIMENTERAIT
              REALIMENTAIT
AAEEIILMNRTU: MIAULERAIENT
AAEEIILMORRS: AMELIORERAIS
AAEEIILMORRT: AMELIORERAIT
AAEEIILMRRST: MATERIALISER
AAEEIILMRSST: MATERIALISES
AAEEIILMRSTT: MATERIALISTE
              MATERIALITES
AAEEIILMRSTZ: MATERIALISEZ
AAEEIILMSSTT: TELEMATISAIS
AAEEIILMSTTT: TELEMATISAIT
AAEEIILNNNSU: AULNAISIENNE
AAEEIILNNOST: NATIONALISEE
AAEEIILNNPRT: INALPERAIENT
              LAPINERAIENT
AAEEIILNNPSS: PALAISIENNES
AAEEIILNNPST: PENALISAIENT
AAEEIILNNPTT: PATELINAIENT
AAEEIILNNRTT: ALENTIRAIENT
AAEEIILNNSST: ENLIASSAIENT
AAEEIILNNSTV: VASELINAIENT
AAEEIILNORST: RATIONALISEE
AAEEIILNPRSS: PENALISERAIS
AAEEIILNPRST: PATELINERAIS
              PENALISERAIT
              PLAISANTERIE
AAEEIILNPRTT: PATELINERAIT
              PERINATALITE
AAEEIILNPRTU: PIAULERAIENT
AAEEIILNPSST: SAPIENTIALES
AAEEIILNQRUV: VALERIANIQUE
AAEEIILNQTUV: EQUIVALAIENT
AAEEIILNRRSS: LINEARISERAS
AAEEIILNRRST: RESALIRAIENT
AAEEIILNRSSS: ENLIASSERAIS
              LINEARISASSE
AAEEIILNRSST: ENLIASSERAIT
              LAISSERAIENT
              LINEARISATES
              RELAISSAIENT
AAEEIILNRSSV: VASELINERAIS
AAEEIILNRSSZ: NASALISERIEZ
AAEEIILNRSTV: SALIVERAIENT
              VASELINERAIT
AAEEIILNRSTX: EXTERNALISAI
AAEEIILNRTUV: AVEULIRAIENT
AAEEIILNSSVZ: ALEVINASSIEZ
AAEEIILPRSTT: PALETTISERAI
AAEEIILPSSST: SPATIALISEES
AAEEIILRRSSS: RELAISSERAIS
AAEEIILRRSST: RELAISSERAIT
AAEEIILRRSTV: RELATIVISERA
              REVITALISERA
AAEEIILRSSSZ: REALISASSIEZ
AAEEIILRSSUX: SEXUALISERAI
AAEEIIMNNNTT: MAINTENAIENT
AAEEIIMNNQTU: ANTIANEMIQUE
AAEEIIMNNRRT: MARINERAIENT
              RANIMERAIENT
AAEEIIMNNRTT: ENTRAIMAIENT
              MATINERAIENT
AAEEIIMNNSSS: ENSAISINAMES
AAEEIIMNNSTU: AMENUISAIENT
AAEEIIMNPRTT: IMPATIENTERA
AAEEIIMNQRSU: MANIAQUERIES
AAEEIIMNRRRT: AMERRIRAIENT
              ARRIMERAIENT
AAEEIIMNRRST: MATERNISERAI
AAEEIIMNRRTT: ENTRAIMERAIT
AAEEIIMNRSSU: AMENUISERAIS
AAEEIIMNRSSZ: REANIMASSIEZ
              REMANIASSIEZ
AAEEIIMNRSTT: ANTIMATIERES
              TAMISERAIENT
AAEEIIMNRSTU: AMENUISERAIT
AAEEIIMNSSXZ: EXAMINASSIEZ
AAEEIIMNSTTT: ANTIETATISME
AAEEIIMORRST: ATERMOIERAIS
AAEEIIMORRTT: ATERMOIERAIT
AAEEIIMOSSTX: AXIOMATISEES
AAEEIIMRRSST: REMASTERISAI
AAEEIIMRRSSZ: REMARIASSIEZ
AAEEIIMSSSSZ: ESSAIMASSIEZ
AAEEIINNNQTU: AQUITANIENNE
AAEEIINNNRST: NANISERAIENT
AAEEIINNNRSZ: NAZAIRIENNES
AAEEIINNNRTT: ENTRAINAIENT
AAEEIINNNSTT: NEANTISAIENT
AAEEIINNORTV: AVOINERAIENT
AAEEIINNPRRT: RAPINERAIENT
AAEEIINNPRTT: PATINERAIENT
              TAPINERAIENT
AAEEIINNPTTT: PATIENTAIENT
AAEEIINNQRTU: NIAQUERAIENT
AAEEIINNRRST: ENTRAINERAIS
AAEEIINNRRSV: ANNIVERSAIRE
AAEEIINNRRTT: ENTRAINERAIT
              RATINERAIENT
              RENAITRAIENT
              TRAINERAIENT
AAEEIINNRRTV: RAVINERAIENT
AAEEIINNRSSS: ENSAISINERAS
AAEEIINNRSST: NEANTISERAIS
              RENAISSAIENT
AAEEIINNRSTT: NEANTISERAIT
              SATINERAIENT
              TANISERAIENT
AAEEIINNRTTT: ATTINERAIENT
AAEEIINNSSSS: ENSAISINASSE
AAEEIINNSSST: ENSAISINATES
AAEEIINNSSTZ: ANEANTISSIEZ
AAEEIINNSTTT: TETANISAIENT
AAEEIINOPRSU: EUROPEANISAI
AAEEIINOPRTU: EPOUAIRAIENT
AAEEIINPPRTT: PIAPIATERENT
AAEEIINPPRTU: APPUIERAIENT
AAEEIINPPTTU: PIPEAUTAIENT
AAEEIINPQRTU: APIQUERAIENT
AAEEIINPRRRZ: PARRAINERIEZ
AAEEIINPRRST: ASPIRERAIENT
              PARTISANERIE
              SPRAIERAIENT
AAEEIINPRRTT: PIRATERAIENT
              REPAITRAIENT
AAEEIINPRSST: REPAISSAIENT
AAEEIINPRSTT: PATIENTERAIS
AAEEIINPRSTV: PREAVISAIENT
AAEEIINPRTTT: PATIENTERAIT
AAEEIINPRTTX: EXPATRIAIENT
AAEEIINPSSTT: APETISSAIENT
              ASEPTISAIENT
AAEEIINQTTTU: ANTIETATIQUE
AAEEIINRRRST: ARRISERAIENT
              RENTRAIERAIS
AAEEIINRRRTT: RENTRAIERAIT
              RETRAIRAIENT
AAEEIINRRRTV: ARRIVERAIENT
AAEEIINRRSST: RASSIERAIENT
AAEEIINRRSTV: RAVISERAIENT
AAEEIINRRSYZ: ARYANISERIEZ
AAEEIINRRTTT: ATTIRERAIENT
              RETRAITAIENT
              TRAITERAIENT
AAEEIINRRTTV: AVERTIRAIENT
AAEEIINRRTTX: EXTRAIRAIENT
AAEEIINRRTTZ: RATATINERIEZ
AAEEIINRRTVV: RAVIVERAIENT
AAEEIINRRTZZ: RAZZIERAIENT
AAEEIINRSSTT: TETANISERAIS
AAEEIINRSTTT: ATTISERAIENT
              TETANISERAIT
AAEEIIOPRRSU: EPOUAIRERAIS
AAEEIIOPRRTU: EPOUAIRERAIT
              POIREAUTERAI
AAEEIIPPRRRZ: RAPPARIERIEZ
AAEEIIPPRRST: APPERTISERAI
AAEEIIPPRRSU: PAUPERISERAI
AAEEIIPPRSTU: PIPEAUTERAIS
AAEEIIPPRTTU: PIPEAUTERAIT
AAEEIIPRRRTZ: RAPATRIERIEZ
              REPARAITRIEZ
AAEEIIPRRSST: RAPETISSERAI
              RETAPISSERAI
AAEEIIPRRSSV: PREAVISERAIS
AAEEIIPRRSSZ: REPAIRASSIEZ
              REPARAISSIEZ
AAEEIIPRRSTV: PREAVISERAIT
AAEEIIPRRSTX: EXPATRIERAIS
AAEEIIPRRSTZ: PARASITERIEZ
AAEEIIPRRTTX: EXPATRIERAIT
AAEEIIPRSSST: APETISSERAIS
              ASEPTISERAIS
AAEEIIPRSSTT: APETISSERAIT
              ASEPTISERAIT
AAEEIIQRSTUU: EURASIATIQUE
AAEEIIRRRSSZ: ARRIERASSIEZ
AAEEIIRRRSTT: RETRAITERAIS
AAEEIIRRRTTT: RETRAITERAIT
AAEEIIRRSSSZ: RASSASIERIEZ
AAEEIISSSTTZ: ETATISASSIEZ
              SAIETTASSIEZ
AAEEIISSSTXZ: EXTASIASSIEZ
AAEEIJLLMSSV: JAVELLISAMES
AAEEIJLLNSSS: ENJAILLASSES
AAEEIJLLNSTV: JAVELLISANTE
AAEEIJLLRSSV: JAVELLISERAS
AAEEIJLLSSSV: JAVELLISASSE
AAEEIJLLSSTV: JAVELLISATES
AAEEIJMNORRT: MAJORERAIENT
AAEEIJNORRTU: AJOURERAIENT
AAEEIJNORTTU: AJOUTERAIENT
AAEEIJNRSTTU: AJUSTERAIENT
              REAJUSTAIENT
AAEEIJRRRSTT: JARRETTERAIS
AAEEIJRRRTTT: JARRETTERAIT
AAEEIJRRSSTU: REAJUSTERAIS
AAEEIJRRSSTZ: JARRETASSIEZ
AAEEIJRRSTTU: REAJUSTERAIT
AAEEIKMPRRSS: PARKERISAMES
AAEEIKMQSTTU: ATTIKAMEQUES
AAEEIKMRRSTT: MARKETTERAIS
AAEEIKMRRTTT: MARKETTERAIT
AAEEIKMRSSTZ: MARKETASSIEZ
AAEEIKPRRRSS: PARKERISERAS
AAEEIKPRRSSS: PARKERISASSE
AAEEIKPRRSST: PARKERISATES
AAEEILLLMNTV: MALVEILLANTE
AAEEILLLMORS: MALLEOLAIRES
AAEEILLLMPRS: PARALLELISME
AAEEILLMMMRS: REMMAILLAMES
AAEEILLMMORT: EMMAILLOTERA
AAEEILLMMPRS: REMPAILLAMES
AAEEILLMMRRS: REMMAILLERAS
AAEEILLMMRSS: REMMAILLASSE
AAEEILLMMRST: REMMAILLATES
AAEEILLMMSSS: EMMAILLASSES
AAEEILLMMSST: METALLISAMES
AAEEILLMNPST: PLANETESIMAL
AAEEILLMNRTU: ALLUMERAIENT
AAEEILLMNSST: EMAILLASSENT
AAEEILLMNSTT: ALLAITEMENTS
AAEEILLMPPRS: EPARPILLAMES
AAEEILLMPRRS: REMPAILLERAS
AAEEILLMPRSS: REMPAILLASSE
AAEEILLMPRST: ESTAMPILLERA
              REMPAILLATES
AAEEILLMPSSS: EMPAILLASSES
AAEEILLMQRRU: REMAQUILLERA
AAEEILLMQRSU: MAQUERELLAIS
AAEEILLMQRTU: MAQUERELLAIT
AAEEILLMQSTU: AMETALLIQUES
AAEEILLMRSSS: REMAILLASSES
AAEEILLMRSST: METALLISERAS
AAEEILLMRSTT: MAILLETTERAS
AAEEILLMSSSS: MESALLIASSES
AAEEILLMSSST: MAILLETASSES
              METALLISASSE
              SATELLISAMES
AAEEILLMSSTT: METALLISATES
AAEEILLNNSTT: TENAILLANTES
AAEEILLNORTU: ALLOUERAIENT
AAEEILLNPPRT: APPAREILLENT
AAEEILLNPRRT: RAPAILLERENT
AAEEILLNPRST: PANTELLERAIS
AAEEILLNPRTT: PANTELLERAIT
AAEEILLNPSST: EPAILLASSENT
AAEEILLNPSTT: PASTELLAIENT
AAEEILLNRRST: REINSTALLERA
AAEEILLNRRSV: SERRAVALLIEN
AAEEILLNRSST: ERAILLASSENT
AAEEILLNRSTT: ENTRETAILLAS
AAEEILLNRSTU: UNILATERALES
AAEEILLNRTTT: ENTRETAILLAT
AAEEILLNSSST: ENTAILLASSES
              TENAILLASSES
AAEEILLPPRRR: RAPPAREILLER
AAEEILLPPRRS: EPARPILLERAS
              RAPPAREILLES
              RAPPELLERAIS
AAEEILLPPRRT: RAPPELLERAIT
AAEEILLPPRRU: APPAREILLEUR
AAEEILLPPRRZ: RAPPAREILLEZ
AAEEILLPPRSS: EPARPILLASSE
AAEEILLPPRST: EPARPILLATES
AAEEILLPPSTV: APPELLATIVES
AAEEILLPRSST: PASTELLERAIS
AAEEILLPRSTT: PAILLETTERAS
              PASTELLERAIT
AAEEILLPSSST: PAILLETASSES
AAEEILLQRSTU: AQUARELLISTE
AAEEILLRRRTV: RETRAVAILLER
AAEEILLRRSST: TRESSAILLERA
AAEEILLRRSTT: TRILATERALES
AAEEILLRRSTV: RETRAVAILLES
AAEEILLRRTVZ: RETRAVAILLEZ
              TRAVAILLEREZ
AAEEILLRSSST: RETAILLASSES
              SATELLISERAS
AAEEILLRSTUV: TRAVAILLEUSE
AAEEILLSSSST: SATELLISASSE
AAEEILLSSSTT: SATELLISATES
AAEEILMMMNNS: MAMMALIENNES
AAEEILMMMSST: LEMMATISAMES
AAEEILMMNNOR: MAMELONNAIRE
AAEEILMMNNTT: MATINALEMENT
AAEEILMMNRTT: MARITALEMENT
              MARTIALEMENT
AAEEILMMNSSS: AMENSALISMES
AAEEILMMNSST: MENTALISAMES
AAEEILMMNSSZ: MALMENASSIEZ
AAEEILMMPSSZ: EMPALMASSIEZ
AAEEILMMRSST: LEMMATISERAS
AAEEILMMSSST: LEMMATISASSE
AAEEILMMSSTT: LEMMATISATES
AAEEILMNNORU: AMEULONNERAI
AAEEILMNNRTT: REALIMENTANT
AAEEILMNNSSY: MALAYSIENNES
AAEEILMNORST: AMELIORANTES
              MONTREALAISE
AAEEILMNPRRT: REIMPLANTERA
AAEEILMNPRST: PARLEMENTAIS
              PATERNALISME
              SAMPLERAIENT
AAEEILMNPRTT: EMPLATRAIENT
              PARLEMENTAIT
              PARTIALEMENT
AAEEILMNPSST: APLANETISMES
AAEEILMNPSTT: SPATIALEMENT
AAEEILMNRSST: MENTALISERAS
AAEEILMNRSSU: MENSUALISERA
AAEEILMNRSSV: ANEVRISMALES
AAEEILMNRTTU: ALIMENTATEUR
AAEEILMNSSST: ALIMENTASSES
              MENTALISASSE
AAEEILMNSSTT: MENTALISATES
AAEEILMNSSTZ: LAMENTASSIEZ
AAEEILMNSTTT: TELEMATISANT
AAEEILMOPRTT: ATEMPORALITE
AAEEILMORRTU: AMELIORATEUR
AAEEILMORSSS: AMELIORASSES
AAEEILMPQSTU: PALMATISEQUE
AAEEILMPRRST: EMPLATRERAIS
AAEEILMPRRTT: EMPLATRERAIT
AAEEILMPSSTT: PALETTISAMES
AAEEILMRRTTZ: MALTRAITEREZ
AAEEILMRSSST: MATELASSIERS
AAEEILMRSSTZ: MARTELASSIEZ
AAEEILMSSSUX: SEXUALISAMES
AAEEILNNNOST: ANATOLIENNES
AAEEILNNNOTT: ETALONNAIENT
AAEEILNNNRTT: LANTERNAIENT
AAEEILNNNRTU: ANNULERAIENT
AAEEILNNORST: ETALONNERAIS
AAEEILNNORTT: ETALONNERAIT
AAEEILNNPRTT: PLANTERAIENT
              REPLANTAIENT
AAEEILNNPSST: PENALISANTES
AAEEILNNPTTX: EXPLANTAIENT
AAEEILNNRRST: LANTERNERAIS
AAEEILNNRRTT: LANTERNERAIT
AAEEILNNRSST: NASALISERENT
AAEEILNNRSTU: AUSTRALIENNE
AAEEILNNRSUZ: ANNUALISEREZ
AAEEILNNSSTV: ALEVINASSENT
AAEEILNOPRST: SALOPERAIENT
AAEEILNOPRTT: PALOTERAIENT
AAEEILNORSST: ASSOLERAIENT
              SENATORIALES
AAEEILNORSTU: SAOULERAIENT
AAEEILNORTUV: REEVALUATION
AAEEILNPQRTU: PLAQUERAIENT
AAEEILNPQRUZ: PALANQUERIEZ
AAEEILNPQSTU: ANALEPTIQUES
              APLANETIQUES
AAEEILNPRRST: PLANETARISER
              REPLANTERAIS
AAEEILNPRRTT: PLATRERAIENT
              REPLANTERAIT
              REPLATRAIENT
AAEEILNPRSST: PLANETARISES
              PRELASSAIENT
AAEEILNPRSTT: PARENTALITES
              PATERNALISTE
              SALPETRAIENT
AAEEILNPRSTX: EXPLANTERAIS
AAEEILNPRSTZ: PLAISANTEREZ
              PLANETARISEZ
AAEEILNPRTTX: EXPLANTERAIT
AAEEILNPSSSS: PENALISASSES
AAEEILNPSSST: PATELINASSES
AAEEILNPSSSU: APLANISSEUSE
AAEEILNPSSTZ: PANTELASSIEZ
AAEEILNQRTTU: TALQUERAIENT
AAEEILNQSSTU: ANELASTIQUES
AAEEILNRRSTT: INTERASTRALE
AAEEILNRRSTU: LASURERAIENT
              NEUTRALISERA
AAEEILNRSSST: REALISASSENT
AAEEILNRSSTU: NATURALISEES
AAEEILNRSSTX: EXTERNALISAS
AAEEILNRSSTZ: ALTERNASSIEZ
AAEEILNRSTTV: ALTERNATIVES
AAEEILNRSTTX: EXTERNALISAT
AAEEILNRTTTU: TALUTERAIENT
AAEEILNSSSSS: ENLIASSASSES
AAEEILNSSSSV: VASELINASSES
AAEEILOPPRSS: PASSEPOILERA
AAEEILOPRRTX: EXTRAPOLERAI
AAEEILOQRSTU: EQUATORIALES
AAEEILORRRSV: REVALORISERA
AAEEILORRSTX: EXTRASOLAIRE
AAEEILORSSUZ: AUREOLASSIEZ
AAEEILOTUUVZ: AUTOEVALUIEZ
AAEEILPPRSSZ: RAPPELASSIEZ
AAEEILPQRTTU: PLAQUETTAIRE
AAEEILPRRRST: REPLATRERAIS
AAEEILPRRRTT: REPLATRERAIT
AAEEILPRRSSS: PRELASSERAIS
AAEEILPRRSST: PRELASSERAIT
              SALPETRERAIS
AAEEILPRRSSZ: REPARLASSIEZ
AAEEILPRRSTT: SALPETRERAIT
AAEEILPRRSYZ: PARALYSERIEZ
AAEEILPRSSTT: PALETTISERAS
AAEEILPRSSVZ: PRELAVASSIEZ
AAEEILPSSSTT: PALETTISASSE
AAEEILPSSTTT: PALETTISATES
AAEEILQRTUUX: EQUILATERAUX
AAEEILRRSSTU: REALISATEURS
AAEEILRRSUUV: SUREVALUERAI
AAEEILRSSSSS: RELAISSASSES
AAEEILRSSSUX: SEXUALISERAS
AAEEILRSSSVZ: VASSALISEREZ
AAEEILSSSSUX: SEXUALISASSE
AAEEILSSSTUX: SEXUALISATES
AAEEIMMMQRTU: MAREMMATIQUE
AAEEIMMNOQSU: AMMONIAQUEES
AAEEIMMNRSST: MATERNISAMES
AAEEIMMPRSST: ASPERMATISME
AAEEIMMPSSUZ: EMPAUMASSIEZ
AAEEIMMRSSTU: AMATEURISMES
AAEEIMNNNOSZ: AMAZONIENNES
AAEEIMNNNSST: TASMANIENNES
AAEEIMNNORRT: RAMONERAIENT
AAEEIMNNORTU: ENAMOURAIENT
AAEEIMNNPRST: PERMANENTAIS
AAEEIMNNPRTT: PERMANENTAIT
AAEEIMNNPSSZ: EMPANNASSIEZ
AAEEIMNNQRTU: MANQUERAIENT
AAEEIMNNQSTU: ANAMNESTIQUE
AAEEIMNNRSST: REANIMASSENT
              REMANIASSENT
AAEEIMNNRSTT: SARMENTAIENT
AAEEIMNNSSTX: EXAMINASSENT
AAEEIMNORRST: MONETARISERA
AAEEIMNORRSU: ENAMOURERAIS
AAEEIMNORRTU: ENAMOURERAIT
AAEEIMNORRUV: MANOEUVRERAI
AAEEIMNORSTZ: ANATOMISEREZ
AAEEIMNORTTY: ATERMOYAIENT
AAEEIMNPPRRT: RAPPARIEMENT
AAEEIMNPPRST: APPARIEMENTS
AAEEIMNPPSST: APPESANTIMES
AAEEIMNPQRSU: PARAMNESIQUE
AAEEIMNPRRTT: RAPATRIEMENT
AAEEIMNPRTTT: ATTREMPAIENT
AAEEIMNPRTTU: AMPUTERAIENT
AAEEIMNPSSST: PASSEMENTAIS
AAEEIMNPSSTT: PASSEMENTAIT
AAEEIMNQRRTU: MARQUERAIENT
              REMARQUAIENT
AAEEIMNQRSTU: MASQUERAIENT
              QUARANTIEMES
AAEEIMNQRTTU: MARQUETAIENT
AAEEIMNQSSTU: ASEMANTIQUES
AAEEIMNQTTTU: MAQUETTAIENT
AAEEIMNRRSST: MATERNISERAS
              REMARIASSENT
              SARMENTERAIS
AAEEIMNRRSTT: SARMENTERAIT
AAEEIMNRRSTU: REANIMATEURS
AAEEIMNRRTTU: MATURERAIENT
AAEEIMNRSSST: ASSERMENTAIS
              MATERNISASSE
              RASSASIEMENT
AAEEIMNRSSTT: ASSERMENTAIT
              MATERNISATES
              METATARSIENS
AAEEIMNRSSTU: ASSUMERAIENT
AAEEIMNRSSTZ: ASSARMENTIEZ
              MATERNASSIEZ
              RENTAMASSIEZ
AAEEIMNRSTUX: EXAMINATEURS
AAEEIMNSSSST: ESSAIMASSENT
AAEEIMNSSSSU: AMENUISASSES
AAEEIMOPRSTU: POIREAUTAMES
AAEEIMOQRSTU: ESTOMAQUERAI
AAEEIMORRSTZ: AROMATISEREZ
AAEEIMOSSTTU: AUTOMATISEES
AAEEIMPPRSST: APPERTISAMES
AAEEIMPPRSSU: PAUPERISAMES
AAEEIMPPRSSZ: EPAMPRASSIEZ
AAEEIMPQRRTU: PARAMETRIQUE
AAEEIMPQRSTU: REMPAQUETAIS
AAEEIMPQRTTU: REMPAQUETAIT
AAEEIMPRRSTT: ATTREMPERAIS
AAEEIMPRRTTT: ATTREMPERAIT
AAEEIMPRSSST: RAPETISSAMES
              RETAPISSAMES
              SEPARATISMES
AAEEIMPRSSSZ: PARSEMASSIEZ
AAEEIMPSSSTZ: ESTAMPASSIEZ
AAEEIMPSSTTZ: EMPATTASSIEZ
AAEEIMQRRRSU: REMARQUERAIS
AAEEIMQRRRTU: REMARQUERAIT
AAEEIMQRRSTU: MARQUETERAIS
              REMASTIQUERA
AAEEIMQRRTTU: MARQUETERAIT
              MARQUETTERAI
AAEEIMQRRTUZ: MATRAQUERIEZ
AAEEIMQRSTTU: MAQUETTERAIS
AAEEIMQRSTUU: ESQUIMAUTERA
AAEEIMQRTTTU: MAQUETTERAIT
AAEEIMQSTTTU: METASTATIQUE
AAEEIMRRSSST: REMASTERISAS
AAEEIMRRSSTT: REMASTERISAT
AAEEIMRSSTTU: TRAUMATISEES
AAEEIMRSSTTZ: TREMATASSIEZ
AAEEIMRSSTUZ: RAMEUTASSIEZ
AAEEINNNNORT: ANONNERAIENT
AAEEINNNNSTZ: TANZANIENNES
AAEEINNNORTT: ANNOTERAIENT
AAEEINNNPRSS: PARNASSIENNE
AAEEINNNRSTT: ENTRAINANTES
AAEEINNNSSTT: ANEANTISSENT
              INSTANTANEES
AAEEINNOPPSU: PAPOUASIENNE
AAEEINNOPRTT: PANOTERAIENT
AAEEINNOPSTT: ANTEPOSAIENT
AAEEINNORRSS: ARRAISONNEES
AAEEINNORSST: ASSONERAIENT
AAEEINNORSTU: ENSOUTANERAI
AAEEINNORSVY: AVEYRONNAISE
AAEEINNOSSSS: ASSAISONNEES
AAEEINNPPRRT: RAPPRENAIENT
AAEEINNPPRST: APPARTIENNES
              INAPPARENTES
AAEEINNPRRRT: PARRAINERENT
AAEEINNPRSSY: PAYSANNERIES
AAEEINNPSSTT: SEPTANTAINES
AAEEINNRRSTY: ARYANISERENT
AAEEINNRRTTT: ENTARTRAIENT
              RATATINERENT
AAEEINNRRTTY: RENTRAYAIENT
AAEEINNRSSST: ENTRAINASSES
              RENAISSANTES
AAEEINNRSSTU: AUSTRASIENNE
AAEEINNRTTUV: AVENTURAIENT
AAEEINNRTWZZ: ZWANZERAIENT
AAEEINNSSSST: NEANTISASSES
AAEEINOPPRST: APPOSERAIENT
AAEEINOPPRTT: PAPOTERAIENT
AAEEINOPRSST: ANTEPOSERAIS
AAEEINOPRSSU: EUROPEANISAS
AAEEINOPRSTT: ANTEPOSERAIT
              ANTIPROTEASE
              APOSTERAIENT
AAEEINOPRSTU: EUROPEANISAT
AAEEINOPRSTX: EXASPERATION
AAEEINOPRTTT: TAPOTERAIENT
AAEEINOPRTTV: VAPOTERAIENT
AAEEINOPRTUV: EPOUVANTERAI
AAEEINOQRTUU: AERONAUTIQUE
AAEEINORRRST: ARROSERAIENT
AAEEINORRTTV: AVORTERAIENT
AAEEINORSTTT: TOASTERAIENT
AAEEINORTTTT: ATTENTATOIRE
AAEEINORTTTU: TATOUERAIENT
AAEEINORTTUZ: TATAOUINEREZ
AAEEINOSSTTU: TETOUANAISES
AAEEINOSSUVX: NEOVAISSEAUX
AAEEINPPRRRT: RAPPARIERENT
AAEEINPPRRTT: RAPPRETAIENT
              TRAPPERAIENT
AAEEINPPRSTT: PARAPENTISTE
AAEEINPPRSTW: SWAPPERAIENT
AAEEINPPRSTZ: APPESANTIREZ
AAEEINPPSSST: APPESANTISSE
AAEEINPPSSTT: APPESANTITES
              APPETISSANTE
AAEEINPQRRTU: PARQUERAIENT
AAEEINPQRTTU: PARQUETAIENT
AAEEINPQSSTU: ANAPESTIQUES
AAEEINPRRRTT: RAPATRIERENT
AAEEINPRRSST: REPAIRASSENT
              REPARAISSENT
AAEEINPRRSSU: PARRAINEUSES
AAEEINPRRSTT: PARASITERENT
AAEEINPRRSTY: SPRAYERAIENT
AAEEINPRRTTU: PATURERAIENT
AAEEINPRSSTT: TREPASSAIENT
AAEEINPRSSTZ: ARPENTASSIEZ
              TREPANASSIEZ
AAEEINPSSSTT: PATIENTASSES
AAEEINPSSSTZ: ESPANTASSIEZ
AAEEINPSSTTZ: PATENTASSIEZ
AAEEINQRRRTU: QUARRERAIENT
AAEEINQRRSTU: QUATERNAIRES
AAEEINQRRTTU: QUARTERAIENT
              TRAQUERAIENT
AAEEINQRRTUU: RAUQUERAIENT
AAEEINRRRSST: ARRIERASSENT
AAEEINRRRSTT: ENTARTRERAIS
AAEEINRRRSTU: REINSTAURERA
AAEEINRRRSTY: RENTRAYERAIS
AAEEINRRRTTT: ENTARTRERAIT
AAEEINRRRTTU: RATURERAIENT
AAEEINRRRTTY: RENTRAYERAIT
AAEEINRRRTWZ: WARRANTERIEZ
AAEEINRRSSST: RASSASIERENT
AAEEINRRSSTT: TERRASSAIENT
AAEEINRRSSTU: ASSURERAIENT
              REASSURAIENT
AAEEINRRSSTZ: ARRENTASSIEZ
              TRAINASSEREZ
AAEEINRRSTTT: RETRAITANTES
AAEEINRRSTTU: RESTAURAIENT
              SATURERAIENT
AAEEINRRSTTV: TRAVERSAIENT
AAEEINRRSTUV: AVENTURERAIS
AAEEINRRTTUV: AVENTURERAIT
              VAUTRERAIENT
AAEEINRSSSST: RESSASSAIENT
AAEEINRSSSSZ: ASSASSINEREZ
AAEEINRSSTTU: RESSAUTAIENT
AAEEINRSSTTZ: ENTARTASSIEZ
AAEEINRSSTVZ: ENTRAVASSIEZ
AAEEINRSTTTU: STATUERAIENT
AAEEINSSSSTT: TETANISASSES
AAEEINSSSSTZ: ENTASSASSIEZ
AAEEINSSSTTT: ETATISASSENT
              SAIETTASSENT
AAEEINSSSTTX: EXTASIASSENT
AAEEINSSTTTZ: ATTENTASSIEZ
AAEEINSSTTUZ: ATTENUASSIEZ
AAEEINSSTTVZ: NAVETTASSIEZ
AAEEIOOPRRTV: EVAPORATOIRE
AAEEIOPPRRRT: PREPARATOIRE
AAEEIOPRRRST: REPARATOIRES
AAEEIOPRRSTU: POIREAUTERAS
