Tirages de 4 lettres de AABB à ACMP - Page 1/9

AABB:	BABA	AAGV:	GAVA	AAMS:	AMAS	ABEL:	ABLE		OBAS	ACEY:	CAYE
DERU:	DRUE		PROD	EEJZ:	JEZE		REES		FUEL		ORGE
	DURE	DOPS:	DOPS	EEKK:	KEKE		SERE	EFMU:	FUME	EGOS:	EGOS*
	REDU	DORS:	DORS	EEKT:	TEKE	EERT:	ETRE		MEUF		GEOS
	RUDE	DORT:	DORT	EELL:	ELLE	EERU:	RUEE	EFNR:	NERF	EGOT:	TOGE
DESU:	DUES		TORD	EELM:	MELE		UREE	EFNS:	NEFS	EGRS:	ERGS
	DUSE	DOST:	DOTS	EELP:	PELE	EERV:	REVE	EFNU:	FUNE		GRES
DESY:	DEYS	DOSU:	DUOS	EELR:	REEL	EERZ:	REEZ		NEUF		REGS
DEUX:	DEUX		OUDS	EELS:	LESE	EESS:	ESSE	EFOR:	FORE	EGRU:	GRUE
DFNO:	DONF	DOSY:	YODS	EELT:	TELE	EEST:	ESTE	EFOU:	OEUF		URGE
	FOND	DOSZ:	DZOS	EELU:	ELUE		ETES	EFOX:	FOXE	EGRY:	GYRE
DGIN:	DING	DOUX:	DOUX	EELV:	LEVE		TEES	EFPR:	PERF	EGSU:	GUES
DGNO:	DONG	DPUU:	PUDU*		VELE	EESU:	EUES	EFPU:	PEUF	EGTU:	GUET
	GOND	DRSU:	DRUS	EELZ:	ZELE		SUEE	EFRS:	FERS	EHIL:	HILE
DGOR:	GORD		DURS	EEMM:	MEME		USEE		SERF	EHIN:	HEIN
DIIM:	MIDI	DRSY:	DRYS	EEMN:	MENE	EESV:	EVES	EFRT:	FRET	EHIR:	HIER
DIIS:	SIDI	DRUU:	URDU		NEEM		SEVE	EFRU:	FERU	EHIS:	HIES
DIKS:	KIDS	DSTU:	STUD	EEMR:	MERE	EESW:	EWES	EFST:	TEFS*	EHIZ:	HIEZ
DILO:	DIOL	EEEP:	EPEE	EEMS:	SEME	EESX:	SEXE	EFSU:	FEUS	EHLM:	LEHM
	LIDO	EEEW:	EWEE	EEMT:	EMET	EESZ:	ZEES		FUSE	EHMO:	HOME
DIMU:	MUID	EEFI:	FIEE	EEMU:	EMEU	EETT:	TETE	EFSZ:	ZEFS	EHMU:	HUME
DINS:	NIDS	EEFL:	ELFE		EMUE	EETU:	TUEE	EFTU:	FETU		MEUH
DINU:	INDU		FELE		MUEE	EETV:	TEVE		FUTE	EHNU:	HUNE
DIOR:	ORDI	EEFS:	FEES	EEMZ:	MEZE		VETE		TEUF	EHOR:	HERO
DIOS:	DOIS	EEFT:	FETE	EENN:	NENE	EEUV:	UVEE	EFUV:	VEUF	EHOT:	HOTE
DIOT:	DIOT	EEFU:	FEUE	EENP:	NEPE	EEVX:	VEXE	EFUX:	FEUX	EHOU:	HOUE
	DITO	EEFV:	FEVE		PENE	EEYY:	YEYE	EGGO:	GOGE	EHPU:	PEUH
	DOIT	EEGH:	GHEE*	EENR:	NERE	EFFI:	FIEF	EGIL:	GLIE	EHPY:	HYPE
DIPS:	DIPS*	EEGK:	GEEK		RENE	EFFT:	TEFF*		LIGE	EHRS:	RHES
DIQU:	QUID	EEGL:	GELE	EENS:	NEES	EFGI:	FIGE	EGIM:	GEMI	EHRU:	HEUR
DIST:	DITS		LEGE		SENE	EFIK:	KIEF		MEGI		HUER
DITU:	DUIT	EEGN:	GENE	EENT:	ENTE		KIFE	EGIN:	IGNE		HURE
DJOO:	DOJO	EEGR:	GERE	EENU:	NUEE	EFIL:	FIEL	EGIP:	PIGE	EHST:	THES
DJOU:	JUDO		GREE	EENV:	NEVE		FILE	EGIR:	REGI	EHSU:	HUES
DKNU:	DUNK	EEGU:	GUEE		VENE	EFIN:	FINE	EGIT:	GITE	EHUZ:	HUEZ
DLOO:	DOLO	EEHI:	HIEE	EEOR:	OREE		NIFE		TIGE	EIIN:	INIE*
DLOR:	LORD	EEHL:	HELE	EEOS:	OSEE	EFIO:	FOIE	EGIU:	IGUE	EIJO:	JOIE


Tirages de 4 lettres de EIJV à EPSS - Page 7/9

EIJV:	JIVE	EINP:	PINE		ZIRE	ELNU:	LUNE		REMS	ENUZ:	NUEZ
EIKL:	LIKE*	EINR:	NIER	EISS:	SISE	ELOP:	LOPE	EMRU:	MUER	EOPP:	POPE
EIKN:	KINE		REIN	EIST:	SITE		POLE		MURE	EOPR:	PORE
EIKP:	KEPI		RIEN		TISE	ELOR:	ORLE	EMSS:	MESS	EOPS:	OPES
EIKS:	SKIE	EINS:	NIES	EISU:	SUIE		ROLE	EMST:	METS		PESO
EIKT:	KITE		SEIN	EISV:	IVES	ELOS:	LOSE*		STEM		POSE
EILM:	LIME		SIEN		SEVI		SOLE	EMSU:	EMUS	EOPT:	OPTE
	MIEL	EINT:	NIET		VIES	ELOT:	LOTE		MEUS		POTE
	MILE		TIEN		VISE		TOLE		MUES		TOPE
EILN:	LIEN		TINE	EISX:	IXES	ELOU:	LOUE		MUSE	EOPX:	EXPO
EILO:	OEIL	EINU:	UNIE	EITU:	ETUI	ELOV:	LOVE		SEUM*		OPEX
EILP:	PILE	EINV:	ENVI	EITV:	VIET		VELO	EMSY:	MYES	EORS:	EROS
	PLIE		NIVE		VITE		VOLE	EMTU:	EMUT		ORES
EILR:	LIER		VINE	EITX:	EXIT	ELOY:	YOLE		MEUT		OSER
	LIRE	EINX:	NIXE	EITY:	YETI	ELPU:	PEUL		MUET		ROSE
	RIEL	EINZ:	NIEZ	EIVV:	VIVE	ELQU:	QUEL		MUTE		SORE
EILS:	ELIS	EIOP:	EPOI	EIXZ:	IXEZ	ELRU:	LEUR	EMUZ:	MUEZ	EORT:	OTER
	ILES	EIOS:	OIES	EJKR:	JERK		RELU	ENNO:	NEON		ROTE
	LIES		SOIE	EJNU:	JEUN	ELRY:	LYRE		NONE		TORE
	LISE	EIOU:	OUIE	EJOU:	JOUE	ELSS:	SELS	ENOP:	OPEN	EORU:	EURO
	SILE	EIOV:	VOIE	EJPU:	JUPE	ELST:	LEST		PENO*		ROUE
EILT:	ELIT	EIPP:	PIPE	EJRU:	JURE		TELS		PEON	EORX:	OXER
	ILET	EIPR:	PERI	EJST:	JETS	ELSU:	ELUS	ENOR:	ORNE	EORZ:	ZERO
	LITE		PIER	EJTU:	JUTE		LEUS	ENOS:	EONS	EOSS:	OSES
EILU:	IULE		PIRE		TEJU		LUES		NEOS	EOST:	OTES
	LIEU		PRIE	EJUX:	JEUX		SEUL		SONE	EOSU:	SOUE
EILV:	LIVE		RIPE	EKLP:	KELP	ELSV:	LEVS	ENOT:	NOTE	EOSV:	OVES
	VILE	EIPS:	EPIS	EKLS:	LEKS	ELSY:	LYSE	ENOU:	NOUE	EOSX:	EXOS
EILX:	EXIL		IPES	EKMU:	KEUM	ELTU:	ELUT	ENOV:	NOVE	EOSY:	OYES
EILZ:	LIEZ		PIES	EKNR:	KERN		LUTE	ENOX:	EXON	EOSZ:	OSEZ
EIMM:	MIME		PISE	EKNS:	KENS	ELUV:	ULVE	ENOY:	NOYE		ZOES
EIMN:	MIEN	EIPT:	PITE	EKOR:	KORE		VELU	ENOZ:	ONZE	EOTU:	TOUE
	MINE		TIPE	EKOT:	KOTE	ELUX:	LUXE		ZONE	EOTV:	VETO
	NEMI	EIPU:	PIEU	EKRT:	TREK	EMMO:	MEMO	ENPU:	PNEU		VOTE
EIMO:	EMOI	EIPV:	PIVE	EKST:	KETS		MOME	ENRU:	NUER	EOTZ:	OTEZ
	MOIE	EIRR:	RIRE		TEKS	EMNO:	NOME		RUNE	EOUV:	VOEU
EIMR:	EMIR	EIRS:	IRES	EKSZ:	ZEKS	EMNS:	MENS		URNE		VOUE
	MIRE		REIS	ELLN:	NELL		NEMS	ENSS:	SENS	EOYZ:	OYEZ
	RIME		RIES	ELLO:	OLLE	EMNT:	MENT	ENST:	NETS	EPPS:	PEPS
EIMS:	EMIS		SIRE	ELLT:	TELL	EMNU:	MENU		SENT	EPPU:	PUPE
	ISME	EIRT:	RITE	ELMO:	MELO	EMOR:	MORE	ENSU:	NUES	EPRS:	PERS
	MIES		TIRE		MOLE		ORME		UNES		PRES
	MISE		TRIE	ELMR:	MERL	EMOS:	MEOS	ENSW:	NEWS		REPS
	SEMI*	EIRV:	IVRE	ELMS:	LEMS	EMOT:	OMET	ENSY:	NEYS	EPRT:	PRET
EIMT:	EMIT		RIVE		MELS		TOME		YENS	EPRU:	PEUR
	ITEM		VIRE	ELMU:	MULE	EMOU:	EMOU	ENSZ:	ZENS		PUER
	MITE	EIRX:	IXER	ELNO:	ENOL		MOUE	ENTU:	TENU		PURE
EIMX:	MIXE		RIXE		LONE	EMOY:	MOYE		TUNE		REPU
EINN:	INNE	EIRZ:	IREZ		NOEL	EMPR:	PERM	ENTV:	VENT		RUPE
EINO:	NOIE		RIEZ	ELNT:	LENT	EMRS:	MERS	ENUV:	VENU	EPSS:	SEPS


Tirages de 4 lettres de EPST à INOU - Page 8/9

EPST:	PETS	FFII:	FIFI	FKLO:	FOLK	GINR:	RING	HMOO:	HOMO	ILNO:	LINO
	SEPT	FFIR:	RIFF	FKNU:	FUNK	GINS:	GINS		MOHO		LION
	SPET	FFOS:	OFFS*	FLLU:	FULL	GINU:	UGNI	HMOS:	OHMS		LOIN
	STEP	FFPT:	PFFT	FLOP:	FLOP	GIOS:	GOIS	HMRU:	RHUM	ILNS:	LINS
EPSU:	PUES	FGIS:	GIFS	FLOS:	LOFS	GIOY:	YOGI	HMTY:	THYM	ILOP:	POIL
	SUPE	FGIT:	GIFT	FLOT:	FLOT	GIPR:	GRIP	HNOT:	THON		POLI
EPTU:	PEUT	FGLO:	GOLF		LOFT	GIRS:	GRIS	HNSU:	HUNS	ILOR:	LOIR
	PUTE	FGOS:	FOGS	FLOU:	FLOU	GIRU:	RUGI	HOPS:	PHOS		LORI
EPTY:	TYPE	FGUU:	FUGU		FLUO	GISU:	GUIS	HOPT:	PHOT	ILOS:	LOIS
EPUX:	PEUX	FHII:	HIFI		LOUF	GISZ:	ZIGS	HOPU:	HOUP		SILO
EPUZ:	PUEZ	FHIQ:	FIQH	FLOW:	FLOW	GJOU:	JOUG		POUH		SOLI
ERRU:	RUER	FHNO:	FOHN	FLUX:	FLUX	GLNO:	LONG	HORS:	HORS	ILOT:	ILOT
ERSS:	SERS	FIIN:	FINI	FNOS:	FONS	GLOO:	LOGO	HOST:	HOST		LOTI
ERST:	RETS	FIIW:	WIFI	FNOT:	FONT	GLOS:	LOGS		HOTS	ILOV:	VIOL
	SERT	FIJU:	JUIF	FNSU:	FUNS	GLOV:	VLOG*		SHOT*	ILPS:	LISP
	TRES	FIKS:	KIFS	FOOR:	ROOF	GLPU:	PLUG*	HOSW:	SHOW		PILS
ERSU:	RUES		SKIF	FOOT:	FOOT	GLSU:	GLUS	HOTU:	HOTU		PLIS
	RUSE	FILM:	FILM	FOPR:	PROF	GMOS:	SMOG	HOUX:	HOUX		SLIP
	SUER	FILO:	FILO	FOPU:	POUF	GMOU:	GOUM	HRSU:	RUSH	ILSS:	SILS
	SURE		FOIL	FORS:	FORS	GMOY:	GOYM	HTUU:	HUTU	ILST:	LITS
	URES	FILP:	FLIP	FORT:	FORT	GMSU:	MUGS	IIKK:	KIKI		SILT
	USER	FILS:	FILS	FORU:	FOUR	GMSY:	GYMS	IIKT:	TIKI	ILSU:	LUIS
ERSV:	VERS	FILT:	LIFT		ROUF	GNNO:	GNON	IIKW:	KIWI	ILSV:	VILS
ERSY:	RYES	FINN:	FINN	FOST:	SOFT	GNOS:	GONS		WIKI	ILSY:	SYLI
ERTU:	TUER	FINO:	FION		TOFS*		SONG	IIMM:	MIMI	ILTT:	TILT
ERTV:	VERT		FOIN	FOSU:	FOUS	GNOT:	TONG	IIMN:	MINI	ILTU:	LUIT
ERUV:	REVU		INFO		OUFS	GNOU:	GNOU	IINT:	INTI	IMNS:	MINS
ERUZ:	RUEZ	FINS:	FINS	FOTU:	FOUT	GNUZ:	GUNZ	IIPP:	PIPI		NIMS
ESST:	SETS		NIFS		TOFU	GOOP:	POGO	IIPT:	TIPI	IMNU:	MUNI
ESSU:	SUES		SNIF	FPTU:	PFUT	GORS:	GROS	IIRS:	IRIS	IMOR:	MIRO
	USES	FINU:	UNIF	FRSU:	SURF	GORU:	GOUR	IITT:	TITI	IMOS:	MISO
ESTT:	TEST	FIOS:	FOIS	FRTU:	TURF	GOSY:	GOYS	IIZZ:	ZIZI		MOIS
	TETS		SOIF	FSTU:	FUTS	GOTU:	GOUT	IJLO:	JOLI		OMIS
ESTU:	SUET	FIOT:	TIFO*		TUFS	GRRR:	GRRR	IJNU:	JUIN	IMOT:	OMIT
	TUES	FIOU:	FOUI	GGNO:	GONG	GRSU:	GURS	IJOU:	JOUI	IMOV:	VOMI
	UTES	FIPS:	PIFS	GGOO:	GOGO	GRUU:	GURU	IKLO:	KILO	IMPS:	MIPS
ESTV:	VETS	FIRS:	FRIS	GGOR:	GROG	GSSU:	GUSS	IKLS:	KILS	IMRS:	MIRS
ESTY:	YETS		RIFS	GHIS:	GHIS*	HIKO:	HOKI	IKLT:	KILT	IMRU:	MURI
ESTZ:	ZEST	FIRT:	FRIT	GHIW:	WHIG	HIKS:	SIKH	IKNS:	SKIN	IMSS:	MISS
ESUV:	VUES		RIFT	GHOT:	GOTH	HIOP:	HOPI	IKNU:	INUK	IMSU:	SIUM
ESUY:	YUES	FIRU:	FUIR	GHTU:	THUG	HIOR:	HOIR	IKOS:	KOIS	INNU:	INNU
ESUZ:	SUEZ	FIST:	FITS	GIJO:	GOJI	HIPS:	HIPS*	IKPS:	KIPS	INOP:	PION
	USEZ		TIFS	GILR:	GIRL	HIPW:	WHIP		SKIP	INOR:	NOIR
ESXY:	SEXY	FISU:	FIUS		GRIL	HIST:	HITS	IKRS:	KIRS		NORI
ETTU:	TETU		FUIS	GILU:	GLUI		SHIT	IKRZ:	ZIKR		ORIN
ETUV:	VETU		SUFI	GIMN:	MING	HISU:	HUIS	IKSS:	SKIS	INOS:	IONS
	VEUT		SUIF	GIMO:	GOIM	HITU:	HUIT	IKST:	KITS		OINS
ETUZ:	TUEZ	FISV:	VIFS	GIMU:	MUGI	HKLO:	KHOL	ILMO:	OLIM		SOIN
EUVX:	VEUX	FITU:	FUIT	GINO:	OING	HKOR:	ROKH*	ILMS:	MILS	INOT:	OINT
EUXY:	YEUX	FIZZ:	FIZZ	GINQ:	QING	HLTU:	LUTH		SLIM	INOU:	OUIN


Tirages de 4 lettres de INOV à UUYZ - Page 9/9

INOV:	NOVI		TRIP	LMSU:	SLUM*		TONS	OSSU:	OSSU		
	OVIN	IPRX:	PRIX	LNSU:	NULS	NOSU:	NOUS		SOUS		
	OVNI	IPSS:	SPIS	LNXY:	LYNX	NOSW:	WONS	OSTT:	STOT		
INOX:	INOX	IPST:	TIPS	LOOP:	POLO	NOTV:	VONT	OSTU:	OUST		
	NOIX	IPSU:	PUIS		POOL	NOXY:	ONYX		TOUS		
INPS:	PINS	IPSZ:	ZIPS	LOOS:	SOLO	NPTU:	PUNT	OSUV:	VOUS		
	SPIN	IPTU:	TUPI	LOOT:	LOTO	NPUU:	PUNU	OTTU:	TOUT		
INPU:	PUNI	IQUZ:	QUIZ	LOPT:	PLOT	OOPT:	TOPO		TUTO*		
INQS:	QINS	IRSS:	RISS	LOPU:	LOUP	OORT:	ROTO	OTUX:	TOUX		
INRT:	TRIN		SIRS	LOPY:	POLY	OOST:	OSTO	PRSU:	PURS		
INRU:	UNIR	IRST:	RITS	LORS:	LORS	OOSZ:	ZOOS	PSST:	PSST		
INST:	NITS		TIRS	LOSS:	SOLS	OOTT:	TOTO	PSSY:	PSYS		
	TINS		TRIS	LOST:	LOTS	OOUZ:	OUZO	PSTU:	PUTS		
INSU:	INSU	IRSU:	SURI	LOSU:	LUOS	OOYY:	YOYO		STUP		
	NUIS	ISSU:	ISSU		SOUL	OOZZ:	ZOZO	PSUY:	PUYS		
	UNIS		SUIS	LOSV:	VOLS	OPPS:	POPS	PSUZ:	ZUPS		
INSV:	VINS	ISTU:	SUIT	LOSW:	SLOW	OPRS:	PROS	PTTU:	PUTT		
INSW:	SWIN	ISTV:	VITS	LOTU:	TOLU	OPRT:	PORT	RSSU:	SURS		
INSY:	YINS	ISTZ:	ZIST	LOTV:	VOLT		TROP	RSTU:	RUTS		
INTT:	TINT	ISUV:	VISU	LPSU:	PLUS	OPRU:	POUR	RSUU:	URUS		
INTU:	NUIT	ITWZ:	WITZ	LPTU:	PLUT		PROU	SSUU:	USUS		
	UNIT	JJOO:	JOJO	LSTU:	LUTS		PURO	TTUU:	TUTU		
INTV:	VINT	JKNU:	JUNK	LTUZ:	LUTZ	OPST:	POST	UUYZ:	YUZU		
INTW:	TWIN	JMOO:	MOJO*	MNOO:	MONO		POTS				
INUV:	UNIV	JMPU:	JUMP	MNOS:	MONS		SPOT				
IOPP:	PIPO	JORU:	JOUR		NOMS		STOP				
IOPS:	POIS	JRUY:	JURY	MNOT:	MONT		TOPS				
	SIPO	KLOO:	LOOK	MNOU:	MUON	OPSU:	OPUS				
IOPX:	POIX	KMOO:	MOKO	MOOT:	MOTO		OUPS				
IOQU:	QUOI		MOOK*	MOOZ:	ZOOM	OPTU:	POTU				
IORS:	RIOS	KMOS:	SMOK	MOPU:	POUM	OPTY:	TYPO				
	ROIS	KNPU:	PUNK	MORS:	MORS	OPUX:	POUX				
	ROSI	KOOT:	KOTO		ROMS	OPUY:	YOUP				
	SOIR	KOPS:	KOPS	MORT:	MORT	ORRT:	TORR				
IORT:	ROTI	KORY:	YORK	MOSS:	SOMS	ORSS:	SORS				
	TRIO	KOST:	KOTS	MOST:	MOTS	ORST:	ROTS				
IORU:	OUIR	KOSU:	SOUK		TOMS		SORT				
	ROUI	KOSW:	WOKS	MOSU:	MOUS		TORS				
IORV:	VOIR	KOUY:	YUKO		SOUM	ORSU:	OURS				
IOSS:	SOIS	KOUZ:	ZOUK		SUMO	ORTT:	TORT				
IOST:	SOIT	KRSU:	KRUS	MOTU:	MOUT		TROT				
IOSU:	OUIS	KRUU:	KURU	MRSU:	MURS	ORTU:	TOUR				
IOSV:	VOIS	KSUY:	KYUS	MRUW:	WURM		TROU				
IOTT:	TOIT	LLMU:	MULL	MSTU:	MUST	ORTY:	TORY				
IOTU:	ITOU	LLOO:	LOLO	NNOO:	NONO		TROY				
	OUIT	LLPU:	PULL	NOOS:	SONO	ORUX:	ROUX				
IOTV:	VOIT	LLUU:	LULU	NOOV:	NOVO	ORXY:	ORYX				
IOVX:	VOIX	LMOO:	LOMO	NOPT:	PONT	OSST:	OSTS				
IPRS:	PRIS	LMOY:	MOLY	NOSS:	SONS		SOTS				
IPRT:	PRIT	LMPU:	LUMP	NOST:	SONT		TOSS				


